epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.608246,0.010743,4.605505,0.010634,val
2,0.00200800,4.543186,0.019790,4.578774,0.017361,val
3,0.00400600,4.397836,0.028598,4.419251,0.030816,val
4,0.00600400,4.156056,0.053994,4.101121,0.066276,val
5,0.00800200,3.941532,0.081645,4.087223,0.070747,val
6,0.01000000,3.770689,0.107553,3.890354,0.104861,val
7,0.00999727,3.619268,0.133679,3.725337,0.120530,val
8,0.00998908,3.502900,0.152193,3.526663,0.157378,val
9,0.00997544,3.405267,0.166656,3.508423,0.162804,val
10,0.00995636,3.319130,0.187333,3.306240,0.184939,val
11,0.00993187,3.238326,0.199407,3.212147,0.198828,val
12,0.00990200,3.169606,0.216287,3.213215,0.210634,val
13,0.00986677,3.112329,0.223880,3.084706,0.231641,val
14,0.00982622,3.055872,0.236927,3.059239,0.235894,val
15,0.00978040,3.003001,0.244231,2.973651,0.255729,val
16,0.00972936,2.950501,0.256533,2.958159,0.259375,val
17,0.00967315,2.907921,0.265219,2.900364,0.275911,val
18,0.00961184,2.862960,0.275309,2.892189,0.276042,val
19,0.00954549,2.821840,0.282014,2.805448,0.293533,val
20,0.00947417,2.782380,0.289605,2.848277,0.286111,val
21,0.00939797,2.748752,0.294484,2.763962,0.303906,val
22,0.00931697,2.705640,0.304716,2.869209,0.285503,val
23,0.00923125,2.671229,0.312166,2.725454,0.314497,val
24,0.00914090,2.634188,0.319861,2.713539,0.311111,val
25,0.00904604,2.622513,0.321964,2.684069,0.324523,val
26,0.00894676,2.582812,0.331175,2.684832,0.322222,val
27,0.00884316,2.553863,0.336440,2.662661,0.326562,val
28,0.00873537,2.523035,0.342859,2.667651,0.328733,val
29,0.00862350,2.491525,0.349295,2.665095,0.323785,val
30,0.00850768,2.463619,0.357794,2.627333,0.330642,val
31,0.00838802,2.436300,0.360865,2.601506,0.344878,val
32,0.00826467,2.410269,0.366001,2.581296,0.346224,val
33,0.00813775,2.381920,0.375083,2.511498,0.358160,val
34,0.00800740,2.360263,0.374321,2.506754,0.365321,val
35,0.00787377,2.332886,0.384742,2.542197,0.350868,val
36,0.00773701,2.314197,0.386295,2.526741,0.350347,val
37,0.00759725,2.278614,0.393709,2.532058,0.363672,val
38,0.00745467,2.253420,0.401080,2.494628,0.363064,val
39,0.00730940,2.224922,0.406438,2.497711,0.365278,val
40,0.00716161,2.200598,0.412459,2.472360,0.374479,val
41,0.00701147,2.181027,0.414931,2.458778,0.381467,val
42,0.00685913,2.157681,0.418281,2.431519,0.384418,val
43,0.00670476,2.136037,0.426499,2.468443,0.377908,val
44,0.00654854,2.107162,0.433758,2.455491,0.381510,val
45,0.00639063,2.087162,0.439678,2.480585,0.374219,val
46,0.00623120,2.058652,0.441068,2.446475,0.384071,val
47,0.00607043,2.037756,0.447216,2.438759,0.379557,val
48,0.00590850,2.016047,0.450181,2.457257,0.387326,val
49,0.00574558,1.995147,0.457874,2.436224,0.391450,val
50,0.00558185,1.963755,0.462668,2.424500,0.390234,val
51,0.00541748,1.947411,0.465463,2.433622,0.378689,val
52,0.00525267,1.925745,0.473288,2.447993,0.388715,val
53,0.00508759,1.902111,0.478934,2.401540,0.387977,val
54,0.00492241,1.881325,0.482271,2.418398,0.399175,val
55,0.00475733,1.861279,0.486049,2.378411,0.406207,val
56,0.00459252,1.834544,0.490805,2.409784,0.400174,val
57,0.00442815,1.821978,0.495664,2.384987,0.405686,val
58,0.00426442,1.792958,0.505629,2.403176,0.400738,val
59,0.00410150,1.775480,0.504933,2.390312,0.409722,val
60,0.00393957,1.750743,0.511767,2.405408,0.403212,val
61,0.00377880,1.736494,0.512950,2.391878,0.409983,val
62,0.00361937,1.711827,0.523278,2.384616,0.409071,val
