epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.630376,0.014872,4.563499,0.020616,val
2,0.02008000,3.921262,0.096677,3.580070,0.143750,val
3,0.04006000,3.350035,0.187316,3.138265,0.234158,val
4,0.06004000,2.874350,0.272277,2.732303,0.292752,val
5,0.08002000,2.467044,0.347346,2.486820,0.357161,val
6,0.10000000,2.183035,0.408296,2.239955,0.414974,val
7,0.09997267,1.923807,0.470367,2.555975,0.363498,val
8,0.09989069,1.753689,0.507767,1.968455,0.469141,val
9,0.09975417,1.620643,0.542809,1.822407,0.498524,val
10,0.09956325,1.529088,0.564422,1.913350,0.488932,val
11,0.09931813,1.456046,0.584874,1.718201,0.526432,val
12,0.09901910,1.398294,0.599600,1.942760,0.493576,val
13,0.09866646,1.355313,0.609521,2.114798,0.477214,val
14,0.09826062,1.306186,0.622964,1.742642,0.534505,val
15,0.09780201,1.269532,0.630232,1.752210,0.541536,val
16,0.09729113,1.231643,0.640993,1.653425,0.549653,val
17,0.09672855,1.202885,0.647704,1.952509,0.507031,val
18,0.09611488,1.163123,0.658390,1.776065,0.530946,val
19,0.09545078,1.146927,0.662320,1.704957,0.546224,val
20,0.09473699,1.118918,0.672495,1.686409,0.546354,val
21,0.09397429,1.090546,0.680031,1.680062,0.550174,val
22,0.09316351,1.066278,0.685090,1.642317,0.559592,val
23,0.09230553,1.039351,0.691929,1.722295,0.553602,val
24,0.09140130,1.035107,0.695584,1.475069,0.591016,val
25,0.09045180,0.997357,0.703320,1.637509,0.567491,val
26,0.08945808,0.985849,0.706958,1.648564,0.574783,val
27,0.08842121,0.958012,0.715163,1.590750,0.577387,val
28,0.08734234,0.949181,0.717461,1.763706,0.557205,val
29,0.08622264,0.932782,0.720388,1.613276,0.575000,val
30,0.08506333,0.917807,0.727478,1.494982,0.596615,val
31,0.08386569,0.886069,0.733027,1.586314,0.581858,val
32,0.08263103,0.879943,0.734705,1.642873,0.567448,val
33,0.08136068,0.860025,0.742413,1.515830,0.598568,val
34,0.08005605,0.839291,0.746952,1.418150,0.618663,val
35,0.07871856,0.817986,0.753100,1.515252,0.608637,val
36,0.07734967,0.810619,0.755841,1.572494,0.596962,val
37,0.07595088,0.781771,0.762867,1.515949,0.619661,val
38,0.07452372,0.771335,0.766093,1.471004,0.631076,val
39,0.07306975,0.759197,0.767606,1.362523,0.632769,val
40,0.07159056,0.728656,0.778281,1.510749,0.615582,val
41,0.07008776,0.709138,0.783796,1.485480,0.611632,val
42,0.06856301,0.700991,0.784333,1.506799,0.611849,val
43,0.06701796,0.675926,0.791720,1.569173,0.609505,val
44,0.06545430,0.667566,0.792856,1.568827,0.612109,val
45,0.06387376,0.639184,0.802416,1.735505,0.582595,val
46,0.06227805,0.637018,0.801973,1.469448,0.623611,val
47,0.06066892,0.592378,0.817753,1.628924,0.604774,val
48,0.05904812,0.584214,0.819634,1.518955,0.620530,val
49,0.05741744,0.560792,0.824277,1.673010,0.600564,val
50,0.05577865,0.538905,0.830874,1.622413,0.606597,val
51,0.05413355,0.521190,0.838277,1.568845,0.618576,val
52,0.05248394,0.511256,0.840899,1.529995,0.635590,val
53,0.05083161,0.475661,0.852931,1.518144,0.634766,val
54,0.04917839,0.467804,0.853022,1.491865,0.632205,val
55,0.04752606,0.428228,0.864586,1.536553,0.632986,val
56,0.04587645,0.418282,0.868219,1.486446,0.635677,val
57,0.04423135,0.400037,0.874261,1.473391,0.634158,val
58,0.04259256,0.378579,0.880657,1.429145,0.666667,val
59,0.04096188,0.357833,0.887046,1.477711,0.654470,val
60,0.03934108,0.329085,0.898309,1.397080,0.664887,val
61,0.03773195,0.310625,0.903696,1.406824,0.661458,val
62,0.03613624,0.272852,0.915558,1.324793,0.676823,val
63,0.03455570,0.250543,0.922620,1.382970,0.681337,val
64,0.03299204,0.235625,0.926910,1.372817,0.678819,val
65,0.03144699,0.225151,0.931011,1.353919,0.686762,val
66,0.02992224,0.211631,0.934855,1.445191,0.668142,val
67,0.02841944,0.180310,0.945612,1.300046,0.699653,val
68,0.02694025,0.153266,0.954350,1.332792,0.691536,val
69,0.02548628,0.138130,0.960211,1.300125,0.705599,val
70,0.02405912,0.108835,0.968949,1.228793,0.710677,val
71,0.02266033,0.105065,0.969996,1.263204,0.704470,val
72,0.02129144,0.089359,0.975850,1.217358,0.713802,val
73,0.01995395,0.067723,0.983035,1.211219,0.720703,val
74,0.01864932,0.053121,0.987408,1.198128,0.723134,val
75,0.01737897,0.043582,0.990438,1.120886,0.744922,val
76,0.01614431,0.035614,0.992902,1.130926,0.738498,val
77,0.01494667,0.024327,0.996205,1.079423,0.745920,val
78,0.01378736,0.018455,0.997437,1.053411,0.752257,val
79,0.01266766,0.016651,0.997845,1.035618,0.757465,val
80,0.01158879,0.014231,0.998423,1.033757,0.759418,val
81,0.01055192,0.012239,0.998694,1.005163,0.763194,val
82,0.00955820,0.010306,0.999162,1.003225,0.764757,val
83,0.00860870,0.009221,0.999384,0.988139,0.767361,val
84,0.00770447,0.009295,0.999359,0.981948,0.762674,val
85,0.00684649,0.008332,0.999570,0.972565,0.770356,val
86,0.00603571,0.007680,0.999532,0.965863,0.767101,val
87,0.00527301,0.007577,0.999581,0.968284,0.771311,val
88,0.00455922,0.007567,0.999606,0.964446,0.769184,val
89,0.00389512,0.007347,0.999668,0.964960,0.767361,val
90,0.00328145,0.007417,0.999581,0.958655,0.773177,val
91,0.00271887,0.007232,0.999754,0.956530,0.771875,val
92,0.00220799,0.007239,0.999704,0.956495,0.772092,val
93,0.00174938,0.006873,0.999778,0.952776,0.768750,val
94,0.00134354,0.006926,0.999704,0.952421,0.769618,val
95,0.00099090,0.007192,0.999630,0.954157,0.769618,val
96,0.00069187,0.007293,0.999680,0.949461,0.771137,val
97,0.00044675,0.006949,0.999827,0.952032,0.772005,val
98,0.00025583,0.006922,0.999729,0.949010,0.770703,val
99,0.00011931,0.007142,0.999532,0.952566,0.771788,val
100,0.00003733,0.006818,0.999655,0.951167,0.771354,val
