epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.640065,0.013887,4.586839,0.018229,val
2,0.02008000,3.851522,0.110846,3.586381,0.156641,val
3,0.04006000,3.373743,0.188982,3.171797,0.240712,val
4,0.06004000,3.000516,0.252993,2.900788,0.277214,val
5,0.08002000,2.707370,0.308333,2.863535,0.315321,val
6,0.10000000,2.461190,0.359030,2.596931,0.341450,val
7,0.09997267,2.204722,0.410809,2.310731,0.396658,val
8,0.09989069,2.018540,0.453796,2.234419,0.419141,val
9,0.09975417,1.877215,0.482877,2.144818,0.445530,val
10,0.09956325,1.747603,0.512925,1.965587,0.471094,val
11,0.09931813,1.640592,0.537713,1.965185,0.485851,val
12,0.09901910,1.547611,0.562487,1.984650,0.486415,val
13,0.09866646,1.466871,0.581763,1.886817,0.500043,val
14,0.09826062,1.394896,0.596457,1.900305,0.505382,val
15,0.09780201,1.324463,0.615335,1.941276,0.498741,val
16,0.09729113,1.253115,0.633002,1.891801,0.517057,val
17,0.09672855,1.202079,0.645044,1.849782,0.527431,val
18,0.09611488,1.138258,0.662047,1.814171,0.531076,val
19,0.09545078,1.087095,0.672940,1.854274,0.537413,val
20,0.09473699,1.033630,0.689451,1.839442,0.537674,val
21,0.09397429,0.987358,0.698998,1.754150,0.566450,val
22,0.09316351,0.934857,0.715093,1.917350,0.529210,val
23,0.09230553,0.891638,0.726261,1.799395,0.555252,val
24,0.09140130,0.856392,0.737323,1.860808,0.543186,val
25,0.09045180,0.803300,0.751687,1.891310,0.546050,val
26,0.08945808,0.769370,0.760235,1.970026,0.541667,val
27,0.08842121,0.748784,0.764101,1.923266,0.537153,val
28,0.08734234,0.695169,0.779673,1.944579,0.546181,val
29,0.08622264,0.658208,0.791495,1.976550,0.551736,val
30,0.08506333,0.636690,0.796920,1.959831,0.560764,val
31,0.08386569,0.589362,0.811309,1.982073,0.547266,val
32,0.08263103,0.567688,0.819232,1.913822,0.565495,val
33,0.08136068,0.530987,0.831035,2.039848,0.555252,val
34,0.08005605,0.494968,0.842520,2.042569,0.556597,val
35,0.07871856,0.481878,0.845437,1.997762,0.558594,val
36,0.07734967,0.457726,0.852548,2.059826,0.562760,val
37,0.07595088,0.418468,0.863106,2.042378,0.564323,val
38,0.07452372,0.409354,0.868105,2.018959,0.581467,val
39,0.07306975,0.366661,0.882158,2.052085,0.568142,val
40,0.07159056,0.358607,0.883667,2.091437,0.573134,val
41,0.07008776,0.326037,0.894511,2.108254,0.568012,val
42,0.06856301,0.287107,0.908504,2.153922,0.566623,val
43,0.06701796,0.293215,0.905078,2.113413,0.566016,val
44,0.06545430,0.262928,0.916411,2.158706,0.562023,val
45,0.06387376,0.248963,0.921016,2.144904,0.569661,val
46,0.06227805,0.234846,0.923519,2.152545,0.563976,val
47,0.06066892,0.218667,0.931035,2.200818,0.567622,val
48,0.05904812,0.199029,0.938962,2.086353,0.596615,val
49,0.05741744,0.181176,0.943235,2.109777,0.588194,val
50,0.05577865,0.171303,0.946659,2.126197,0.574783,val
51,0.05413355,0.164236,0.949038,2.071626,0.596094,val
52,0.05248394,0.152117,0.954225,2.112812,0.590365,val
53,0.05083161,0.118426,0.964735,2.153953,0.582682,val
54,0.04917839,0.104819,0.968172,2.104183,0.594618,val
55,0.04752606,0.091928,0.973795,2.120185,0.592622,val
56,0.04587645,0.093299,0.974371,2.082153,0.601866,val
57,0.04423135,0.073414,0.979867,2.045126,0.598611,val
58,0.04259256,0.062155,0.983711,2.005733,0.608811,val
59,0.04096188,0.059066,0.984720,2.018469,0.611589,val
60,0.03934108,0.044726,0.989676,2.012978,0.618359,val
61,0.03773195,0.034081,0.992646,2.008504,0.615191,val
62,0.03613624,0.032552,0.993099,2.031009,0.607161,val
63,0.03455570,0.029147,0.993901,1.987844,0.620833,val
64,0.03299204,0.023477,0.995613,1.969203,0.621571,val
65,0.03144699,0.019158,0.996796,1.943883,0.623003,val
66,0.02992224,0.016614,0.997338,1.927481,0.625825,val
67,0.02841944,0.015062,0.997845,1.915385,0.625260,val
68,0.02694025,0.013670,0.997943,1.919377,0.626259,val
69,0.02548628,0.011950,0.998398,1.908408,0.625391,val
70,0.02405912,0.011010,0.998546,1.875194,0.628776,val
71,0.02266033,0.009703,0.998781,1.863373,0.628212,val
72,0.02129144,0.009307,0.998940,1.870230,0.622049,val
73,0.01995395,0.008776,0.999261,1.864726,0.628516,val
74,0.01864932,0.008474,0.999088,1.852671,0.627561,val
75,0.01737897,0.007485,0.999187,1.834537,0.634071,val
76,0.01614431,0.007228,0.999384,1.832340,0.633290,val
77,0.01494667,0.006873,0.999384,1.825607,0.630469,val
78,0.01378736,0.006650,0.999335,1.820315,0.629948,val
79,0.01266766,0.006357,0.999458,1.805288,0.635677,val
80,0.01158879,0.005940,0.999556,1.806822,0.632769,val
81,0.01055192,0.005737,0.999581,1.800602,0.629514,val
82,0.00955820,0.005757,0.999655,1.799602,0.631771,val
83,0.00860870,0.005590,0.999655,1.791305,0.635677,val
84,0.00770447,0.005746,0.999433,1.774586,0.634505,val
85,0.00684649,0.005330,0.999532,1.783609,0.633724,val
86,0.00603571,0.005165,0.999655,1.781198,0.631988,val
87,0.00527301,0.005140,0.999630,1.780976,0.633420,val
88,0.00455922,0.005054,0.999655,1.777682,0.633724,val
89,0.00389512,0.005128,0.999556,1.779556,0.632856,val
90,0.00328145,0.004987,0.999619,1.773297,0.634071,val
91,0.00271887,0.005267,0.999520,1.776104,0.634158,val
92,0.00220799,0.005160,0.999556,1.772562,0.633941,val
93,0.00174938,0.005027,0.999581,1.769682,0.633420,val
94,0.00134354,0.004999,0.999482,1.771357,0.635243,val
95,0.00099090,0.004859,0.999729,1.772159,0.636111,val
96,0.00069187,0.004580,0.999704,1.760112,0.635026,val
97,0.00044675,0.004953,0.999581,1.769527,0.630686,val
98,0.00025583,0.004797,0.999754,1.773245,0.636762,val
99,0.00011931,0.004497,0.999754,1.765106,0.635460,val
100,0.00003733,0.004739,0.999729,1.770734,0.634375,val
