epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.667827,0.011644,4.614256,0.009766,val
2,0.01004000,4.462821,0.030950,4.100935,0.060851,val
3,0.02003000,3.980031,0.079843,3.757054,0.111415,val
4,0.03002000,3.711551,0.118401,3.683854,0.129297,val
5,0.04001000,3.511118,0.150656,3.328671,0.193142,val
6,0.05000000,3.371098,0.176239,3.188929,0.204470,val
7,0.04998633,3.226265,0.204397,3.143233,0.225087,val
8,0.04994535,3.074209,0.231901,2.947794,0.264931,val
9,0.04987710,2.957320,0.253376,2.953860,0.263325,val
10,0.04978165,2.940258,0.259737,2.934734,0.259766,val
11,0.04965910,2.830123,0.279047,2.841061,0.281641,val
12,0.04950960,2.681474,0.306350,2.633448,0.326823,val
13,0.04933330,2.606388,0.322690,4.401804,0.202821,val
14,0.04913040,2.641606,0.314900,2.694301,0.321050,val
15,0.04890111,2.588664,0.328589,2.726560,0.334158,val
16,0.04864570,2.496205,0.346209,2.424106,0.371788,val
17,0.04836444,2.337367,0.378439,2.313221,0.397222,val
18,0.04805763,2.287163,0.392246,2.280175,0.397960,val
19,0.04772562,2.225765,0.402819,2.290169,0.402951,val
20,0.04736876,2.163562,0.417727,2.301613,0.395269,val
21,0.04698745,2.099499,0.430324,2.890625,0.382118,val
22,0.04658210,2.101975,0.428368,2.143869,0.435417,val
23,0.04615315,2.073979,0.436482,2.368739,0.397917,val
24,0.04570108,2.056425,0.441769,2.177181,0.426997,val
25,0.04522638,2.167784,0.420889,2.266936,0.413108,val
26,0.04472957,2.157218,0.419253,2.291260,0.399306,val
27,0.04421119,2.152061,0.420451,2.457200,0.371050,val
28,0.04367180,2.020485,0.451845,2.097371,0.451649,val
29,0.04311201,2.049427,0.442222,2.199128,0.431771,val
30,0.04253241,1.922879,0.473196,2.086255,0.447569,val
31,0.04193365,1.845148,0.487020,2.089263,0.448307,val
32,0.04131638,1.832673,0.489666,2.122342,0.449262,val
33,0.04068127,1.755073,0.504944,2.144174,0.452083,val
34,0.04002902,1.707166,0.521365,2.048816,0.466102,val
35,0.03936034,1.682314,0.525240,1.995596,0.477821,val
36,0.03867597,1.827089,0.493588,2.139264,0.444922,val
37,0.03797664,1.640225,0.533502,2.151385,0.456554,val
38,0.03726314,1.596539,0.543476,1.957787,0.484983,val
39,0.03653622,1.513592,0.567010,2.059341,0.476649,val
40,0.03579670,1.453738,0.578944,2.194207,0.461936,val
41,0.03504538,1.412674,0.589401,1.970123,0.491580,val
42,0.03428308,1.360668,0.602708,1.992776,0.489931,val
43,0.03351063,1.327957,0.610839,2.007376,0.492491,val
44,0.03272888,1.289267,0.620494,1.998173,0.492969,val
45,0.03193869,1.311450,0.617542,2.141019,0.463845,val
46,0.03114091,1.285214,0.619193,2.051826,0.483333,val
47,0.03033642,1.196958,0.642889,2.068173,0.484245,val
