epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.606099,0.011066,4.605858,0.011068,val
2,0.00200800,4.579047,0.016105,4.587212,0.017665,val
3,0.00400600,4.546853,0.019873,4.634089,0.019314,val
4,0.00600400,4.410486,0.029326,4.344491,0.038715,val
5,0.00800200,4.097894,0.064690,4.345321,0.070790,val
6,0.01000000,3.834127,0.099634,4.076726,0.091189,val
7,0.00999727,3.671415,0.122344,3.601467,0.146962,val
8,0.00998908,3.550025,0.145091,3.481335,0.162891,val
9,0.00997544,3.440683,0.163441,3.511718,0.172439,val
10,0.00995636,3.347476,0.179331,3.322194,0.192014,val
11,0.00993187,3.270693,0.196192,3.216154,0.215104,val
12,0.00990200,3.208026,0.209626,3.243586,0.213108,val
13,0.00986677,3.150763,0.220231,3.151411,0.226389,val
14,0.00982622,3.090783,0.230405,3.124410,0.230165,val
15,0.00978040,3.037227,0.240377,3.037940,0.238542,val
16,0.00972936,2.980822,0.251221,2.994743,0.249696,val
17,0.00967315,2.938720,0.257860,2.964113,0.267231,val
18,0.00961184,2.892075,0.268842,2.926036,0.266493,val
19,0.00954549,2.841330,0.277140,2.923088,0.275130,val
20,0.00947417,2.806977,0.285859,2.825390,0.295356,val
21,0.00939797,2.764695,0.292342,2.787919,0.300781,val
22,0.00931697,2.731695,0.303239,2.829503,0.300608,val
23,0.00923125,2.690326,0.308236,2.778453,0.298958,val
24,0.00914090,2.670118,0.311247,2.820120,0.297439,val
25,0.00904604,2.632124,0.322282,2.814138,0.295269,val
26,0.00894676,2.590240,0.331228,2.738931,0.312630,val
27,0.00884316,2.557759,0.336984,2.759276,0.306944,val
28,0.00873537,2.534940,0.341826,2.702380,0.317622,val
29,0.00862350,2.498584,0.349168,2.679909,0.323351,val
30,0.00850768,2.469133,0.355921,2.684268,0.326866,val
31,0.00838802,2.443819,0.359912,2.630924,0.341753,val
32,0.00826467,2.416583,0.367546,2.631044,0.332118,val
33,0.00813775,2.385873,0.371004,2.627090,0.342578,val
34,0.00800740,2.356123,0.379220,2.640479,0.343793,val
35,0.00787377,2.331417,0.385351,2.661289,0.332769,val
36,0.00773701,2.311639,0.386246,2.604662,0.352474,val
37,0.00759725,2.290965,0.393935,2.589775,0.353950,val
38,0.00745467,2.259366,0.398170,2.616339,0.342318,val
39,0.00730940,2.240387,0.402675,2.589756,0.360460,val
40,0.00716161,2.214597,0.409196,2.630561,0.346094,val
41,0.00701147,2.184149,0.414895,2.566743,0.358898,val
42,0.00685913,2.174197,0.417473,2.549023,0.361632,val
43,0.00670476,2.144805,0.421158,2.560627,0.364497,val
44,0.00654854,2.121518,0.429517,2.572562,0.360069,val
45,0.00639063,2.097462,0.433951,2.548853,0.369965,val
46,0.00623120,2.081834,0.439737,2.542623,0.364757,val
47,0.00607043,2.052147,0.442493,2.539018,0.369488,val
48,0.00590850,2.031035,0.448778,2.556380,0.368837,val
49,0.00574558,2.019662,0.451481,2.540517,0.369358,val
50,0.00558185,1.991196,0.457542,2.529917,0.372960,val
51,0.00541748,1.974169,0.461719,2.540613,0.376432,val
52,0.00525267,1.946918,0.467863,2.537007,0.371875,val
53,0.00508759,1.919341,0.472797,2.540313,0.375000,val
54,0.00492241,1.895081,0.480244,2.537849,0.382812,val
55,0.00475733,1.887220,0.478733,2.548457,0.377821,val
56,0.00459252,1.863242,0.485558,2.569141,0.389410,val
57,0.00442815,1.836380,0.491092,2.570628,0.379210,val
58,0.00426442,1.812839,0.498061,2.570436,0.374913,val
59,0.00410150,1.801051,0.497244,2.555358,0.375174,val
60,0.00393957,1.772260,0.506942,2.567852,0.374392,val
61,0.00377880,1.760636,0.509773,2.567807,0.380990,val
62,0.00361937,1.734944,0.516755,2.571122,0.385113,val
63,0.00346146,1.711772,0.521202,2.579347,0.383160,val
64,0.00330524,1.693470,0.528082,2.577604,0.381554,val
65,0.00315087,1.674114,0.529616,2.579133,0.383941,val
66,0.00299853,1.650426,0.535635,2.612569,0.381293,val
67,0.00284839,1.637016,0.540244,2.581318,0.385677,val
68,0.00270060,1.618789,0.543129,2.613204,0.378689,val
69,0.00255533,1.588866,0.551315,2.595503,0.382118,val
70,0.00241275,1.577725,0.553345,2.673474,0.377344,val
71,0.00227299,1.557329,0.560075,2.635105,0.379905,val
72,0.00213623,1.542620,0.562777,2.628140,0.380382,val
73,0.00200260,1.515358,0.567713,2.651515,0.386979,val
74,0.00187225,1.508753,0.573403,2.641354,0.385764,val
75,0.00174533,1.487104,0.578415,2.654266,0.379688,val
76,0.00162198,1.468391,0.583520,2.657495,0.386849,val
77,0.00150232,1.460484,0.584330,2.679181,0.382639,val
78,0.00138650,1.442267,0.587325,2.679415,0.383160,val
79,0.00127463,1.428791,0.590908,2.683775,0.378516,val
80,0.00116684,1.409289,0.595720,2.672353,0.378646,val
81,0.00106324,1.391492,0.598948,2.679890,0.386545,val
82,0.00096396,1.387842,0.604332,2.684264,0.387500,val
83,0.00086910,1.365580,0.608857,2.698756,0.378516,val
84,0.00077875,1.354092,0.610721,2.711417,0.380686,val
85,0.00069303,1.346833,0.614226,2.709280,0.384115,val
86,0.00061203,1.327473,0.617263,2.720188,0.386198,val
87,0.00053583,1.329893,0.615724,2.703035,0.386849,val
88,0.00046451,1.311731,0.621626,2.708529,0.381337,val
89,0.00039816,1.310966,0.622376,2.723252,0.383724,val
90,0.00033685,1.299377,0.624039,2.717974,0.384462,val
91,0.00028064,1.294062,0.625624,2.719906,0.383507,val
92,0.00022960,1.284112,0.629400,2.716202,0.382856,val
93,0.00018378,1.287082,0.626699,2.720214,0.385460,val
94,0.00014323,1.271013,0.634574,2.723140,0.384592,val
95,0.00010800,1.270480,0.631180,2.731269,0.383290,val
96,0.00007813,1.272393,0.631195,2.728998,0.385677,val
97,0.00005364,1.264405,0.636145,2.728920,0.385894,val
98,0.00003456,1.263067,0.636009,2.730655,0.385894,val
99,0.00002092,1.269758,0.636140,2.729243,0.386762,val
100,0.00001273,1.267282,0.631501,2.731280,0.385894,val
