epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.719864,0.013752,4.669698,0.015566,val
2,0.00010090,4.183215,0.084612,4.026183,0.121240,val
3,0.00020080,3.975402,0.121199,3.844884,0.146297,val
4,0.00030070,3.813642,0.148297,3.706860,0.174690,val
5,0.00040060,3.670023,0.175291,3.579564,0.206081,val
6,0.00050050,3.554816,0.200888,3.497226,0.219870,val
7,0.00060040,3.465446,0.222769,3.434715,0.227073,val
8,0.00070030,3.380064,0.242148,3.346936,0.258071,val
9,0.00080020,3.310351,0.256220,3.301761,0.264147,val
10,0.00090010,3.243566,0.271250,3.260796,0.278787,val
11,0.00100000,3.181879,0.283478,3.240691,0.278312,val
12,0.00099970,3.096987,0.309167,3.143428,0.308459,val
13,0.00099878,3.017129,0.326313,3.151644,0.297825,val
14,0.00099726,2.940158,0.347780,3.090838,0.323533,val
15,0.00099514,2.854044,0.369042,3.089953,0.326330,val
16,0.00099241,2.770438,0.389973,3.092891,0.325069,val
17,0.00098908,2.672436,0.413953,3.064941,0.341486,val
18,0.00098516,2.563729,0.446765,3.127749,0.327046,val
19,0.00098065,2.460613,0.471569,3.143192,0.330143,val
20,0.00097555,2.331359,0.510698,3.118713,0.340342,val
21,0.00096988,2.199231,0.551186,3.176762,0.343263,val
22,0.00096363,2.057374,0.590893,3.277740,0.330577,val
23,0.00095682,1.911549,0.640727,3.290930,0.337028,val
24,0.00094945,1.758489,0.691582,3.375562,0.338823,val
25,0.00094153,1.627881,0.736616,3.425170,0.338647,val
26,0.00093308,1.514552,0.778444,3.452599,0.342336,val
27,0.00092410,1.408841,0.814585,3.483608,0.338964,val
28,0.00091460,1.327733,0.847689,3.517930,0.343697,val
29,0.00090460,1.266734,0.867085,3.538933,0.338530,val
30,0.00089411,1.225927,0.883425,3.524364,0.344548,val
31,0.00088314,1.184874,0.896174,3.502616,0.351609,val
32,0.00087170,1.151089,0.906637,3.540568,0.342911,val
33,0.00085981,1.122019,0.914277,3.534301,0.342119,val
34,0.00084748,1.103999,0.918665,3.526591,0.340342,val
35,0.00083473,1.092919,0.919143,3.546358,0.335785,val
36,0.00082157,1.079752,0.923297,3.595768,0.344700,val
37,0.00080802,1.062524,0.924692,3.561823,0.340108,val
38,0.00079410,1.060179,0.923361,3.592326,0.338172,val
39,0.00077982,1.041597,0.927856,3.612570,0.340184,val
40,0.00076519,1.020939,0.932764,3.670477,0.338688,val
41,0.00075025,1.024852,0.929113,3.661826,0.336084,val
42,0.00073500,1.008710,0.932846,3.718648,0.331603,val
43,0.00071947,0.987820,0.938909,3.708066,0.339081,val
44,0.00070366,0.974634,0.943788,3.714014,0.342078,val
45,0.00068762,0.972430,0.943849,3.742218,0.329926,val
46,0.00067134,0.961863,0.946611,3.732363,0.338765,val
47,0.00065485,0.947104,0.950507,3.703547,0.347803,val
48,0.00063818,0.936753,0.954388,3.788055,0.339732,val
49,0.00062134,0.935071,0.954198,3.764265,0.340858,val
50,0.00060435,0.932359,0.953842,3.778311,0.342788,val
51,0.00058724,0.913082,0.960560,3.805999,0.342119,val
52,0.00057002,0.919723,0.957684,3.757782,0.348653,val
53,0.00055271,0.901893,0.964253,3.844910,0.335726,val
54,0.00053534,0.906197,0.961679,3.784357,0.336160,val
55,0.00051793,0.888300,0.968420,3.828075,0.334958,val
56,0.00050050,0.888201,0.968159,3.800604,0.346360,val
57,0.00048307,0.884959,0.968799,3.848996,0.336635,val
58,0.00046566,0.870594,0.974212,3.815906,0.348988,val
59,0.00044829,0.867011,0.974801,3.851565,0.341310,val
60,0.00043098,0.863267,0.976145,3.838760,0.345791,val
61,0.00041376,0.855811,0.977969,3.864245,0.348114,val
62,0.00039665,0.856770,0.977696,3.892536,0.335251,val
63,0.00037966,0.852009,0.978451,3.875653,0.343163,val
64,0.00036282,0.846087,0.980851,3.891930,0.342278,val
65,0.00034615,0.841596,0.982910,3.866955,0.343380,val
66,0.00032966,0.836172,0.984352,3.885567,0.338606,val
67,0.00031338,0.834941,0.984388,3.908139,0.338941,val
68,0.00029734,0.832167,0.985916,3.863515,0.343856,val
69,0.00028153,0.825957,0.986792,3.882843,0.350049,val
70,0.00026600,0.826911,0.986779,3.877915,0.349656,val
71,0.00025075,0.820469,0.988022,3.905019,0.346518,val
72,0.00023581,0.816295,0.990278,3.851463,0.353463,val
73,0.00022118,0.817544,0.989452,3.856550,0.351234,val
74,0.00020690,0.812312,0.991497,3.863532,0.351926,val
75,0.00019298,0.807089,0.993247,3.891627,0.350859,val
76,0.00017943,0.806961,0.992817,3.927990,0.346026,val
77,0.00016627,0.804267,0.994123,3.906047,0.351926,val
78,0.00015352,0.802751,0.994110,3.914205,0.349557,val
79,0.00014119,0.800664,0.994800,3.897717,0.357351,val
80,0.00012930,0.798960,0.995391,3.917940,0.354155,val
81,0.00011786,0.796785,0.995909,3.903806,0.355950,val
82,0.00010689,0.798714,0.995317,3.903146,0.356483,val
83,0.00009640,0.795374,0.996402,3.899786,0.355005,val
84,0.00008640,0.795031,0.996353,3.902801,0.358636,val
85,0.00007690,0.793605,0.996735,3.901076,0.356859,val
86,0.00006792,0.793499,0.996514,3.904864,0.354472,val
87,0.00005947,0.790934,0.997524,3.905112,0.355240,val
88,0.00005155,0.790940,0.997437,3.902660,0.356466,val
89,0.00004418,0.790429,0.997535,3.914531,0.356624,val
90,0.00003737,0.789476,0.997954,3.906318,0.355439,val
91,0.00003112,0.788990,0.998250,3.904186,0.356859,val
92,0.00002545,0.789658,0.997845,3.907849,0.357393,val
93,0.00002035,0.788709,0.998053,3.907829,0.356307,val
94,0.00001584,0.788842,0.998004,3.911472,0.355656,val
95,0.00001192,0.788189,0.998127,3.916064,0.357017,val
96,0.00000859,0.786760,0.998817,3.916400,0.355381,val
