epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.636909,0.013506,4.589536,0.019889,val
2,0.02008000,3.948997,0.095477,3.662812,0.153599,val
3,0.04006000,3.555328,0.158940,3.377397,0.192327,val
4,0.06004000,3.237078,0.213254,3.172203,0.226580,val
5,0.08002000,2.995385,0.254531,2.955157,0.276875,val
6,0.10000000,2.800947,0.291381,2.963695,0.277344,val
7,0.09997267,2.603685,0.327636,2.770128,0.310529,val
8,0.09989069,2.448462,0.360797,2.772592,0.315087,val
9,0.09975417,2.329720,0.384124,2.569604,0.351885,val
10,0.09956325,2.200187,0.412514,2.486501,0.370155,val
11,0.09931813,2.096666,0.435015,2.425599,0.392115,val
12,0.09901910,2.009418,0.456052,2.378426,0.400109,val
13,0.09866646,1.927462,0.468047,2.456577,0.388707,val
14,0.09826062,1.844096,0.490489,2.393642,0.403892,val
15,0.09780201,1.773833,0.506603,2.348788,0.413957,val
16,0.09729113,1.697928,0.524224,2.374290,0.408174,val
17,0.09672855,1.626019,0.540956,2.351581,0.416620,val
18,0.09611488,1.560581,0.558942,2.346059,0.423564,val
19,0.09545078,1.489935,0.570411,2.417765,0.417388,val
20,0.09473699,1.422654,0.590978,2.385537,0.434438,val
21,0.09397429,1.378859,0.597308,2.335967,0.442802,val
22,0.09316351,1.318250,0.615805,2.483388,0.417840,val
23,0.09230553,1.264216,0.627296,2.362756,0.442327,val
24,0.09140130,1.190285,0.646695,2.426401,0.427119,val
25,0.09045180,1.150489,0.655780,2.393974,0.442978,val
26,0.08945808,1.094608,0.667319,2.472848,0.434550,val
27,0.08842121,1.032292,0.685771,2.555373,0.426819,val
28,0.08734234,0.997938,0.697314,2.522668,0.440333,val
29,0.08622264,0.940074,0.712092,2.581644,0.441043,val
30,0.08506333,0.895001,0.725853,2.637869,0.436843,val
31,0.08386569,0.827469,0.745355,2.723005,0.440749,val
32,0.08263103,0.800597,0.750423,2.711373,0.438679,val
33,0.08136068,0.747046,0.766700,2.748729,0.438755,val
34,0.08005605,0.702120,0.780884,2.784023,0.438872,val
35,0.07871856,0.663431,0.789279,2.866995,0.434655,val
36,0.07734967,0.620143,0.803539,2.897719,0.428755,val
37,0.07595088,0.584803,0.813757,2.860029,0.439447,val
38,0.07452372,0.547301,0.827405,2.877756,0.446568,val
39,0.07306975,0.510007,0.838466,3.013027,0.441242,val
40,0.07159056,0.490577,0.841210,2.961036,0.445840,val
41,0.07008776,0.445870,0.856696,2.924341,0.447377,val
42,0.06856301,0.422557,0.864027,3.020686,0.448620,val
43,0.06701796,0.397204,0.872333,3.016633,0.441582,val
44,0.06545430,0.373763,0.880752,3.047386,0.455107,val
45,0.06387376,0.341929,0.889379,3.052188,0.449412,val
46,0.06227805,0.314751,0.899222,3.091600,0.451700,val
47,0.06066892,0.278954,0.911566,3.060723,0.458803,val
48,0.05904812,0.265260,0.916726,3.082937,0.452445,val
49,0.05741744,0.236564,0.925981,3.121361,0.453694,val
50,0.05577865,0.218773,0.929879,3.113504,0.459512,val
51,0.05413355,0.204526,0.936038,3.144068,0.459495,val
52,0.05248394,0.182187,0.943172,3.136759,0.462058,val
53,0.05083161,0.157237,0.951679,3.153105,0.468627,val
54,0.04917839,0.140772,0.957182,3.107466,0.459588,val
55,0.04752606,0.125462,0.962454,3.132438,0.474862,val
56,0.04587645,0.111440,0.966915,3.150178,0.469102,val
57,0.04423135,0.093928,0.973188,3.138146,0.480545,val
58,0.04259256,0.082771,0.977378,3.149752,0.473524,val
59,0.04096188,0.070482,0.980927,3.176823,0.474469,val
60,0.03934108,0.059741,0.985340,3.075331,0.483800,val
61,0.03773195,0.049223,0.987666,3.074443,0.484903,val
62,0.03613624,0.043818,0.990339,3.071166,0.492481,val
63,0.03455570,0.033150,0.993075,2.990344,0.492105,val
64,0.03299204,0.027525,0.994775,2.998059,0.492639,val
65,0.03144699,0.023719,0.995465,2.956705,0.491613,val
66,0.02992224,0.021235,0.995848,2.957686,0.491020,val
67,0.02841944,0.016756,0.997535,2.961576,0.490586,val
68,0.02694025,0.014380,0.998201,2.910644,0.500551,val
69,0.02548628,0.013973,0.997820,2.923984,0.497982,val
70,0.02405912,0.012576,0.998152,2.906547,0.500452,val
71,0.02266033,0.011353,0.998645,2.894205,0.495619,val
72,0.02129144,0.009862,0.998929,2.879179,0.503255,val
73,0.01995395,0.010149,0.998891,2.854762,0.505208,val
74,0.01864932,0.009052,0.999175,2.856990,0.504575,val
75,0.01737897,0.008005,0.999310,2.832369,0.503214,val
76,0.01614431,0.007887,0.999310,2.822702,0.507179,val
77,0.01494667,0.007367,0.999507,2.802826,0.508739,val
78,0.01378736,0.007472,0.999310,2.806214,0.507378,val
79,0.01266766,0.006916,0.999458,2.789166,0.504417,val
80,0.01158879,0.006106,0.999630,2.788217,0.509824,val
81,0.01055192,0.006311,0.999655,2.781553,0.508088,val
82,0.00955820,0.005862,0.999630,2.786862,0.507713,val
83,0.00860870,0.005744,0.999754,2.762625,0.510733,val
84,0.00770447,0.005830,0.999778,2.762515,0.503807,val
85,0.00684649,0.005520,0.999655,2.746035,0.509549,val
86,0.00603571,0.005362,0.999704,2.755213,0.506452,val
87,0.00527301,0.005509,0.999754,2.742177,0.508405,val
88,0.00455922,0.005169,0.999827,2.744272,0.508405,val
89,0.00389512,0.005312,0.999827,2.748735,0.510692,val
90,0.00328145,0.005003,0.999827,2.735912,0.507595,val
91,0.00271887,0.004843,0.999852,2.729123,0.511126,val
92,0.00220799,0.005099,0.999754,2.726913,0.507437,val
93,0.00174938,0.005192,0.999754,2.740507,0.508522,val
94,0.00134354,0.005056,0.999754,2.731218,0.512053,val
95,0.00099090,0.004744,0.999901,2.731803,0.507812,val
96,0.00069187,0.004989,0.999827,2.734001,0.510851,val
97,0.00044675,0.004871,0.999901,2.727202,0.510258,val
98,0.00025583,0.004963,0.999803,2.725972,0.510792,val
99,0.00011931,0.005190,0.999827,2.731029,0.512252,val
100,0.00003733,0.004777,0.999827,2.733221,0.511343,val
