epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.634521,0.013604,4.582053,0.021625,val
2,0.02008000,3.923708,0.099452,3.557065,0.160227,val
3,0.04006000,3.478504,0.172343,3.283267,0.199706,val
4,0.06004000,3.119725,0.232108,3.117622,0.240926,val
5,0.08002000,2.847553,0.282678,2.861302,0.285514,val
6,0.10000000,2.632945,0.319524,2.918802,0.275273,val
7,0.09997267,2.406140,0.369963,2.618323,0.337545,val
8,0.09989069,2.230720,0.402824,2.355454,0.379329,val
9,0.09975417,2.087690,0.432772,2.294955,0.403306,val
10,0.09956325,1.956839,0.465154,2.385348,0.391622,val
11,0.09931813,1.858180,0.487971,2.152798,0.442151,val
12,0.09901910,1.769062,0.506942,2.224404,0.435048,val
13,0.09866646,1.683662,0.526209,2.167539,0.450439,val
14,0.09826062,1.601977,0.547895,2.217571,0.442685,val
15,0.09780201,1.532697,0.564030,2.136024,0.448644,val
16,0.09729113,1.464340,0.578258,2.059528,0.474017,val
17,0.09672855,1.392493,0.596461,2.124611,0.461823,val
18,0.09611488,1.330553,0.611026,2.114891,0.475161,val
19,0.09545078,1.271988,0.629421,2.128293,0.468058,val
20,0.09473699,1.207159,0.642379,2.080845,0.483231,val
21,0.09397429,1.161004,0.653890,2.049409,0.490434,val
22,0.09316351,1.108870,0.668656,2.168733,0.467424,val
23,0.09230553,1.062016,0.678414,2.158911,0.474985,val
24,0.09140130,1.005701,0.693369,2.123732,0.482222,val
25,0.09045180,0.957762,0.707390,2.169410,0.487096,val
26,0.08945808,0.915601,0.717186,2.173033,0.496328,val
27,0.08842121,0.865422,0.731370,2.198854,0.495935,val
28,0.08734234,0.829891,0.739727,2.214071,0.485853,val
29,0.08622264,0.775447,0.757915,2.318123,0.479894,val
30,0.08506333,0.758407,0.761883,2.296715,0.491853,val
31,0.08386569,0.696119,0.779639,2.316846,0.491519,val
32,0.08263103,0.649742,0.794780,2.337170,0.491595,val
33,0.08136068,0.625619,0.801313,2.351570,0.492797,val
34,0.08005605,0.583445,0.813782,2.392851,0.497155,val
35,0.07871856,0.550366,0.822383,2.471160,0.501361,val
36,0.07734967,0.516858,0.833723,2.440461,0.483824,val
37,0.07595088,0.497679,0.840065,2.456377,0.501144,val
38,0.07452372,0.470476,0.849039,2.594811,0.489226,val
39,0.07306975,0.432313,0.861762,2.568449,0.492522,val
40,0.07159056,0.406154,0.868897,2.497695,0.500727,val
41,0.07008776,0.373698,0.880073,2.559877,0.501818,val
42,0.06856301,0.384854,0.874693,2.492961,0.506387,val
43,0.06701796,0.358027,0.883831,2.495132,0.513296,val
