epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.665804,0.011509,4.666308,0.010516,val
2,0.01004000,4.590359,0.018988,4.364142,0.037367,val
3,0.02003000,4.114932,0.063529,3.862021,0.095691,val
4,0.03002000,3.819979,0.099362,3.818404,0.116806,val
5,0.04001000,3.617352,0.130805,3.616269,0.150027,val
6,0.05000000,3.448319,0.161420,3.491609,0.161394,val
7,0.04998633,3.282922,0.191777,3.285489,0.203301,val
8,0.04994535,3.181230,0.209476,3.656815,0.151921,val
9,0.04987710,3.041415,0.235139,2.950799,0.252428,val
10,0.04978165,2.916130,0.260207,3.204018,0.219618,val
11,0.04965910,2.818776,0.281102,2.747011,0.298259,val
12,0.04950960,2.667949,0.309747,2.736389,0.302089,val
13,0.04933330,2.586024,0.327319,2.553772,0.339674,val
14,0.04913040,2.503007,0.340889,2.759712,0.308318,val
15,0.04890111,2.790581,0.290805,2.739640,0.295004,val
16,0.04864570,2.521657,0.338569,2.495439,0.354214,val
17,0.04836444,2.416128,0.364042,2.650001,0.322289,val
18,0.04805763,2.511399,0.341938,2.567209,0.335216,val
19,0.04772562,2.684768,0.313052,2.538210,0.337128,val
20,0.04736876,2.410395,0.363339,2.375913,0.372900,val
21,0.04698745,2.387101,0.366073,2.399575,0.373117,val
22,0.04658210,2.436862,0.363625,2.485385,0.360114,val
23,0.04615315,2.277080,0.390928,3.310019,0.309368,val
24,0.04570108,2.216234,0.405312,2.356862,0.384267,val
25,0.04522638,2.235557,0.401281,2.340372,0.392455,val
26,0.04472957,2.140667,0.420588,2.364866,0.382942,val
27,0.04421119,2.137213,0.422102,2.232667,0.424872,val
28,0.04367180,2.002050,0.450892,2.214609,0.416027,val
29,0.04311201,2.066339,0.438251,16.295558,0.120513,val
30,0.04253241,2.417549,0.370281,2.348887,0.389610,val
31,0.04193365,2.128167,0.428362,2.273367,0.405159,val
32,0.04131638,2.010043,0.448695,2.235413,0.412854,val
33,0.04068127,1.960477,0.462494,2.269133,0.413429,val
34,0.04002902,1.938866,0.463085,2.425312,0.404191,val
35,0.03936034,1.804929,0.497168,2.216008,0.425265,val
36,0.03867597,1.779620,0.502800,2.394493,0.411787,val
37,0.03797664,1.767454,0.502921,2.268501,0.420274,val
38,0.03726314,1.704889,0.517932,2.185512,0.437594,val
39,0.03653622,1.727114,0.514683,2.490648,0.387399,val
40,0.03579670,1.671692,0.525595,2.116664,0.455547,val
41,0.03504538,1.615804,0.538803,2.094817,0.458767,val
42,0.03428308,1.564369,0.553186,2.335718,0.411587,val
43,0.03351063,1.526269,0.562403,2.131382,0.449430,val
44,0.03272888,1.459781,0.574629,2.305802,0.417799,val
