epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.659983,0.012209,4.781655,0.016146,val
2,0.01004000,4.451475,0.032035,4.202512,0.049479,val
3,0.02003000,4.030819,0.068362,3.836257,0.101389,val
4,0.03002000,3.766611,0.107754,3.634492,0.136285,val
5,0.04001000,3.544718,0.143562,3.441972,0.153733,val
6,0.05000000,3.377339,0.175725,3.245165,0.205252,val
7,0.04998633,3.200211,0.206592,3.053388,0.244922,val
8,0.04994535,3.021821,0.240415,2.881823,0.265929,val
9,0.04987710,2.875631,0.269360,2.822968,0.289453,val
10,0.04978165,2.754126,0.296380,2.656254,0.311024,val
11,0.04965910,2.769069,0.290494,2.634404,0.323090,val
12,0.04950960,2.586378,0.326459,2.534267,0.345182,val
13,0.04933330,2.471819,0.352700,2.846306,0.309332,val
14,0.04913040,2.401761,0.368526,2.419636,0.375347,val
15,0.04890111,2.310114,0.387118,2.363601,0.379557,val
16,0.04864570,2.233475,0.402288,2.311178,0.384766,val
17,0.04836444,2.184894,0.411714,2.232263,0.409288,val
18,0.04805763,2.114871,0.426216,2.193511,0.416536,val
19,0.04772562,2.102052,0.431316,2.304623,0.402821,val
20,0.04736876,2.088222,0.435682,2.241513,0.407899,val
21,0.04698745,2.011417,0.450981,2.148113,0.427778,val
22,0.04658210,1.936214,0.469027,2.086012,0.448785,val
23,0.04615315,1.905727,0.477378,2.096752,0.447786,val
24,0.04570108,1.872791,0.482185,2.090983,0.451345,val
25,0.04522638,1.807362,0.495689,2.196803,0.420399,val
26,0.04472957,1.808780,0.495609,1.997664,0.472873,val
27,0.04421119,1.850158,0.490438,2.014120,0.468229,val
28,0.04367180,1.791041,0.499968,2.011859,0.473655,val
29,0.04311201,1.683276,0.524808,2.011347,0.467014,val
30,0.04253241,1.722377,0.518002,2.297510,0.419922,val
31,0.04193365,1.659737,0.529661,2.038423,0.462370,val
32,0.04131638,1.567755,0.552286,1.989512,0.482465,val
33,0.04068127,1.657040,0.532551,2.024631,0.471441,val
34,0.04002902,1.668229,0.531821,1.977390,0.485113,val
35,0.03936034,1.578635,0.553241,2.021586,0.468924,val
36,0.03867597,1.505995,0.569444,1.917175,0.494444,val
37,0.03797664,1.507753,0.567393,1.920610,0.498958,val
38,0.03726314,1.418223,0.589930,1.923449,0.486936,val
39,0.03653622,1.408516,0.592222,1.927683,0.496224,val
40,0.03579670,1.319267,0.612687,1.865469,0.509852,val
41,0.03504538,1.284723,0.624528,1.840635,0.509201,val
42,0.03428308,1.336718,0.610221,1.947711,0.496918,val
43,0.03351063,1.255374,0.627406,1.886440,0.508854,val
44,0.03272888,1.177309,0.647910,1.893411,0.517318,val
45,0.03193869,1.147498,0.657046,1.850571,0.516233,val
46,0.03114091,1.103753,0.668046,1.896680,0.518316,val
47,0.03033642,1.054939,0.681995,1.887874,0.522092,val
48,0.02952611,1.028348,0.689034,1.959136,0.512587,val
49,0.02871085,1.006421,0.696492,1.951997,0.524609,val
50,0.02789154,0.951260,0.711533,1.914380,0.521484,val
51,0.02706907,0.927988,0.713990,2.117607,0.508030,val
52,0.02624435,0.894845,0.723891,1.946039,0.522005,val
53,0.02541827,0.859762,0.736574,2.022937,0.507031,val
54,0.02459173,0.815406,0.745920,1.996812,0.519054,val
55,0.02376565,0.793313,0.753206,2.003716,0.528385,val
56,0.02294093,0.749488,0.767405,2.028360,0.524913,val
57,0.02211846,0.721431,0.773142,2.039860,0.521918,val
58,0.02129915,0.681406,0.785868,2.008403,0.539453,val
59,0.02048389,0.646073,0.794710,2.093488,0.528082,val
60,0.01967358,0.612192,0.807302,2.102887,0.527127,val
61,0.01886909,0.581302,0.813723,2.083812,0.539670,val
62,0.01807131,0.553293,0.822942,2.124080,0.531207,val
63,0.01728112,0.507129,0.838226,2.127435,0.535330,val
64,0.01649937,0.493281,0.843995,2.198236,0.531293,val
65,0.01572692,0.458343,0.853978,2.161786,0.540885,val
66,0.01496462,0.437860,0.859151,2.195276,0.542144,val
