epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.624781,0.013716,4.571448,0.021071,val
2,0.02008000,3.717842,0.129792,3.265301,0.211891,val
3,0.04006000,3.046260,0.239556,3.031464,0.255894,val
4,0.06004000,2.521266,0.340300,2.330199,0.389108,val
5,0.08002000,2.157785,0.416911,2.341492,0.395726,val
6,0.10000000,1.936301,0.472047,2.182326,0.424150,val
7,0.09997267,1.724674,0.518449,1.867520,0.492923,val
8,0.09989069,1.589890,0.553114,1.961172,0.492027,val
9,0.09975417,1.503366,0.573134,1.838898,0.508697,val
10,0.09956325,1.430097,0.592088,1.832534,0.509731,val
11,0.09931813,1.373577,0.605856,1.782157,0.523185,val
12,0.09901910,1.327396,0.618425,1.803496,0.533651,val
13,0.09866646,1.296359,0.628060,1.850042,0.513683,val
14,0.09826062,1.260648,0.634699,1.843723,0.522840,val
15,0.09780201,1.223191,0.646378,1.964601,0.521450,val
16,0.09729113,1.202026,0.650013,1.678722,0.557973,val
17,0.09672855,1.177308,0.657833,1.578967,0.567750,val
18,0.09611488,1.138346,0.667545,1.589993,0.562006,val
19,0.09545078,1.127129,0.670464,1.672270,0.561834,val
20,0.09473699,1.102164,0.677293,1.922377,0.531778,val
21,0.09397429,1.086085,0.682048,1.565287,0.578619,val
22,0.09316351,1.057142,0.689086,1.791928,0.538752,val
23,0.09230553,1.050847,0.691956,1.907742,0.525011,val
24,0.09140130,1.024326,0.697529,1.569485,0.589947,val
25,0.09045180,1.014270,0.699907,1.524197,0.602424,val
26,0.08945808,0.992387,0.705926,1.712062,0.562822,val
27,0.08842121,0.976473,0.708797,1.614136,0.587109,val
28,0.08734234,0.964281,0.713394,1.603080,0.582548,val
29,0.08622264,0.943281,0.721241,1.710685,0.574368,val
30,0.08506333,0.934632,0.723376,1.635797,0.575195,val
31,0.08386569,0.918495,0.726336,1.549290,0.588810,val
32,0.08263103,0.906150,0.727366,1.522749,0.597358,val
33,0.08136068,0.879788,0.739139,1.662393,0.568578,val
34,0.08005605,0.864565,0.741295,1.931231,0.516682,val
35,0.07871856,0.853666,0.744407,1.550483,0.601264,val
36,0.07734967,0.851371,0.745642,1.629648,0.579722,val
37,0.07595088,0.822466,0.751586,1.577903,0.595784,val
38,0.07452372,0.807506,0.757793,1.494399,0.614534,val
39,0.07306975,0.795335,0.760481,1.530661,0.609111,val
40,0.07159056,0.765009,0.769100,1.513823,0.606009,val
41,0.07008776,0.751600,0.772498,1.708907,0.581572,val
42,0.06856301,0.740576,0.776937,1.463635,0.618072,val
43,0.06701796,0.722857,0.780069,1.418488,0.636248,val
44,0.06545430,0.706440,0.784900,1.577712,0.611592,val
45,0.06387376,0.682733,0.792715,1.696404,0.594290,val
46,0.06227805,0.667994,0.795603,1.537168,0.620485,val
47,0.06066892,0.655316,0.800182,1.564098,0.616636,val
48,0.05904812,0.629784,0.808027,1.533860,0.623874,val
49,0.05741744,0.605065,0.814527,1.546235,0.617050,val
50,0.05577865,0.587918,0.818665,1.572964,0.616383,val
51,0.05413355,0.571158,0.822401,1.449892,0.638856,val
52,0.05248394,0.542788,0.831168,1.405837,0.645669,val
53,0.05083161,0.516538,0.840150,1.494504,0.634662,val
54,0.04917839,0.514610,0.841163,1.435278,0.654779,val
55,0.04752606,0.478803,0.852685,1.472253,0.640464,val
56,0.04587645,0.453319,0.859030,1.392578,0.652217,val
57,0.04423135,0.441440,0.863202,1.526664,0.633330,val
58,0.04259256,0.412968,0.871540,1.486039,0.635685,val
59,0.04096188,0.387612,0.879224,1.476281,0.653217,val
60,0.03934108,0.366565,0.885029,1.391220,0.661592,val
61,0.03773195,0.339955,0.895458,1.407223,0.664396,val
62,0.03613624,0.325968,0.899010,1.363990,0.676677,val
63,0.03455570,0.301013,0.907764,1.349410,0.681261,val
64,0.03299204,0.267412,0.917402,1.474407,0.669554,val
65,0.03144699,0.251898,0.923976,1.367987,0.672955,val
66,0.02992224,0.243386,0.926279,1.365569,0.680733,val
67,0.02841944,0.212402,0.936469,1.380489,0.671312,val
68,0.02694025,0.180772,0.947589,1.261397,0.707893,val
69,0.02548628,0.163870,0.953234,1.351634,0.691211,val
70,0.02405912,0.140187,0.960896,1.268027,0.705159,val
71,0.02266033,0.126412,0.964965,1.191882,0.711098,val
72,0.02129144,0.106368,0.972994,1.183158,0.724828,val
73,0.01995395,0.086445,0.978890,1.172094,0.717383,val
74,0.01864932,0.066500,0.985216,1.118502,0.731870,val
75,0.01737897,0.055319,0.989241,1.088736,0.743095,val
76,0.01614431,0.040131,0.993480,1.065244,0.738385,val
77,0.01494667,0.034575,0.994385,1.042052,0.748782,val
78,0.01378736,0.027621,0.996276,1.033242,0.756330,val
79,0.01266766,0.022834,0.997470,1.004924,0.756066,val
80,0.01158879,0.019130,0.998513,0.976160,0.758950,val
