epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.711778,0.011250,4.639095,0.014540,val
2,0.00010090,4.148602,0.093174,3.955721,0.128168,val
3,0.00020080,3.917925,0.131015,3.703577,0.174870,val
4,0.00030070,3.722458,0.171955,3.539411,0.208116,val
5,0.00040060,3.576038,0.199366,3.436494,0.231380,val
6,0.00050050,3.456551,0.224240,3.412212,0.236632,val
7,0.00060040,3.362442,0.245458,3.322300,0.261979,val
8,0.00070030,3.276148,0.266537,3.266279,0.271311,val
9,0.00080020,3.201913,0.282539,3.222815,0.287847,val
10,0.00090010,3.125619,0.298018,3.120623,0.311068,val
11,0.00100000,3.053932,0.318286,3.091857,0.322396,val
12,0.00099970,2.967391,0.337227,3.039697,0.329991,val
13,0.00099878,2.886298,0.360226,2.977099,0.352040,val
14,0.00099726,2.789995,0.385552,2.950351,0.353602,val
15,0.00099514,2.703392,0.407164,2.951345,0.363889,val
16,0.00099241,2.610688,0.429077,2.915087,0.361155,val
17,0.00098908,2.511298,0.457681,2.927695,0.373220,val
18,0.00098516,2.410967,0.487204,2.956784,0.364236,val
19,0.00098065,2.298524,0.518594,2.931004,0.385417,val
20,0.00097555,2.172168,0.557313,2.930253,0.394618,val
21,0.00096988,2.041146,0.597985,2.945946,0.396050,val
22,0.00096363,1.924391,0.631576,3.029563,0.380208,val
23,0.00095682,1.797028,0.676554,3.017015,0.395182,val
24,0.00094945,1.667482,0.716623,3.092866,0.381424,val
25,0.00094153,1.544157,0.763597,3.117433,0.390495,val
26,0.00093308,1.443133,0.800826,3.178939,0.391102,val
27,0.00092410,1.360170,0.829979,3.195159,0.389670,val
28,0.00091460,1.282036,0.858067,3.172615,0.397700,val
29,0.00090460,1.235625,0.873208,3.213188,0.386979,val
30,0.00089411,1.181988,0.892407,3.240118,0.390668,val
31,0.00088314,1.158730,0.900204,3.220592,0.397569,val
32,0.00087170,1.135548,0.906709,3.242630,0.389757,val
33,0.00085981,1.097795,0.918419,3.257031,0.393273,val
34,0.00084748,1.096270,0.915107,3.302504,0.388455,val
35,0.00083473,1.073817,0.923248,3.270336,0.394401,val
36,0.00082157,1.059482,0.925217,3.220536,0.399436,val
37,0.00080802,1.046624,0.926359,3.300428,0.390755,val
38,0.00079410,1.032042,0.929928,3.324198,0.396137,val
39,0.00077982,1.026545,0.928844,3.319541,0.398611,val
40,0.00076519,1.004723,0.935322,3.367493,0.395530,val
41,0.00075025,1.001856,0.935555,3.399762,0.396701,val
42,0.00073500,0.986539,0.939328,3.405738,0.385286,val
43,0.00071947,0.965412,0.946780,3.421285,0.395399,val
