epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.758383,0.114318,2.661349,0.160247,val
2,0.02008000,2.092553,0.310386,2.406818,0.313318,val
3,0.04006000,1.745494,0.409344,2.943969,0.308957,val
4,0.06004000,1.637423,0.447416,1.947080,0.377453,val
5,0.08002000,1.589770,0.463184,1.752154,0.427053,val
6,0.10000000,1.578791,0.469322,1.650042,0.451308,val
7,0.09997267,1.538009,0.484641,1.824768,0.415789,val
8,0.09989069,1.509905,0.493433,1.559028,0.485919,val
9,0.09975417,1.481139,0.503360,1.588751,0.466479,val
10,0.09956325,1.460932,0.511949,1.757295,0.438408,val
11,0.09931813,1.444464,0.516330,1.798639,0.427507,val
12,0.09901910,1.435663,0.521027,1.599469,0.481922,val
13,0.09866646,1.420768,0.527032,1.589446,0.482831,val
14,0.09826062,1.403981,0.532608,2.168235,0.390898,val
15,0.09780201,1.401995,0.533864,1.473704,0.516443,val
16,0.09729113,1.392256,0.538797,1.525473,0.502544,val
17,0.09672855,1.380258,0.541544,1.490650,0.504360,val
18,0.09611488,1.378516,0.543025,1.476811,0.514898,val
19,0.09545078,1.367991,0.547314,1.444585,0.520076,val
20,0.09473699,1.355577,0.549755,1.600337,0.488645,val
21,0.09397429,1.350190,0.553176,1.492025,0.507449,val
22,0.09316351,1.340659,0.556934,1.437683,0.528616,val
23,0.09230553,1.336305,0.558997,1.506910,0.511719,val
24,0.09140130,1.328353,0.562531,1.464603,0.513626,val
25,0.09045180,1.321908,0.563807,1.438780,0.527616,val
26,0.08945808,1.313695,0.567208,1.453996,0.528888,val
27,0.08842121,1.306031,0.568791,1.435298,0.535701,val
28,0.08734234,1.298046,0.571998,1.449955,0.521166,val
29,0.08622264,1.295745,0.574316,1.444671,0.528161,val
30,0.08506333,1.283181,0.578421,1.376090,0.552144,val
31,0.08386569,1.280126,0.578554,1.463909,0.527980,val
32,0.08263103,1.270627,0.581955,1.418049,0.533339,val
33,0.08136068,1.264842,0.583783,1.556375,0.507903,val
34,0.08005605,1.252177,0.588777,1.494951,0.517442,val
35,0.07871856,1.247660,0.590319,1.411146,0.543695,val
36,0.07734967,1.239969,0.593035,1.416348,0.534339,val
37,0.07595088,1.228544,0.595415,1.423550,0.539971,val
38,0.07452372,1.222313,0.600245,1.503708,0.518169,val
39,0.07306975,1.212076,0.604810,1.339329,0.567315,val
40,0.07159056,1.197917,0.607782,1.441079,0.538881,val
41,0.07008776,1.193201,0.608844,1.331596,0.574582,val
42,0.06856301,1.182827,0.610968,1.337298,0.567769,val
43,0.06701796,1.171074,0.615605,1.367030,0.552689,val
44,0.06545430,1.157693,0.620946,1.468000,0.524982,val
45,0.06387376,1.149823,0.623734,1.401230,0.556959,val
46,0.06227805,1.133833,0.627288,1.308753,0.570040,val
47,0.06066892,1.118670,0.634375,1.336232,0.570040,val
48,0.05904812,1.109499,0.636070,1.341122,0.569222,val
49,0.05741744,1.096774,0.641156,1.301053,0.568314,val
50,0.05577865,1.078943,0.646661,1.290638,0.595658,val
51,0.05413355,1.064467,0.651358,1.313285,0.579397,val
52,0.05248394,1.050011,0.656996,1.296045,0.590752,val
53,0.05083161,1.034201,0.661193,1.285691,0.595113,val
54,0.04917839,1.015956,0.668382,1.259801,0.596294,val
55,0.04752606,1.001674,0.671201,1.268367,0.600109,val
56,0.04587645,0.981262,0.677665,1.275126,0.596930,val
57,0.04423135,0.962575,0.685100,1.248521,0.596294,val
58,0.04259256,0.946127,0.691595,1.235783,0.609012,val
59,0.04096188,0.922876,0.695159,1.230607,0.606650,val
60,0.03934108,0.900862,0.705219,1.287708,0.602834,val
61,0.03773195,0.879379,0.710856,1.206432,0.625727,val
62,0.03613624,0.858476,0.718025,1.205839,0.620549,val
63,0.03455570,0.832840,0.726001,1.203405,0.619368,val
64,0.03299204,0.805597,0.734140,1.173731,0.638626,val
65,0.03144699,0.783421,0.741575,1.237800,0.630541,val
66,0.02992224,0.757135,0.751736,1.253537,0.624364,val
67,0.02841944,0.728047,0.760539,1.215417,0.642714,val
68,0.02694025,0.700058,0.770016,1.215682,0.633539,val
69,0.02548628,0.668323,0.780127,1.260726,0.643623,val
70,0.02405912,0.637171,0.789348,1.220565,0.640443,val
71,0.02266033,0.606998,0.799357,1.249323,0.654524,val
72,0.02129144,0.573982,0.809926,1.265402,0.640988,val
73,0.01995395,0.541646,0.820782,1.217484,0.655432,val
74,0.01864932,0.511104,0.830566,1.228690,0.663881,val
75,0.01737897,0.478448,0.841003,1.262750,0.653070,val
76,0.01614431,0.438569,0.854841,1.317060,0.659157,val
77,0.01494667,0.398683,0.868750,1.262686,0.669695,val
78,0.01378736,0.375677,0.876072,1.248710,0.666969,val
79,0.01266766,0.335531,0.889308,1.243611,0.683140,val
80,0.01158879,0.301641,0.901348,1.325912,0.674600,val
81,0.01055192,0.262837,0.913848,1.258000,0.681504,val
82,0.00955820,0.225318,0.925776,1.332999,0.689680,val
83,0.00860870,0.196961,0.934824,1.307275,0.694949,val
84,0.00770447,0.164787,0.945731,1.315363,0.694677,val
85,0.00684649,0.139814,0.953023,1.282436,0.700945,val
86,0.00603571,0.114448,0.960938,1.274242,0.710938,val
87,0.00527301,0.098441,0.965574,1.253776,0.714299,val
88,0.00455922,0.082859,0.970384,1.229014,0.715480,val
89,0.00389512,0.072581,0.973570,1.213912,0.717569,val
90,0.00328145,0.065801,0.975837,1.205265,0.716116,val
91,0.00271887,0.058576,0.978299,1.196429,0.721203,val
92,0.00220799,0.054941,0.979269,1.202091,0.720930,val
93,0.00174938,0.051330,0.980556,1.197445,0.720113,val
94,0.00134354,0.048948,0.981801,1.206933,0.722565,val
95,0.00099090,0.046814,0.982363,1.202779,0.722020,val
96,0.00069187,0.045239,0.982996,1.197045,0.721021,val
97,0.00044675,0.044192,0.983201,1.195674,0.721203,val
98,0.00025583,0.042916,0.983997,1.193024,0.721839,val
99,0.00011931,0.042307,0.984222,1.195048,0.722747,val
100,0.00003733,0.042050,0.984559,1.202624,0.721566,val
