epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.589827,0.163526,2.720860,0.168295,val
2,0.02008000,1.954300,0.338796,2.574409,0.291499,val
3,0.04006000,1.750890,0.392786,1.949503,0.346608,val
4,0.06004000,1.675398,0.417348,2.623909,0.239547,val
5,0.08002000,1.639330,0.431709,1.834850,0.381615,val
6,0.10000000,1.628418,0.438132,1.879421,0.385562,val
7,0.09991846,1.596316,0.446540,1.950522,0.326764,val
8,0.09967412,1.575307,0.454948,2.256253,0.323620,val
9,0.09926777,1.558555,0.461224,1.597516,0.440304,val
10,0.09870073,1.542689,0.469015,1.615650,0.469635,val
11,0.09797485,1.520374,0.473365,2.019800,0.318285,val
12,0.09709251,1.512481,0.478936,2.165367,0.325471,val
13,0.09605658,1.494333,0.485022,1.719657,0.475419,val
14,0.09487043,1.483022,0.489534,1.838506,0.406931,val
15,0.09353795,1.471034,0.494620,1.609200,0.458542,val
16,0.09206347,1.453610,0.501102,1.877184,0.390475,val
17,0.09045180,1.441252,0.504410,2.321307,0.291962,val
18,0.08870821,1.429278,0.509510,1.706837,0.444346,val
19,0.08683837,1.414910,0.513450,1.557524,0.500980,val
20,0.08484839,1.404052,0.519300,2.593112,0.319646,val
21,0.08274476,1.394114,0.521784,1.906523,0.421753,val
22,0.08053434,1.377272,0.530030,2.117792,0.324559,val
23,0.07822434,1.361908,0.534719,3.144303,0.313330,val
24,0.07582229,1.345315,0.541113,2.054841,0.425550,val
25,0.07333603,1.332473,0.542627,2.290516,0.356816,val
26,0.07077367,1.317719,0.549080,2.074061,0.371039,val
27,0.06814357,1.300572,0.555077,1.410756,0.562908,val
28,0.06545430,1.286474,0.560133,1.529022,0.515380,val
29,0.06271465,1.262573,0.567086,1.550012,0.509691,val
30,0.05993353,1.251128,0.573201,1.672726,0.473772,val
31,0.05712003,1.232230,0.579536,1.849969,0.453098,val
32,0.05428332,1.208821,0.587238,1.523645,0.533550,val
33,0.05143266,1.188685,0.594867,1.547553,0.536585,val
34,0.04857734,1.168099,0.602408,1.670162,0.528283,val
35,0.04572668,1.140987,0.611227,1.444530,0.548018,val
36,0.04288997,1.115184,0.619855,2.562534,0.373938,val
37,0.04007647,1.091621,0.624765,1.576646,0.497319,val
38,0.03729535,1.065272,0.635510,1.936057,0.401241,val
39,0.03455570,1.039678,0.645314,1.878322,0.489642,val
40,0.03186643,1.014192,0.652458,1.478993,0.570694,val
41,0.02923633,0.983003,0.664364,1.508952,0.558866,val
42,0.02667397,0.955361,0.673859,1.554195,0.575498,val
43,0.02418771,0.920382,0.685839,1.388588,0.601549,val
44,0.02178566,0.894954,0.693247,1.414418,0.622400,val
45,0.01947566,0.857911,0.704301,1.248729,0.641129,val
46,0.01726524,0.827147,0.715604,1.670595,0.586727,val
47,0.01516161,0.793684,0.724438,1.249729,0.674502,val
48,0.01317163,0.756673,0.738270,1.276686,0.654834,val
49,0.01130179,0.717799,0.751058,1.303443,0.655814,val
50,0.00955820,0.687038,0.761024,1.541277,0.618848,val
51,0.00794653,0.649975,0.772872,1.219475,0.683281,val
52,0.00647205,0.612257,0.786468,1.369317,0.651486,val
53,0.00513957,0.577545,0.797448,1.338386,0.643265,val
54,0.00395342,0.540801,0.810472,1.187583,0.715892,val
55,0.00291749,0.513013,0.821804,1.256678,0.696891,val
56,0.00203515,0.483556,0.828713,1.226457,0.710624,val
57,0.00130927,0.463562,0.835783,1.215195,0.705711,val
58,0.00074223,0.444673,0.843059,1.211710,0.710556,val
59,0.00033588,0.435505,0.845264,1.227839,0.711114,val
60,0.00009154,0.426052,0.848998,1.209699,0.720356,val
