epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.493079,0.192180,2.588149,0.200661,val
2,0.02008000,1.834186,0.373293,1.987666,0.345138,val
3,0.04006000,1.636080,0.432730,1.753172,0.414389,val
4,0.06004000,1.561579,0.459520,2.127193,0.340538,val
5,0.08002000,1.540547,0.468407,1.824979,0.403610,val
6,0.10000000,1.544386,0.466422,1.802654,0.373176,val
7,0.09991846,1.515273,0.478372,2.390506,0.293976,val
8,0.09967412,1.493313,0.485290,1.665352,0.452581,val
9,0.09926777,1.473684,0.492992,1.644464,0.477964,val
10,0.09870073,1.463664,0.496725,1.798334,0.409476,val
11,0.09797485,1.449280,0.502246,2.288337,0.361675,val
12,0.09709251,1.429057,0.509728,1.951197,0.429048,val
13,0.09605658,1.413783,0.515551,1.858221,0.442985,val
14,0.09487043,1.407800,0.516385,2.071376,0.358109,val
15,0.09353795,1.392430,0.522559,1.852795,0.432981,val
16,0.09206347,1.379604,0.528114,1.746867,0.431402,val
17,0.09045180,1.368426,0.530768,2.208950,0.373421,val
18,0.08870821,1.359188,0.535742,1.901350,0.472112,val
19,0.08683837,1.348135,0.539663,1.713967,0.429034,val
20,0.08484839,1.334674,0.544604,1.590950,0.518034,val
21,0.08274476,1.318411,0.549856,1.690127,0.453275,val
22,0.08053434,1.303801,0.556047,1.846042,0.432736,val
23,0.07822434,1.291153,0.558498,1.885422,0.446020,val
24,0.07582229,1.276560,0.565081,1.741959,0.498299,val
25,0.07333603,1.266066,0.569255,2.411708,0.334359,val
26,0.07077367,1.249890,0.572636,1.505505,0.534448,val
27,0.06814357,1.227712,0.583916,1.567515,0.520334,val
28,0.06545430,1.214225,0.585010,1.601361,0.500490,val
29,0.06271465,1.193123,0.593766,1.466815,0.542261,val
30,0.05993353,1.178267,0.598577,1.626965,0.506982,val
31,0.05712003,1.162521,0.604197,1.428190,0.552415,val
32,0.05428332,1.136785,0.613034,1.795892,0.480550,val
33,0.05143266,1.121307,0.618801,1.428855,0.569918,val
34,0.04857734,1.095205,0.626928,1.558199,0.543799,val
35,0.04572668,1.070080,0.635128,1.426985,0.590320,val
36,0.04288997,1.045503,0.644162,1.253572,0.627804,val
37,0.04007647,1.023298,0.651750,1.831014,0.510467,val
38,0.03729535,0.998034,0.658341,1.389480,0.582685,val
39,0.03455570,0.970352,0.667391,1.236364,0.641864,val
40,0.03186643,0.942764,0.678091,1.568606,0.542479,val
41,0.02923633,0.913919,0.685891,1.363912,0.609960,val
42,0.02667397,0.885883,0.696999,1.567823,0.564582,val
43,0.02418771,0.856267,0.706604,1.702687,0.556947,val
44,0.02178566,0.823878,0.717394,1.420218,0.613268,val
45,0.01947566,0.788093,0.728592,1.654967,0.523955,val
46,0.01726524,0.758588,0.738916,1.232525,0.672202,val
47,0.01516161,0.724271,0.749257,1.310557,0.639659,val
48,0.01317163,0.689651,0.760822,1.208641,0.694414,val
49,0.01130179,0.651884,0.773099,1.291721,0.672828,val
50,0.00955820,0.615089,0.785375,1.183712,0.705888,val
51,0.00794653,0.584484,0.796262,1.338427,0.653963,val
52,0.00647205,0.545245,0.809045,1.224232,0.686847,val
53,0.00513957,0.514831,0.818675,1.336320,0.666376,val
54,0.00395342,0.474474,0.831997,1.227473,0.699123,val
55,0.00291749,0.443453,0.842116,1.147347,0.720737,val
56,0.00203515,0.416369,0.851959,1.259202,0.699818,val
57,0.00130927,0.392329,0.860061,1.161641,0.719975,val
58,0.00074223,0.370649,0.867281,1.173519,0.721540,val
59,0.00033588,0.361784,0.870802,1.156371,0.732211,val
60,0.00009154,0.353503,0.874159,1.152935,0.734130,val
