epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.758846,0.112163,2.755735,0.117065,val
2,0.02008000,2.293164,0.259903,2.684044,0.271246,val
3,0.04006000,2.035950,0.319175,1.941066,0.366303,val
4,0.06004000,1.931145,0.338615,1.944871,0.349426,val
5,0.08002000,1.864765,0.360035,2.258150,0.313262,val
6,0.10000000,1.845740,0.366417,1.760319,0.408469,val
7,0.09991846,1.788576,0.384610,1.764299,0.373312,val
8,0.09967412,1.759074,0.388204,1.805738,0.392149,val
9,0.09926777,1.744333,0.396273,1.727440,0.394586,val
10,0.09870073,1.719479,0.400968,1.733404,0.397798,val
11,0.09797485,1.709964,0.404856,1.785266,0.387372,val
12,0.09709251,1.698689,0.408597,1.660317,0.419520,val
13,0.09605658,1.680494,0.414613,1.853039,0.385739,val
14,0.09487043,1.664368,0.428110,1.776412,0.375027,val
15,0.09353795,1.656729,0.422609,2.019780,0.350474,val
16,0.09206347,1.648787,0.423049,1.999832,0.319850,val
17,0.09045180,1.627420,0.435373,1.885963,0.372931,val
18,0.08870821,1.619960,0.437647,1.785518,0.422419,val
19,0.08683837,1.627715,0.438454,1.783632,0.411463,val
20,0.08484839,1.593914,0.450044,1.787375,0.400656,val
21,0.08274476,1.582941,0.450704,1.669493,0.441039,val
22,0.08053434,1.595516,0.451218,2.007604,0.370277,val
23,0.07822434,1.573463,0.454079,1.684915,0.427891,val
24,0.07582229,1.565405,0.458553,1.936111,0.359089,val
25,0.07333603,1.558387,0.460167,2.235626,0.298236,val
26,0.07077367,1.536613,0.468310,1.825573,0.396369,val
27,0.06814357,1.542306,0.472418,1.865468,0.393334,val
28,0.06545430,1.518303,0.475572,1.765603,0.400139,val
29,0.06271465,1.510670,0.481367,2.295051,0.294371,val
30,0.05993353,1.501426,0.481001,1.889476,0.376837,val
31,0.05712003,1.481531,0.481881,1.806348,0.426775,val
32,0.05428332,1.471059,0.492151,1.701169,0.431062,val
33,0.05143266,1.457139,0.495305,1.486860,0.493834,val
34,0.04857734,1.451130,0.494572,1.721465,0.424094,val
35,0.04572668,1.427026,0.509243,1.946117,0.393960,val
36,0.04288997,1.408482,0.512837,1.639611,0.469812,val
37,0.04007647,1.380268,0.523254,1.521606,0.500109,val
38,0.03729535,1.377618,0.523548,1.841852,0.431470,val
39,0.03455570,1.355862,0.537485,1.910721,0.402044,val
40,0.03186643,1.343116,0.540640,1.912565,0.393020,val
41,0.02923633,1.307688,0.553404,1.761979,0.421086,val
42,0.02667397,1.293066,0.555018,1.835990,0.434097,val
43,0.02418771,1.280630,0.559859,1.758813,0.462271,val
44,0.02178566,1.252117,0.570202,2.043015,0.437867,val
45,0.01947566,1.230326,0.578052,1.732395,0.459658,val
46,0.01726524,1.205846,0.590669,1.459855,0.513502,val
47,0.01516161,1.168424,0.599472,2.390064,0.311901,val
48,0.01317163,1.143924,0.608128,1.729273,0.486444,val
49,0.01130179,1.113339,0.621846,1.396001,0.548998,val
50,0.00955820,1.084047,0.627567,1.538527,0.510916,val
51,0.00794653,1.049429,0.639231,1.334919,0.605346,val
52,0.00647205,1.025529,0.650235,1.529158,0.529372,val
53,0.00513957,0.994775,0.658964,1.504571,0.547011,val
54,0.00395342,0.968403,0.669968,1.527939,0.528460,val
55,0.00291749,0.945595,0.673929,1.417363,0.570027,val
56,0.00203515,0.930868,0.679944,1.345102,0.603400,val
57,0.00130927,0.892762,0.694469,1.426445,0.568666,val
58,0.00074223,0.873357,0.702025,1.427555,0.572885,val
59,0.00033588,0.882360,0.698137,1.389129,0.580589,val
60,0.00009154,0.867682,0.705179,1.457824,0.563711,val
