epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.489689,0.190702,2.613449,0.201737,val
2,0.02008000,1.839912,0.368711,1.884820,0.385698,val
3,0.04006000,1.649854,0.428034,1.811436,0.389985,val
4,0.06004000,1.580998,0.452545,2.008735,0.374047,val
5,0.08002000,1.555877,0.463825,1.903596,0.385099,val
6,0.10000000,1.558164,0.460876,2.388752,0.294507,val
7,0.09991846,1.525814,0.473430,2.097133,0.387372,val
8,0.09967412,1.502468,0.482284,1.809089,0.415301,val
9,0.09926777,1.480894,0.491073,1.965426,0.388692,val
10,0.09870073,1.466134,0.495606,1.881334,0.392354,val
11,0.09797485,1.448105,0.503055,1.751781,0.468138,val
12,0.09709251,1.437122,0.507710,1.957045,0.445326,val
13,0.09605658,1.419569,0.513371,2.565414,0.331215,val
14,0.09487043,1.407140,0.518100,1.947492,0.412756,val
15,0.09353795,1.393579,0.523997,1.839151,0.462067,val
16,0.09206347,1.385853,0.526398,1.920882,0.427224,val
17,0.09045180,1.371179,0.531650,1.986567,0.438317,val
18,0.08870821,1.361725,0.535032,1.436793,0.546657,val
19,0.08683837,1.345590,0.541068,1.473727,0.537661,val
20,0.08484839,1.331580,0.545985,1.657427,0.455398,val
21,0.08274476,1.322511,0.547978,1.534328,0.516945,val
22,0.08053434,1.306040,0.555321,1.530215,0.535714,val
23,0.07822434,1.293826,0.558963,2.115858,0.400969,val
24,0.07582229,1.275792,0.564109,2.312419,0.435567,val
25,0.07333603,1.264776,0.569590,1.980645,0.400683,val
26,0.07077367,1.243174,0.577496,1.504756,0.545650,val
27,0.06814357,1.227476,0.582103,1.581659,0.534489,val
28,0.06545430,1.212070,0.589005,2.510585,0.466395,val
29,0.06271465,1.196611,0.593235,1.710404,0.459345,val
30,0.05993353,1.180368,0.597916,1.630654,0.516700,val
31,0.05712003,1.157319,0.607170,1.589701,0.539512,val
32,0.05428332,1.135478,0.615092,1.464467,0.528215,val
33,0.05143266,1.112802,0.622117,1.618146,0.489683,val
34,0.04857734,1.087166,0.629762,1.215537,0.627423,val
35,0.04572668,1.071505,0.635961,1.395530,0.595873,val
36,0.04288997,1.045087,0.644399,1.568018,0.510535,val
37,0.04007647,1.025283,0.649356,1.638072,0.526609,val
38,0.03729535,0.996672,0.659819,1.314880,0.614833,val
39,0.03455570,0.967306,0.669122,1.650190,0.520538,val
40,0.03186643,0.945293,0.677127,1.219607,0.674747,val
41,0.02923633,0.910657,0.688733,1.641705,0.545514,val
42,0.02667397,0.882567,0.696264,1.415379,0.608422,val
43,0.02418771,0.849153,0.708091,1.311951,0.628185,val
44,0.02178566,0.821697,0.717615,2.025954,0.528841,val
45,0.01947566,0.787047,0.729646,1.470787,0.612846,val
46,0.01726524,0.757269,0.738606,1.456225,0.592933,val
47,0.01516161,0.724020,0.750482,1.398077,0.649880,val
48,0.01317163,0.688632,0.759850,1.248795,0.646573,val
49,0.01130179,0.653855,0.771767,1.404168,0.662892,val
50,0.00955820,0.611271,0.785652,1.287300,0.648002,val
51,0.00794653,0.579712,0.796752,1.374933,0.652153,val
52,0.00647205,0.545768,0.807215,1.249757,0.702159,val
53,0.00513957,0.513479,0.819369,1.233115,0.713415,val
54,0.00395342,0.476477,0.831547,1.301196,0.699192,val
55,0.00291749,0.444906,0.842018,1.266111,0.695843,val
56,0.00203515,0.413199,0.852571,1.193514,0.719594,val
57,0.00130927,0.393000,0.858803,1.195850,0.717743,val
58,0.00074223,0.372943,0.866162,1.210778,0.719798,val
59,0.00033588,0.358781,0.871145,1.183438,0.731830,val
60,0.00009154,0.356745,0.872011,1.175770,0.730959,val
