epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,2.669436,0.300589,2.307734,0.395499,val
2,0.00010090,1.153537,0.843411,0.851656,0.945146,val
3,0.00020080,0.785706,0.961607,0.762037,0.956864,val
4,0.00030070,0.715774,0.980060,0.684647,0.990518,val
5,0.00040060,0.676257,0.990476,0.673642,0.986367,val
6,0.00050050,0.659516,0.994048,0.681068,0.987792,val
7,0.00060040,0.648476,0.997321,0.687626,0.982461,val
8,0.00070030,0.660441,0.994494,0.662750,0.987914,val
9,0.00080020,0.651724,0.995089,0.672809,0.986490,val
10,0.00090010,0.666646,0.989798,0.694681,0.984943,val
11,0.00100000,0.655870,0.993899,0.677588,0.983885,val
12,0.00099846,0.641280,0.997173,0.644157,0.991820,val
13,0.00099385,0.629914,0.998214,0.635587,0.994547,val
14,0.00098620,0.626945,0.999405,0.644294,0.989094,val
15,0.00097555,0.645980,0.993155,0.699058,0.978432,val
16,0.00096198,0.665782,0.989798,0.754077,0.958411,val
17,0.00094556,0.664997,0.990923,0.640249,0.997273,val
18,0.00092639,0.634276,0.997429,0.639113,0.990641,val
19,0.00090460,0.627748,0.999107,0.629971,0.995971,val
20,0.00088032,0.624917,0.999554,0.646700,0.987792,val
21,0.00085370,0.623146,1.000000,0.654586,0.987792,val
22,0.00082490,0.625176,0.999405,0.636160,0.994424,val
23,0.00079410,0.638039,0.996726,0.644267,0.991943,val
24,0.00076149,0.626166,0.999405,0.642445,0.990273,val
25,0.00072727,0.635016,0.997173,0.645273,0.991820,val
26,0.00069165,0.638747,0.995089,0.709250,0.964922,val
27,0.00065485,0.645469,0.993750,0.649785,0.990518,val
28,0.00061711,0.624667,0.999702,0.638665,0.994547,val
29,0.00057864,0.631794,0.997470,0.675486,0.983763,val
30,0.00053969,0.626189,0.999405,0.650364,0.990763,val
31,0.00050050,0.622752,1.000000,0.643011,0.994669,val
32,0.00046131,0.622515,1.000000,0.640087,0.994669,val
33,0.00042236,0.622307,1.000000,0.641208,0.994669,val
34,0.00038389,0.622140,1.000000,0.641621,0.993245,val
35,0.00034615,0.622076,1.000000,0.640245,0.994669,val
36,0.00030935,0.621945,1.000000,0.637164,0.994669,val
37,0.00027373,0.621878,1.000000,0.638483,0.993245,val
38,0.00023951,0.621829,1.000000,0.639430,0.993245,val
39,0.00020690,0.621763,1.000000,0.639164,0.991820,val
40,0.00017610,0.621760,1.000000,0.637622,0.994669,val
41,0.00014730,0.622020,0.999851,0.637321,0.995971,val
42,0.00012068,0.621809,1.000000,0.638659,0.993245,val
43,0.00009640,0.621827,1.000000,0.639551,0.994669,val
44,0.00007461,0.621741,1.000000,0.638977,0.993245,val
45,0.00005544,0.621666,1.000000,0.638883,0.993245,val
46,0.00003902,0.621645,1.000000,0.639246,0.993245,val
47,0.00002545,0.621658,1.000000,0.639093,0.993245,val
48,0.00001480,0.621640,1.000000,0.638811,0.991820,val
49,0.00000715,0.621633,1.000000,0.638660,0.991820,val
50,0.00000254,0.621714,1.000000,0.638642,0.991820,val
