epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.328590,0.418060,1.738901,0.581386,val
2,0.02008000,0.308302,0.920792,0.133625,0.946203,val
3,0.04006000,0.150968,0.955506,0.151261,0.967771,val
4,0.06004000,0.140167,0.961756,0.139400,0.964799,val
5,0.08002000,0.106033,0.971875,0.149079,0.955685,val
6,0.10000000,0.126010,0.963458,0.065662,0.975706,val
7,0.09987821,0.122029,0.967667,0.134247,0.948807,val
8,0.09951345,0.080228,0.977083,0.095755,0.962685,val
9,0.09890749,0.068258,0.979315,0.062702,0.975706,val
10,0.09806328,0.053356,0.982738,0.106491,0.974404,val
11,0.09698493,0.047581,0.985565,0.059703,0.979612,val
12,0.09567771,0.043303,0.987161,0.069819,0.977008,val
13,0.09414796,0.047331,0.985565,0.061198,0.979734,val
14,0.09240316,0.042519,0.987458,0.057437,0.981159,val
15,0.09045180,0.038765,0.988798,0.054522,0.981159,val
16,0.08830339,0.037930,0.988839,0.053099,0.978432,val
17,0.08596839,0.038714,0.988393,0.057420,0.977130,val
18,0.08345818,0.038996,0.988690,0.053497,0.979734,val
19,0.08078500,0.036313,0.989137,0.049186,0.982461,val
20,0.07796185,0.036197,0.989137,0.049336,0.982461,val
21,0.07500250,0.035768,0.989435,0.054017,0.977130,val
22,0.07192137,0.036668,0.989095,0.052320,0.981159,val
23,0.06873346,0.036146,0.989435,0.052404,0.979857,val
24,0.06545430,0.035806,0.989393,0.056240,0.981036,val
25,0.06209989,0.035637,0.989435,0.047199,0.982461,val
26,0.05868654,0.035885,0.989393,0.051014,0.981036,val
27,0.05523090,0.036160,0.989435,0.052476,0.981036,val
28,0.05174980,0.034995,0.989435,0.051227,0.981036,val
29,0.04826020,0.034986,0.989435,0.051284,0.981036,val
30,0.04477910,0.035420,0.989435,0.052571,0.981036,val
31,0.04132346,0.035042,0.989435,0.054370,0.979734,val
32,0.03791011,0.034766,0.989435,0.048891,0.981036,val
33,0.03455570,0.035016,0.989435,0.049004,0.981036,val
34,0.03127654,0.034638,0.989435,0.054409,0.981036,val
35,0.02808863,0.034506,0.989435,0.054173,0.981036,val
36,0.02500750,0.034678,0.989435,0.049006,0.981036,val
37,0.02204815,0.034662,0.989435,0.049676,0.981036,val
38,0.01922500,0.034418,0.989435,0.053890,0.981036,val
39,0.01655182,0.034771,0.989351,0.051690,0.981036,val
40,0.01404161,0.034415,0.989393,0.051611,0.981036,val
41,0.01170661,0.034289,0.989435,0.053858,0.981036,val
42,0.00955820,0.034390,0.989393,0.049926,0.981036,val
43,0.00760684,0.034398,0.989435,0.049995,0.981036,val
44,0.00586204,0.034084,0.989435,0.048624,0.981036,val
45,0.00433229,0.034224,0.989435,0.049251,0.982461,val
46,0.00302507,0.034122,0.989435,0.050591,0.981036,val
47,0.00194672,0.033943,0.989435,0.049831,0.981036,val
48,0.00110251,0.034081,0.989435,0.051857,0.981036,val
49,0.00049655,0.034042,0.989435,0.050774,0.981036,val
50,0.00013179,0.034117,0.989435,0.049675,0.982461,val
