epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.066359,0.480446,1.288484,0.706397,val
2,0.01004000,1.755441,0.649815,0.772906,0.859119,val
3,0.02003000,nan,0.433482,nan,0.009604,val
4,0.03002000,nan,0.013435,nan,0.009604,val
5,0.04001000,nan,0.013435,nan,0.009604,val
6,0.05000000,nan,0.013393,nan,0.009604,val
7,0.04993911,nan,0.013435,nan,0.009604,val
8,0.04975675,nan,0.013435,nan,0.009604,val
9,0.04945380,nan,0.013393,nan,0.009604,val
10,0.04903174,nan,0.013393,nan,0.009604,val
11,0.04849262,nan,0.013393,nan,0.009604,val
12,0.04783907,nan,0.013393,nan,0.009604,val
13,0.04707428,nan,0.013393,nan,0.009604,val
14,0.04620196,nan,0.013435,nan,0.009604,val
15,0.04522638,nan,0.013393,nan,0.009604,val
16,0.04415228,nan,0.013393,nan,0.009604,val
17,0.04298490,nan,0.013393,nan,0.009604,val
18,0.04172992,nan,0.013393,nan,0.009604,val
19,0.04039346,nan,0.013393,nan,0.009604,val
20,0.03898203,nan,0.013393,nan,0.009604,val
21,0.03750250,nan,0.013393,nan,0.009604,val
22,0.03596209,nan,0.013393,nan,0.009604,val
23,0.03436829,nan,0.013393,nan,0.009604,val
24,0.03272888,nan,0.013393,nan,0.009604,val
25,0.03105184,nan,0.013393,nan,0.009604,val
26,0.02934534,nan,0.013393,nan,0.009604,val
27,0.02761769,nan,0.013393,nan,0.009604,val
28,0.02587731,nan,0.013393,nan,0.009604,val
29,0.02413269,nan,0.013393,nan,0.009604,val
30,0.02239231,nan,0.013393,nan,0.009604,val
31,0.02066466,nan,0.013393,nan,0.009604,val
32,0.01895816,nan,0.013435,nan,0.009604,val
33,0.01728112,nan,0.013393,nan,0.009604,val
34,0.01564171,nan,0.013393,nan,0.009604,val
35,0.01404791,nan,0.013393,nan,0.009604,val
36,0.01250750,nan,0.013393,nan,0.009604,val
37,0.01102797,nan,0.013393,nan,0.009604,val
38,0.00961654,nan,0.013435,nan,0.009604,val
39,0.00828008,nan,0.013435,nan,0.009604,val
40,0.00702510,nan,0.013435,nan,0.009604,val
41,0.00585772,nan,0.013393,nan,0.009604,val
42,0.00478362,nan,0.013435,nan,0.009604,val
43,0.00380804,nan,0.013435,nan,0.009604,val
44,0.00293572,nan,0.013435,nan,0.009604,val
45,0.00217093,nan,0.013393,nan,0.009604,val
46,0.00151738,nan,0.013435,nan,0.009604,val
47,0.00097826,nan,0.013393,nan,0.009604,val
48,0.00055620,nan,0.013393,nan,0.009604,val
49,0.00025325,nan,0.013393,nan,0.009604,val
50,0.00007089,nan,0.013393,nan,0.009604,val
