epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.927122,0.327220,3.072221,0.424145,val
2,0.01004000,0.844284,0.767708,0.284327,0.899038,val
3,0.02003000,0.320238,0.902488,0.119721,0.959591,val
4,0.03002000,0.184435,0.944899,0.075440,0.977008,val
5,0.04001000,0.152635,0.954869,0.117058,0.968950,val
6,0.05000000,0.274419,0.925024,0.130967,0.946448,val
7,0.04993911,0.126783,0.960482,0.100158,0.966346,val
8,0.04975675,0.098556,0.970940,0.061743,0.977130,val
9,0.04945380,0.091538,0.972726,0.086292,0.976885,val
10,0.04903174,0.066726,0.980952,0.070462,0.975706,val
11,0.04849262,0.061018,0.981208,0.064781,0.975706,val
12,0.04783907,0.066207,0.980762,0.092215,0.977008,val
13,0.04707428,0.053259,0.983292,0.092549,0.972979,val
14,0.04620196,0.055583,0.982101,0.082478,0.978310,val
15,0.04522638,0.053179,0.984821,0.068092,0.978187,val
16,0.04415228,0.046466,0.985714,0.063659,0.979734,val
17,0.04298490,0.042933,0.986458,0.081796,0.975583,val
18,0.04172992,0.048965,0.985970,0.068431,0.976885,val
19,0.04039346,0.044534,0.986458,0.058129,0.978432,val
20,0.03898203,0.043459,0.987012,0.069645,0.972979,val
21,0.03750250,0.039932,0.988690,0.058326,0.978310,val
22,0.03596209,0.039952,0.988393,0.064919,0.978310,val
23,0.03436829,0.038996,0.987905,0.066743,0.977130,val
24,0.03272888,0.039017,0.988202,0.055228,0.979734,val
25,0.03105184,0.037065,0.988946,0.058431,0.979734,val
26,0.02934534,0.037006,0.988988,0.066767,0.979734,val
27,0.02761769,0.037547,0.988988,0.056100,0.979734,val
28,0.02587731,0.035931,0.988988,0.057919,0.979734,val
29,0.02413269,0.035907,0.989286,0.059986,0.979734,val
30,0.02239231,0.036575,0.988946,0.052709,0.981036,val
31,0.02066466,0.037311,0.988946,0.058960,0.981036,val
32,0.01895816,0.035551,0.989137,0.058956,0.979734,val
33,0.01728112,0.034337,0.989435,0.066408,0.981036,val
34,0.01564171,0.035690,0.989393,0.059671,0.979734,val
35,0.01404791,0.034383,0.989435,0.054199,0.981036,val
36,0.01250750,0.034851,0.989393,0.054462,0.981036,val
37,0.01102797,0.034391,0.989286,0.059777,0.979734,val
38,0.00961654,0.034508,0.989435,0.057444,0.981036,val
39,0.00828008,0.034167,0.989435,0.057825,0.979734,val
40,0.00702510,0.034873,0.989435,0.055171,0.981036,val
41,0.00585772,0.034719,0.989393,0.055578,0.981036,val
42,0.00478362,0.034508,0.989137,0.055385,0.981036,val
43,0.00380804,0.035063,0.989286,0.054871,0.981036,val
44,0.00293572,0.034482,0.989435,0.054017,0.981036,val
45,0.00217093,0.034158,0.989435,0.056287,0.979734,val
46,0.00151738,0.034599,0.989393,0.056805,0.979734,val
47,0.00097826,0.034409,0.989435,0.056703,0.979734,val
48,0.00055620,0.034099,0.989435,0.055591,0.981036,val
49,0.00025325,0.034853,0.989286,0.055314,0.979734,val
50,0.00007089,0.034763,0.989286,0.054300,0.981036,val
