epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.212936,0.029226,3.223031,0.017539,val
2,0.00200800,2.021704,0.494101,3.208094,0.157808,val
3,0.00400600,0.960958,0.710994,1.964370,0.488726,val
4,0.00600400,0.374300,0.882952,32.346084,0.317408,val
5,0.00800200,0.276167,0.911268,64.554933,0.225973,val
6,0.01000000,0.173454,0.948661,8.048267,0.494424,val
7,0.00998783,0.101479,0.970048,2.985663,0.955807,val
8,0.00995139,0.091911,0.970833,2.053033,0.947627,val
9,0.00989085,0.082552,0.974363,1.253405,0.959591,val
10,0.00980650,0.077420,0.975363,1.264825,0.962073,val
11,0.00969876,0.057434,0.982548,1.225944,0.952836,val
12,0.00956816,0.055535,0.982440,0.513048,0.962318,val
13,0.00941532,0.059282,0.981613,0.175180,0.959591,val
14,0.00924100,0.050940,0.985119,0.077343,0.970497,val
15,0.00904604,0.053756,0.983185,0.673283,0.952713,val
16,0.00883139,0.043834,0.987161,0.123167,0.970130,val
17,0.00859810,0.044398,0.986458,0.490193,0.963497,val
18,0.00834731,0.042976,0.987161,0.211159,0.962318,val
19,0.00808023,0.039533,0.987798,0.129647,0.966224,val
20,0.00779817,0.042250,0.987054,0.939190,0.970130,val
21,0.00750250,0.038439,0.988839,0.412536,0.970130,val
22,0.00719466,0.035744,0.989244,0.867600,0.966224,val
23,0.00687616,0.035422,0.989137,0.908631,0.967526,val
24,0.00654854,0.039761,0.988095,1.029017,0.971432,val
25,0.00621340,0.035807,0.988839,1.312835,0.970130,val
26,0.00587237,0.038449,0.987905,0.708202,0.967526,val
27,0.00552712,0.025685,0.990923,0.284997,0.983641,val
28,0.00517932,0.024227,0.992113,0.282915,0.985065,val
29,0.00483068,0.011231,0.996875,0.303453,0.988971,val
30,0.00448288,0.004842,0.998661,0.183398,0.963497,val
31,0.00413763,0.003960,0.999107,0.123901,0.988971,val
32,0.00379660,0.001790,0.999702,0.346437,0.985065,val
33,0.00346146,0.001430,0.999702,0.288441,0.987547,val
34,0.00313384,0.000986,1.000000,0.253916,0.987547,val
35,0.00281534,0.000958,1.000000,0.249501,0.987547,val
36,0.00250750,0.000927,1.000000,0.233775,0.987547,val
37,0.00221183,0.001165,0.999851,0.233663,0.987547,val
38,0.00192977,0.000593,1.000000,0.208281,0.987547,val
39,0.00166269,0.000984,0.999851,0.187699,0.988971,val
40,0.00141190,0.000800,1.000000,0.203936,0.988971,val
41,0.00117861,0.000660,1.000000,0.230225,0.988971,val
42,0.00096396,0.000678,1.000000,0.230399,0.988971,val
43,0.00076900,0.000714,1.000000,0.209921,0.988971,val
44,0.00059468,0.000641,1.000000,0.282023,0.988971,val
45,0.00044184,0.000913,0.999851,0.280115,0.988971,val
46,0.00031124,0.000453,1.000000,0.232929,0.988971,val
47,0.00020350,0.000623,1.000000,0.269152,0.988971,val
48,0.00011915,0.000565,1.000000,0.232571,0.988971,val
49,0.00005861,0.001082,0.999851,0.235472,0.988971,val
50,0.00002217,0.000697,1.000000,0.242155,0.988971,val
