epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.209951,0.036988,3.217983,0.014568,val
2,0.00200800,2.145436,0.478310,3.360581,0.157808,val
3,0.00400600,1.250914,0.624155,1.260128,0.617766,val
4,0.00600400,0.586952,0.817268,16.331663,0.435909,val
5,0.00800200,0.284468,0.913268,15.695684,0.424268,val
6,0.01000000,0.206466,0.936821,2.690708,0.673800,val
7,0.00998783,0.131754,0.957804,0.166110,0.956987,val
8,0.00995139,0.101357,0.968155,0.169868,0.962195,val
9,0.00989085,0.098036,0.968262,0.091270,0.964922,val
10,0.00980650,0.076671,0.976000,0.081060,0.975706,val
11,0.00969876,0.074942,0.976893,0.105669,0.966469,val
12,0.00956816,0.067669,0.978232,0.093525,0.974159,val
13,0.00941532,0.055230,0.982994,0.080478,0.974281,val
14,0.00924100,0.069251,0.978571,0.097760,0.970252,val
15,0.00904604,0.055111,0.983482,0.071682,0.977008,val
16,0.00883139,0.050221,0.984970,0.074077,0.975706,val
17,0.00859810,0.048570,0.984780,0.078257,0.972979,val
18,0.00834731,0.046287,0.986417,0.096600,0.972979,val
19,0.00808023,0.047893,0.985863,0.065147,0.978432,val
20,0.00779817,0.049229,0.984970,0.069323,0.979734,val
21,0.00750250,0.043437,0.987649,0.077998,0.976885,val
22,0.00719466,0.047835,0.986161,0.080371,0.971677,val
23,0.00687616,0.038918,0.988649,0.070229,0.974281,val
24,0.00654854,0.039976,0.987798,0.083457,0.972979,val
25,0.00621340,0.038658,0.988690,0.099400,0.971677,val
26,0.00587237,0.037578,0.988690,0.095871,0.972979,val
27,0.00552712,0.037802,0.988690,0.065496,0.977008,val
28,0.00517932,0.036555,0.989286,0.075679,0.975706,val
29,0.00483068,0.035739,0.989286,0.072979,0.975706,val
30,0.00448288,0.035300,0.989286,0.072875,0.977008,val
31,0.00413763,0.035162,0.989286,0.071824,0.974281,val
32,0.00379660,0.034719,0.989435,0.078685,0.972979,val
33,0.00346146,0.034131,0.989393,0.072995,0.975706,val
34,0.00313384,0.035368,0.989244,0.080992,0.972979,val
35,0.00281534,0.034986,0.989286,0.079977,0.972979,val
36,0.00250750,0.035712,0.989137,0.094950,0.971677,val
37,0.00221183,0.034811,0.989435,0.089691,0.971677,val
38,0.00192977,0.034291,0.989435,0.084695,0.972979,val
39,0.00166269,0.035100,0.989435,0.084100,0.971677,val
40,0.00141190,0.034433,0.989286,0.083823,0.972979,val
41,0.00117861,0.035370,0.989137,0.082369,0.971677,val
42,0.00096396,0.034312,0.989393,0.079875,0.972979,val
43,0.00076900,0.035124,0.988946,0.071947,0.978310,val
44,0.00059468,0.034820,0.989393,0.076104,0.977008,val
45,0.00044184,0.034375,0.989244,0.076955,0.975583,val
46,0.00031124,0.034563,0.989286,0.076411,0.975583,val
47,0.00020350,0.035207,0.989137,0.076810,0.975583,val
48,0.00011915,0.034209,0.989393,0.076876,0.975583,val
49,0.00005861,0.034316,0.989435,0.077455,0.974281,val
50,0.00002217,0.034055,0.989435,0.077423,0.974281,val
