epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,2.977094,0.265893,2.980987,0.327947,val
2,0.01004000,1.029819,0.705232,0.337288,0.889557,val
3,0.02003000,0.413161,0.883482,0.185921,0.944778,val
4,0.03002000,0.254926,0.923875,0.124701,0.962195,val
5,0.04001000,0.208319,0.942732,0.171292,0.963497,val
6,0.05000000,0.151604,0.957994,0.105832,0.965044,val
7,0.04993911,0.148258,0.958482,0.126743,0.958166,val
8,0.04975675,0.088508,0.973173,0.095777,0.972979,val
9,0.04945380,0.082917,0.976446,0.115569,0.968950,val
10,0.04903174,0.072664,0.978274,0.085047,0.970252,val
11,0.04849262,0.063138,0.981208,0.073125,0.974159,val
12,0.04783907,0.061447,0.981845,0.101339,0.975583,val
13,0.04707428,0.050044,0.985821,0.079871,0.974404,val
14,0.04620196,0.055509,0.984333,0.076546,0.975583,val
15,0.04522638,0.053679,0.983333,0.068104,0.977008,val
16,0.04415228,0.048872,0.984673,0.070270,0.972857,val
17,0.04298490,0.045819,0.986310,0.078205,0.975583,val
18,0.04172992,0.043753,0.987351,0.063435,0.979612,val
19,0.04039346,0.050340,0.983631,0.082251,0.971677,val
20,0.03898203,0.045275,0.986565,0.058408,0.975706,val
21,0.03750250,0.044611,0.986607,0.073350,0.975706,val
22,0.03596209,0.040762,0.987054,0.064847,0.977008,val
23,0.03436829,0.038250,0.988500,0.058785,0.977008,val
24,0.03272888,0.038103,0.988649,0.060552,0.978432,val
25,0.03105184,0.036111,0.988946,0.059031,0.977008,val
26,0.02934534,0.036313,0.989137,0.070648,0.979734,val
27,0.02761769,0.035694,0.989286,0.061533,0.979734,val
28,0.02587731,0.036223,0.988988,0.058564,0.978310,val
29,0.02413269,0.036232,0.988988,0.066803,0.975583,val
30,0.02239231,0.037296,0.988500,0.060350,0.975706,val
31,0.02066466,0.035671,0.989244,0.061370,0.979612,val
32,0.01895816,0.035520,0.989137,0.060071,0.978310,val
33,0.01728112,0.034688,0.989286,0.065590,0.979612,val
34,0.01564171,0.035133,0.989393,0.060754,0.979734,val
35,0.01404791,0.034187,0.989435,0.056034,0.979612,val
36,0.01250750,0.034778,0.989244,0.054772,0.979734,val
37,0.01102797,0.034714,0.989137,0.062282,0.979734,val
38,0.00961654,0.034680,0.989286,0.058313,0.979734,val
39,0.00828008,0.034062,0.989435,0.059706,0.979734,val
40,0.00702510,0.033977,0.989435,0.058993,0.979734,val
41,0.00585772,0.033604,0.989393,0.058075,0.979734,val
42,0.00478362,0.034155,0.989286,0.060342,0.979734,val
43,0.00380804,0.033931,0.989286,0.059642,0.979734,val
44,0.00293572,0.033938,0.989435,0.058856,0.979734,val
45,0.00217093,0.033838,0.989435,0.059059,0.979734,val
46,0.00151738,0.034124,0.989393,0.060165,0.979734,val
47,0.00097826,0.034013,0.989286,0.059708,0.979734,val
48,0.00055620,0.033770,0.989435,0.058880,0.979734,val
49,0.00025325,0.033448,0.989435,0.059504,0.979734,val
50,0.00007089,0.033478,0.989286,0.058007,0.979734,val
