epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,3.206637,0.057077,3.218544,0.014568,val
2,0.00200800,2.267909,0.424738,3.270895,0.157808,val
3,0.00400600,1.239161,0.635571,1.275689,0.686131,val
4,0.00600400,0.814057,0.750732,25.032279,0.350817,val
5,0.00800200,0.405944,0.886863,3.170097,0.513143,val
6,0.01000000,0.212927,0.941476,1.951012,0.561487,val
7,0.00998783,0.150849,0.954827,6.094148,0.572761,val
8,0.00995139,0.118707,0.964690,0.114004,0.959591,val
9,0.00989085,0.097210,0.970006,0.112523,0.963497,val
10,0.00980650,0.090304,0.972643,0.113903,0.967648,val
11,0.00969876,0.084725,0.975107,0.133211,0.964922,val
12,0.00956816,0.077949,0.976702,0.109272,0.971677,val
13,0.00941532,0.063089,0.980869,0.099892,0.966101,val
14,0.00924100,0.055797,0.982589,0.086625,0.975583,val
15,0.00904604,0.051655,0.984077,0.079038,0.971677,val
16,0.00883139,0.047757,0.985863,0.089034,0.976885,val
17,0.00859810,0.049608,0.984185,0.422341,0.881622,val
18,0.00834731,0.048290,0.985185,0.100994,0.969073,val
19,0.00808023,0.050047,0.984970,0.090677,0.968950,val
20,0.00779817,0.043774,0.986756,0.086572,0.975583,val
21,0.00750250,0.039903,0.987946,0.071962,0.978310,val
22,0.00719466,0.040426,0.987946,0.075077,0.978310,val
23,0.00687616,0.042813,0.987268,0.082711,0.975583,val
24,0.00654854,0.038811,0.988095,0.083760,0.975583,val
25,0.00621340,0.036238,0.988839,0.084201,0.977008,val
26,0.00587237,0.035747,0.988988,0.074685,0.978310,val
27,0.00552712,0.034131,0.989286,0.081660,0.968828,val
28,0.00517932,0.036038,0.988095,0.066914,0.979612,val
29,0.00483068,0.031865,0.988393,0.081808,0.968828,val
30,0.00448288,0.028621,0.990327,0.089963,0.979612,val
31,0.00413763,0.025260,0.991071,0.084016,0.972979,val
32,0.00379660,0.026637,0.990923,0.086511,0.972979,val
33,0.00346146,0.019560,0.993452,0.122555,0.948807,val
34,0.00313384,0.018042,0.993560,0.115719,0.964677,val
35,0.00281534,0.015429,0.995089,0.098890,0.969885,val
36,0.00250750,0.017103,0.994345,0.093575,0.978187,val
37,0.00221183,0.013273,0.996833,0.113057,0.974281,val
38,0.00192977,0.010750,0.996875,0.121880,0.978310,val
39,0.00166269,0.008410,0.997470,0.115904,0.975583,val
40,0.00141190,0.007232,0.998214,0.126188,0.972979,val
41,0.00117861,0.004376,0.998958,0.127193,0.977008,val
42,0.00096396,0.005118,0.998958,0.132011,0.978310,val
43,0.00076900,0.005639,0.998619,0.133131,0.978310,val
44,0.00059468,0.003519,0.999405,0.131547,0.978310,val
45,0.00044184,0.004992,0.999107,0.132961,0.978310,val
46,0.00031124,0.004595,0.999256,0.132282,0.978310,val
47,0.00020350,0.004088,0.999065,0.132836,0.978310,val
48,0.00011915,0.003149,0.999256,0.133091,0.978310,val
49,0.00005861,0.003391,0.999554,0.132361,0.978310,val
50,0.00002217,0.002045,0.999851,0.132892,0.978310,val
