epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,2.365582,0.368804,1.824066,0.565394,val
2,0.02008000,0.342915,0.908845,0.136407,0.954015,val
3,0.04006000,0.175883,0.947429,0.179792,0.959346,val
4,0.06004000,0.145856,0.957208,0.112345,0.971677,val
5,0.08002000,0.115789,0.965327,0.079928,0.973101,val
6,0.10000000,0.116749,0.964244,0.097110,0.968950,val
7,0.09987821,0.136002,0.966220,0.129592,0.963742,val
8,0.09951345,0.098620,0.970685,0.077901,0.970497,val
9,0.09890749,0.074589,0.976637,0.081945,0.971922,val
10,0.09806328,0.067633,0.979464,0.111836,0.971677,val
11,0.09698493,0.057667,0.981994,0.085229,0.971554,val
12,0.09567771,0.051813,0.983929,0.078808,0.971799,val
13,0.09414796,0.052900,0.983929,0.077019,0.977130,val
14,0.09240316,0.048969,0.984780,0.074752,0.978432,val
15,0.09045180,0.041572,0.988054,0.075959,0.974404,val
16,0.08830339,0.042385,0.987351,0.079051,0.975828,val
17,0.08596839,0.041063,0.987351,0.079358,0.975828,val
18,0.08345818,0.037482,0.988988,0.078467,0.974281,val
19,0.08078500,0.036038,0.989286,0.080925,0.972979,val
20,0.07796185,0.035633,0.989435,0.075876,0.975583,val
21,0.07500250,0.035358,0.989583,0.074878,0.977130,val
22,0.07192137,0.038692,0.988649,0.076314,0.975706,val
23,0.06873346,0.036623,0.989286,0.070212,0.977130,val
24,0.06545430,0.035566,0.989393,0.076704,0.975706,val
25,0.06209989,0.035475,0.989583,0.072346,0.975706,val
26,0.05868654,0.035481,0.989393,0.073119,0.977008,val
27,0.05523090,0.035974,0.989583,0.075534,0.977130,val
28,0.05174980,0.034702,0.989435,0.075120,0.975706,val
29,0.04826020,0.034742,0.989583,0.075107,0.977130,val
30,0.04477910,0.035130,0.989435,0.077390,0.975706,val
31,0.04132346,0.034753,0.989583,0.076652,0.975706,val
32,0.03791011,0.034478,0.989583,0.072835,0.977008,val
33,0.03455570,0.034902,0.989583,0.073362,0.975706,val
34,0.03127654,0.034247,0.989583,0.079982,0.978310,val
35,0.02808863,0.034126,0.989583,0.078555,0.978310,val
36,0.02500750,0.034382,0.989583,0.073876,0.975706,val
37,0.02204815,0.034327,0.989583,0.073586,0.975706,val
38,0.01922500,0.034269,0.989583,0.077668,0.975706,val
39,0.01655182,0.034350,0.989500,0.074940,0.975706,val
40,0.01404161,0.034094,0.989542,0.073980,0.975706,val
41,0.01170661,0.033929,0.989583,0.077210,0.975706,val
42,0.00955820,0.033990,0.989542,0.073432,0.975706,val
43,0.00760684,0.034193,0.989435,0.074160,0.975706,val
44,0.00586204,0.033727,0.989583,0.072436,0.975706,val
45,0.00433229,0.033760,0.989583,0.073016,0.975706,val
46,0.00302507,0.033716,0.989583,0.074925,0.977008,val
47,0.00194672,0.033574,0.989583,0.073972,0.975706,val
48,0.00110251,0.033539,0.989583,0.075133,0.975706,val
49,0.00049655,0.033684,0.989583,0.074112,0.977008,val
50,0.00013179,0.033707,0.989583,0.074667,0.975706,val
