epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.453875,0.005023,5.295846,0.007313,val
2,0.00200800,4.995614,0.023679,4.540203,0.049566,val
3,0.00400600,4.463436,0.066087,4.217261,0.097765,val
4,0.00600400,4.110500,0.106191,3.764932,0.151215,val
5,0.00800200,3.878271,0.139564,3.614994,0.173589,val
6,0.01000000,3.672017,0.168061,3.498950,0.196137,val
7,0.00999727,3.373441,0.216701,3.254772,0.238563,val
8,0.00998908,3.123068,0.259020,2.918338,0.295161,val
9,0.00997544,2.929469,0.293824,2.909412,0.296918,val
10,0.00995636,2.766487,0.327947,2.753742,0.332856,val
11,0.00993187,2.630882,0.355576,2.501293,0.385221,val
12,0.00990200,2.498216,0.382190,2.580583,0.365755,val
13,0.00986677,2.385970,0.406815,2.546863,0.378212,val
14,0.00982622,2.289724,0.426955,2.357207,0.415625,val
15,0.00978040,2.195957,0.445352,2.273762,0.436415,val
16,0.00972936,2.117745,0.464581,2.234633,0.443620,val
17,0.00967315,2.032133,0.484844,2.189816,0.455773,val
18,0.00961184,1.966840,0.499257,2.114019,0.467708,val
19,0.00954549,1.886547,0.516894,2.144995,0.471246,val
20,0.00947417,1.831485,0.529344,2.115717,0.474479,val
21,0.00939797,1.785241,0.539791,2.157334,0.477517,val
22,0.00931697,1.726649,0.551686,2.126882,0.480273,val
23,0.00923125,1.676357,0.565541,2.297808,0.452431,val
24,0.00914090,1.630178,0.573889,2.036771,0.497439,val
25,0.00904604,1.581087,0.585701,2.032651,0.504905,val
26,0.00894676,1.533959,0.597369,2.041069,0.500043,val
27,0.00884316,1.498496,0.606040,1.971626,0.523112,val
28,0.00873537,1.454223,0.615366,2.035109,0.507357,val
29,0.00862350,1.424223,0.622882,2.073574,0.494466,val
30,0.00850768,1.374062,0.635483,2.034854,0.515755,val
31,0.00838802,1.335052,0.642726,1.954495,0.520768,val
32,0.00826467,1.305888,0.650523,1.934522,0.528581,val
33,0.00813775,1.266781,0.659807,2.022365,0.517383,val
34,0.00800740,1.222858,0.670016,1.904838,0.544878,val
35,0.00787377,1.189887,0.678789,1.995957,0.523937,val
36,0.00773701,1.159178,0.686685,1.963739,0.536198,val
37,0.00759725,1.121311,0.695246,2.008560,0.525781,val
38,0.00745467,1.088119,0.702340,2.011332,0.531510,val
39,0.00730940,1.058176,0.710024,2.063562,0.521984,val
40,0.00716161,1.027245,0.715183,1.943044,0.549089,val
41,0.00701147,0.995032,0.727542,1.864538,0.556706,val
42,0.00685913,0.954940,0.734570,1.992243,0.543728,val
43,0.00670476,0.919846,0.743930,1.916826,0.558377,val
44,0.00654854,0.890129,0.750696,1.908371,0.555990,val
45,0.00639063,0.859003,0.758891,2.034226,0.536372,val
46,0.00623120,0.833170,0.765852,1.920827,0.563173,val
47,0.00607043,0.795882,0.773317,1.886465,0.563173,val
48,0.00590850,0.768572,0.782452,1.936076,0.555056,val
49,0.00574558,0.745274,0.788157,1.937567,0.565299,val
50,0.00558185,0.701373,0.798906,1.976822,0.570595,val
51,0.00541748,0.682294,0.802231,1.848875,0.580273,val
52,0.00525267,0.651542,0.812011,1.946393,0.568837,val
53,0.00508759,0.621204,0.819263,2.069435,0.560373,val
54,0.00492241,0.593898,0.826412,1.985968,0.570942,val
55,0.00475733,0.561656,0.834131,2.166928,0.551128,val
56,0.00459252,0.528648,0.844273,1.952802,0.586502,val
57,0.00442815,0.503529,0.852103,1.996475,0.579905,val
58,0.00426442,0.476168,0.859044,2.031482,0.578320,val
59,0.00410150,0.442294,0.869532,1.984108,0.581120,val
60,0.00393957,0.415143,0.875694,2.027229,0.585156,val
61,0.00377880,0.384773,0.883743,2.010625,0.593121,val
62,0.00361937,0.364452,0.889981,2.022308,0.591276,val
63,0.00346146,0.337375,0.897519,2.062985,0.593338,val
64,0.00330524,0.315206,0.904394,2.041738,0.594271,val
65,0.00315087,0.283781,0.912976,2.094216,0.589106,val
66,0.00299853,0.262960,0.920747,2.069534,0.601345,val
67,0.00284839,0.242378,0.925434,2.077429,0.601953,val
68,0.00270060,0.218175,0.932867,2.151096,0.596984,val
69,0.00255533,0.195743,0.939156,2.099411,0.603841,val
70,0.00241275,0.174945,0.946344,2.155606,0.598329,val
71,0.00227299,0.155340,0.951538,2.141667,0.604470,val
72,0.00213623,0.140706,0.956344,2.240394,0.593555,val
73,0.00200260,0.124582,0.961347,2.197680,0.608507,val
74,0.00187225,0.104118,0.968009,2.219185,0.612305,val
75,0.00174533,0.095916,0.970816,2.190316,0.621593,val
76,0.00162198,0.084103,0.974188,2.175139,0.621593,val
77,0.00150232,0.064463,0.980418,2.237771,0.620964,val
78,0.00138650,0.059123,0.981847,2.204029,0.627713,val
79,0.00127463,0.054283,0.984089,2.215384,0.624566,val
80,0.00116684,0.044688,0.986824,2.157633,0.633789,val
81,0.00106324,0.040353,0.988157,2.188251,0.633724,val
82,0.00096396,0.033410,0.990312,2.200382,0.632878,val
83,0.00086910,0.029957,0.991607,2.195499,0.633181,val
84,0.00077875,0.027525,0.992286,2.202167,0.634028,val
85,0.00069303,0.025957,0.992785,2.175322,0.636871,val
86,0.00061203,0.021126,0.994249,2.200066,0.639431,val
87,0.00053583,0.019691,0.994871,2.207558,0.641146,val
88,0.00046451,0.018236,0.995211,2.220679,0.638346,val
89,0.00039816,0.017693,0.995717,2.219633,0.637218,val
90,0.00033685,0.015369,0.995878,2.198365,0.639540,val
91,0.00028064,0.014790,0.996199,2.183877,0.639323,val
92,0.00022960,0.014416,0.995920,2.193097,0.640234,val
93,0.00018378,0.013957,0.996606,2.209367,0.642947,val
94,0.00014323,0.013131,0.996729,2.200301,0.640668,val
95,0.00010800,0.012989,0.996692,2.174634,0.642361,val
96,0.00007813,0.012204,0.997013,2.177492,0.643424,val
97,0.00005364,0.012714,0.996877,2.189274,0.641276,val
98,0.00003456,0.012110,0.997105,2.193744,0.644900,val
99,0.00002092,0.012298,0.996779,2.190698,0.644423,val
100,0.00001273,0.012275,0.997038,2.189759,0.641927,val
