epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.311261,0.006325,5.291886,0.006879,val
2,0.02008000,4.403789,0.091114,3.825906,0.157248,val
3,0.04006000,3.589463,0.196786,3.396929,0.231597,val
4,0.06004000,3.137426,0.270332,3.067575,0.287196,val
5,0.08002000,2.808208,0.330723,2.900772,0.317361,val
6,0.10000000,2.568790,0.375886,2.664931,0.367622,val
7,0.09997267,2.313669,0.426904,2.436032,0.409918,val
8,0.09989069,2.130033,0.466595,2.370908,0.424674,val
9,0.09975417,1.983646,0.497513,2.168750,0.470833,val
10,0.09956325,1.878179,0.518122,2.121063,0.470638,val
11,0.09931813,1.767942,0.541792,2.097452,0.475260,val
12,0.09901910,1.677725,0.561203,2.116597,0.482400,val
13,0.09866646,1.587904,0.581249,2.348518,0.445855,val
14,0.09826062,1.512912,0.597040,2.047445,0.500217,val
15,0.09780201,1.442365,0.613790,2.051698,0.497635,val
16,0.09729113,1.380086,0.626287,1.948120,0.525629,val
17,0.09672855,1.322311,0.639468,1.940940,0.529232,val
18,0.09611488,1.265899,0.651595,1.959653,0.525174,val
19,0.09545078,1.214080,0.664881,1.966776,0.527778,val
20,0.09473699,1.165425,0.674362,2.237629,0.481033,val
21,0.09397429,1.116524,0.686188,1.993090,0.525022,val
22,0.09316351,1.075788,0.695679,2.328128,0.469162,val
23,0.09230553,1.037327,0.704620,2.538699,0.448546,val
24,0.09140130,0.991072,0.717320,2.026539,0.529036,val
25,0.09045180,0.957934,0.724995,2.043964,0.525130,val
26,0.08945808,0.936575,0.729505,2.011000,0.528516,val
27,0.08842121,0.886176,0.741476,2.111413,0.517839,val
28,0.08734234,0.857280,0.749088,2.055408,0.531576,val
29,0.08622264,0.832609,0.755919,2.060937,0.531532,val
30,0.08506333,0.792288,0.764962,2.209281,0.510829,val
31,0.08386569,0.763122,0.774811,2.172864,0.518620,val
32,0.08263103,0.732850,0.782445,2.130330,0.527431,val
33,0.08136068,0.704518,0.789410,2.373084,0.494032,val
34,0.08005605,0.689279,0.792831,2.195746,0.525347,val
35,0.07871856,0.651052,0.803311,2.305662,0.506359,val
36,0.07734967,0.626028,0.809586,2.196228,0.528885,val
37,0.07595088,0.609688,0.813935,2.237425,0.524609,val
38,0.07452372,0.576524,0.824246,2.194574,0.536784,val
39,0.07306975,0.547917,0.833114,2.205240,0.533073,val
40,0.07159056,0.525889,0.837949,2.500023,0.493576,val
41,0.07008776,0.494206,0.848350,2.797706,0.462261,val
42,0.06856301,0.471315,0.855362,2.269094,0.521332,val
43,0.06701796,0.458509,0.858292,2.901044,0.450955,val
44,0.06545430,0.435842,0.866985,2.256604,0.542643,val
45,0.06387376,0.411575,0.872332,3.266905,0.422374,val
46,0.06227805,0.388909,0.880397,2.336111,0.532747,val
47,0.06066892,0.363198,0.888861,2.228228,0.546940,val
48,0.05904812,0.354052,0.890136,2.237193,0.549740,val
49,0.05741744,0.332802,0.897111,2.397949,0.527148,val
50,0.05577865,0.310838,0.904355,2.289779,0.554926,val
51,0.05413355,0.287336,0.912210,2.196404,0.558030,val
52,0.05248394,0.256374,0.922270,2.207017,0.563477,val
53,0.05083161,0.245929,0.925937,2.230568,0.563108,val
54,0.04917839,0.232797,0.930011,2.946664,0.473806,val
55,0.04752606,0.204836,0.939474,2.748735,0.492188,val
