epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.344975,0.006887,5.283981,0.009766,val
2,0.02008000,4.449585,0.082264,3.929518,0.138694,val
3,0.04006000,3.529485,0.199983,3.484417,0.208637,val
4,0.06004000,3.000163,0.291139,3.103967,0.282444,val
5,0.08002000,2.655151,0.356545,4.577501,0.164583,val
6,0.10000000,2.435710,0.401325,4.894886,0.153451,val
7,0.09997267,2.235436,0.444137,4.733676,0.155447,val
8,0.09989069,2.120968,0.469022,5.173308,0.170790,val
9,0.09975417,2.015961,0.492356,3.816739,0.235720,val
10,0.09956325,1.940957,0.506795,5.263018,0.135308,val
11,0.09931813,1.878720,0.522001,5.092573,0.154905,val
12,0.09901910,1.819324,0.534731,2.732495,0.365430,val
13,0.09866646,1.778620,0.545717,2.387980,0.431207,val
14,0.09826062,1.738201,0.554240,2.069218,0.483073,val
15,0.09780201,1.698673,0.562928,4.305335,0.232053,val
16,0.09729113,1.674930,0.568062,3.129220,0.325239,val
17,0.09672855,1.648246,0.571746,1.918295,0.521549,val
18,0.09611488,1.617925,0.581459,4.488902,0.231597,val
19,0.09545078,1.602037,0.584921,2.162928,0.468533,val
20,0.09473699,1.571905,0.589633,5.313184,0.183420,val
21,0.09397429,1.557667,0.595661,2.185914,0.476150,val
22,0.09316351,1.540695,0.598427,4.357902,0.234223,val
23,0.09230553,1.522935,0.600278,4.722566,0.175239,val
24,0.09140130,1.500709,0.608187,2.063869,0.486567,val
25,0.09045180,1.482748,0.610793,2.302089,0.452669,val
26,0.08945808,1.472096,0.614377,2.344678,0.449523,val
27,0.08842121,1.450605,0.618821,2.199871,0.466884,val
28,0.08734234,1.433893,0.623241,2.005222,0.504319,val
29,0.08622264,1.425921,0.623677,2.054248,0.492643,val
30,0.08506333,1.408134,0.626615,1.930546,0.517665,val
31,0.08386569,1.381972,0.635041,4.228608,0.234852,val
32,0.08263103,1.368656,0.638299,1.889463,0.536697,val
33,0.08136068,1.355432,0.639619,2.795771,0.380838,val
34,0.08005605,1.339572,0.643998,1.972546,0.504232,val
35,0.07871856,1.320265,0.648716,2.046657,0.503494,val
36,0.07734967,1.311846,0.649990,2.338773,0.453277,val
37,0.07595088,1.299516,0.652537,4.687035,0.215842,val
38,0.07452372,1.268845,0.662773,1.780324,0.554666,val
39,0.07306975,1.248543,0.664997,3.166874,0.351432,val
40,0.07159056,1.238820,0.666741,5.622879,0.169987,val
41,0.07008776,1.212804,0.674487,1.796922,0.552279,val
42,0.06856301,1.203630,0.676194,1.803625,0.550608,val
43,0.06701796,1.176375,0.682811,3.230164,0.352865,val
44,0.06545430,1.160009,0.687379,1.967318,0.519683,val
45,0.06387376,1.131905,0.692344,3.697393,0.287153,val
46,0.06227805,1.113566,0.696608,2.106406,0.501345,val
47,0.06066892,1.090883,0.704138,1.706277,0.567600,val
48,0.05904812,1.068721,0.707145,1.773345,0.561046,val
49,0.05741744,1.047048,0.713723,4.850694,0.200911,val
50,0.05577865,1.019553,0.721579,1.642553,0.587109,val
51,0.05413355,0.993811,0.726065,1.856361,0.547635,val
52,0.05248394,0.969940,0.734673,1.830270,0.547222,val
53,0.05083161,0.946368,0.737039,5.188542,0.222114,val
54,0.04917839,0.922704,0.743945,4.658360,0.250087,val
55,0.04752606,0.893060,0.752616,1.692546,0.582986,val
56,0.04587645,0.867317,0.755860,1.781515,0.577387,val
57,0.04423135,0.832904,0.767166,5.269036,0.205686,val
58,0.04259256,0.803675,0.773759,4.758339,0.232378,val
59,0.04096188,0.767411,0.784519,1.735761,0.581858,val
60,0.03934108,0.750920,0.788333,1.718804,0.581163,val
61,0.03773195,0.710733,0.799526,3.578077,0.334028,val
62,0.03613624,0.682210,0.808190,1.545193,0.619358,val
63,0.03455570,0.647812,0.814217,1.627954,0.594618,val
64,0.03299204,0.609486,0.826127,1.578385,0.616493,val
65,0.03144699,0.580668,0.833072,1.582810,0.614909,val
66,0.02992224,0.544734,0.843755,1.610774,0.601584,val
67,0.02841944,0.506199,0.856163,1.549182,0.621246,val
68,0.02694025,0.471638,0.864559,1.511322,0.628906,val
69,0.02548628,0.428995,0.877864,1.586233,0.614779,val
70,0.02405912,0.398494,0.886010,3.467997,0.347331,val
71,0.02266033,0.361525,0.897234,3.211627,0.416189,val
72,0.02129144,0.322320,0.909910,5.165031,0.251606,val
73,0.01995395,0.288651,0.920101,1.448605,0.657335,val
74,0.01864932,0.247593,0.932591,4.082234,0.311024,val
75,0.01737897,0.214398,0.943399,1.443769,0.656359,val
76,0.01614431,0.176115,0.955755,1.416905,0.665408,val
77,0.01494667,0.145207,0.964527,4.254307,0.300998,val
78,0.01378736,0.114014,0.975141,2.038155,0.562522,val
79,0.01266766,0.086367,0.983844,1.249911,0.700217,val
80,0.01158879,0.067470,0.988702,2.487322,0.498611,val
81,0.01055192,0.049975,0.993224,1.449872,0.658594,val
82,0.00955820,0.035715,0.996532,1.176282,0.712695,val
83,0.00860870,0.029374,0.997569,1.715229,0.614735,val
84,0.00770447,0.025288,0.998260,1.122210,0.724349,val
85,0.00684649,0.020429,0.999111,1.100242,0.732813,val
86,0.00603571,0.018994,0.999161,1.091032,0.734657,val
87,0.00527301,0.017891,0.999247,1.085136,0.734787,val
88,0.00455922,0.016503,0.999469,1.080607,0.733355,val
89,0.00389512,0.016023,0.999494,1.082755,0.734809,val
90,0.00328145,0.014529,0.999605,1.085904,0.733767,val
91,0.00271887,0.014472,0.999728,1.079062,0.733507,val
92,0.00220799,0.014296,0.999716,1.072296,0.735026,val
93,0.00174938,0.013975,0.999679,1.072488,0.737630,val
94,0.00134354,0.013638,0.999642,1.071905,0.735851,val
95,0.00099090,0.013090,0.999753,1.069723,0.737739,val
96,0.00069187,0.013087,0.999778,1.071173,0.737044,val
97,0.00044675,0.012833,0.999716,1.069227,0.737478,val
98,0.00025583,0.012927,0.999741,1.071593,0.736176,val
99,0.00011931,0.012761,0.999815,1.066680,0.736827,val
100,0.00003733,0.012798,0.999753,1.069778,0.736827,val
