epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,5.400783,0.006053,5.319437,0.009115,val
2,0.00010090,5.037665,0.034097,4.914343,0.048524,val
3,0.00020080,4.821699,0.059456,4.692991,0.079102,val
4,0.00030070,4.577511,0.093019,4.458387,0.112305,val
5,0.00040060,4.377662,0.124712,4.270239,0.143424,val
6,0.00050050,4.221127,0.151622,4.114107,0.167187,val
7,0.00060040,4.042376,0.182091,3.961025,0.189714,val
8,0.00070030,3.868353,0.211981,3.781953,0.235243,val
9,0.00080020,3.739816,0.237551,3.747110,0.236285,val
10,0.00090010,3.627044,0.259734,3.601438,0.265907,val
11,0.00100000,3.513644,0.282370,3.525211,0.283702,val
12,0.00099970,3.379601,0.315154,3.461546,0.295443,val
13,0.00099878,3.249816,0.342484,3.401083,0.320573,val
14,0.00099726,3.113608,0.372311,3.347022,0.329405,val
15,0.00099514,2.986572,0.400056,3.286003,0.346875,val
16,0.00099241,2.844132,0.437964,3.262768,0.362804,val
17,0.00098908,2.701015,0.474675,3.244653,0.370464,val
18,0.00098516,2.549160,0.514305,3.326016,0.358615,val
19,0.00098065,2.383613,0.558018,3.319388,0.371853,val
20,0.00097555,2.212558,0.607830,3.361121,0.372852,val
21,0.00096988,2.031547,0.663316,3.433671,0.367209,val
22,0.00096363,1.875063,0.714389,3.473355,0.367079,val
23,0.00095682,1.716055,0.769540,3.580923,0.356098,val
24,0.00094945,1.603495,0.810415,3.605621,0.364714,val
25,0.00094153,1.517172,0.840986,3.620213,0.363824,val
26,0.00093308,1.447556,0.867846,3.639003,0.366037,val
27,0.00092410,1.400882,0.883625,3.629520,0.363976,val
28,0.00091460,1.360506,0.896582,3.622954,0.368663,val
29,0.00090460,1.324589,0.910684,3.633459,0.358594,val
30,0.00089411,1.297132,0.919224,3.607317,0.367947,val
31,0.00088314,1.270441,0.927567,3.607911,0.370399,val
32,0.00087170,1.245295,0.935795,3.578025,0.365169,val
33,0.00085981,1.230620,0.938622,3.573366,0.372352,val
34,0.00084748,1.212664,0.945290,3.573177,0.373286,val
35,0.00083473,1.199985,0.946566,3.561894,0.374414,val
36,0.00082157,1.177636,0.953828,3.588697,0.375109,val
37,0.00080802,1.171555,0.954793,3.566254,0.371311,val
38,0.00079410,1.152173,0.959911,3.559920,0.371875,val
39,0.00077982,1.138052,0.963755,3.517128,0.373286,val
40,0.00076519,1.126118,0.966199,3.497953,0.382747,val
41,0.00075025,1.113721,0.968050,3.491419,0.380425,val
42,0.00073500,1.104911,0.970479,3.507510,0.383290,val
43,0.00071947,1.094146,0.972422,3.497016,0.377235,val
44,0.00070366,1.080662,0.976036,3.456026,0.393750,val
45,0.00068762,1.072956,0.976887,3.472426,0.386610,val
46,0.00067134,1.061733,0.978408,3.477671,0.385286,val
47,0.00065485,1.053297,0.979423,3.452150,0.387131,val
48,0.00063818,1.047170,0.980534,3.464437,0.386263,val
49,0.00062134,1.040162,0.981421,3.466519,0.383420,val
50,0.00060435,1.028458,0.983542,3.442108,0.390451,val
51,0.00058724,1.016550,0.985030,3.457765,0.386350,val
52,0.00057002,1.011191,0.985332,3.438782,0.390321,val
53,0.00055271,1.003154,0.986477,3.453779,0.388867,val
54,0.00053534,0.996103,0.987066,3.449759,0.390560,val
55,0.00051793,0.986887,0.988208,3.454959,0.389648,val
56,0.00050050,0.982299,0.988627,3.461659,0.392426,val
57,0.00048307,0.973007,0.989297,3.473136,0.386372,val
58,0.00046566,0.967744,0.989707,3.478757,0.388542,val
59,0.00044829,0.963985,0.989723,3.484418,0.390625,val
60,0.00043098,0.957127,0.990299,3.505773,0.390386,val
61,0.00041376,0.953241,0.990195,3.504634,0.385417,val
62,0.00039665,0.944561,0.991185,3.476540,0.393989,val
63,0.00037966,0.939074,0.991644,3.526887,0.385135,val
64,0.00036282,0.932873,0.992367,3.510609,0.390603,val
65,0.00034615,0.928134,0.993147,3.539704,0.387826,val
66,0.00032966,0.925525,0.992977,3.556836,0.389193,val
67,0.00031338,0.922397,0.992688,3.527509,0.392079,val
68,0.00029734,0.916815,0.993320,3.553849,0.387543,val
69,0.00028153,0.914068,0.993851,3.568563,0.391862,val
70,0.00026600,0.910569,0.993913,3.586200,0.391016,val
71,0.00025075,0.907288,0.994693,3.593918,0.389583,val
72,0.00023581,0.902030,0.995248,3.600094,0.388086,val
73,0.00022118,0.898114,0.995853,3.591321,0.390734,val
74,0.00020690,0.898111,0.995569,3.591312,0.391102,val
75,0.00019298,0.894353,0.996310,3.608575,0.396701,val
76,0.00017943,0.891624,0.996297,3.607406,0.395009,val
77,0.00016627,0.888556,0.996989,3.614389,0.393902,val
78,0.00015352,0.887686,0.996865,3.633257,0.387869,val
79,0.00014119,0.884544,0.997341,3.628337,0.394336,val
80,0.00012930,0.884299,0.997084,3.607094,0.403212,val
81,0.00011786,0.880927,0.997729,3.608940,0.398481,val
82,0.00010689,0.881270,0.997569,3.628044,0.396680,val
83,0.00009640,0.878733,0.998087,3.611212,0.399609,val
84,0.00008640,0.876392,0.998284,3.616471,0.399262,val
85,0.00007690,0.875850,0.998359,3.612811,0.403255,val
86,0.00006792,0.875323,0.998297,3.616558,0.400369,val
87,0.00005947,0.873680,0.998494,3.595360,0.402409,val
88,0.00005155,0.872503,0.998677,3.626023,0.399544,val
89,0.00004418,0.871991,0.998593,3.613697,0.401280,val
90,0.00003737,0.871357,0.998667,3.613552,0.402908,val
91,0.00003112,0.870293,0.998926,3.622509,0.401324,val
92,0.00002545,0.870429,0.998753,3.615715,0.404058,val
93,0.00002035,0.869218,0.999087,3.612302,0.403472,val
94,0.00001584,0.868920,0.998951,3.603754,0.403299,val
95,0.00001192,0.868329,0.998963,3.608710,0.403082,val
96,0.00000859,0.868448,0.999062,3.611784,0.401888,val
97,0.00000586,0.868255,0.999025,3.607136,0.405469,val
98,0.00000374,0.868174,0.999050,3.605275,0.405794,val
99,0.00000222,0.867746,0.999148,3.606050,0.403472,val
100,0.00000130,0.868006,0.999025,3.606147,0.403255,val
