epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.346163,0.007309,5.286833,0.007639,val
2,0.02008000,4.550118,0.068811,4.045377,0.114171,val
3,0.04006000,3.794901,0.156867,3.549418,0.196441,val
4,0.06004000,3.350915,0.229507,3.381165,0.229861,val
5,0.08002000,3.069033,0.278910,3.332265,0.239084,val
6,0.10000000,2.864035,0.320004,3.067863,0.294010,val
7,0.09997267,2.652327,0.362407,2.955289,0.321050,val
8,0.09989069,2.514925,0.390407,2.818304,0.335807,val
9,0.09975417,2.416607,0.411201,2.750235,0.359918,val
10,0.09956325,2.333673,0.427267,2.939306,0.331185,val
11,0.09931813,2.261901,0.443834,2.777712,0.360503,val
12,0.09901910,2.203351,0.457662,2.647472,0.384375,val
13,0.09866646,2.149449,0.469485,2.645415,0.383160,val
14,0.09826062,2.105315,0.479030,2.606497,0.390538,val
15,0.09780201,2.066531,0.484990,2.454246,0.416428,val
16,0.09729113,2.031753,0.493863,2.542964,0.411198,val
17,0.09672855,1.994087,0.502586,2.606471,0.403255,val
18,0.09611488,1.963558,0.508620,2.510180,0.418793,val
19,0.09545078,1.938307,0.516004,2.715680,0.385438,val
20,0.09473699,1.906059,0.520996,2.556223,0.406684,val
21,0.09397429,1.884367,0.527638,2.777809,0.379731,val
22,0.09316351,1.860317,0.532227,2.578571,0.403472,val
23,0.09230553,1.845474,0.536792,2.919486,0.357899,val
24,0.09140130,1.811467,0.541799,2.559779,0.419748,val
25,0.09045180,1.794022,0.548076,2.843605,0.368793,val
26,0.08945808,1.774590,0.550977,2.712221,0.401020,val
27,0.08842121,1.752825,0.555995,2.733223,0.392101,val
28,0.08734234,1.726123,0.562742,2.527582,0.428103,val
29,0.08622264,1.719641,0.563359,2.330082,0.461003,val
30,0.08506333,1.691935,0.570328,2.355209,0.451324,val
31,0.08386569,1.674326,0.574633,2.380895,0.447049,val
32,0.08263103,1.653822,0.578754,2.282421,0.462370,val
33,0.08136068,1.627985,0.584187,2.184476,0.485308,val
34,0.08005605,1.609636,0.588445,2.533756,0.423568,val
35,0.07871856,1.592750,0.592140,2.396542,0.450347,val
36,0.07734967,1.574888,0.597405,2.475643,0.434918,val
37,0.07595088,1.553102,0.601116,2.328265,0.463932,val
38,0.07452372,1.522013,0.607205,2.373241,0.448546,val
39,0.07306975,1.509765,0.610600,2.231918,0.477561,val
40,0.07159056,1.487798,0.616615,2.489965,0.449175,val
41,0.07008776,1.461906,0.621141,2.114293,0.490864,val
42,0.06856301,1.434115,0.627594,2.201296,0.494466,val
43,0.06701796,1.415740,0.633052,2.301389,0.471723,val
44,0.06545430,1.386331,0.640421,2.269221,0.482335,val
45,0.06387376,1.360199,0.646051,2.150333,0.498698,val
46,0.06227805,1.338914,0.649218,2.276859,0.479232,val
47,0.06066892,1.307464,0.657060,2.175913,0.496506,val
48,0.05904812,1.279326,0.663000,2.143534,0.506597,val
49,0.05741744,1.250004,0.670397,2.160080,0.501042,val
50,0.05577865,1.220003,0.678327,2.183001,0.500477,val
51,0.05413355,1.189627,0.685091,2.115098,0.511697,val
52,0.05248394,1.163674,0.691928,2.202010,0.497070,val
53,0.05083161,1.123184,0.701821,2.154140,0.508420,val
54,0.04917839,1.096600,0.707164,2.247052,0.497483,val
55,0.04752606,1.065374,0.715045,2.126136,0.515734,val
56,0.04587645,1.023024,0.726136,2.220592,0.503668,val
57,0.04423135,0.983379,0.733446,2.148576,0.513759,val
58,0.04259256,0.952435,0.741945,2.214910,0.508225,val
59,0.04096188,0.907149,0.753569,2.209076,0.519900,val
60,0.03934108,0.861828,0.764858,1.974266,0.548850,val
61,0.03773195,0.831015,0.774901,2.241872,0.511480,val
62,0.03613624,0.785903,0.783290,2.138856,0.526628,val
63,0.03455570,0.742297,0.795452,2.186579,0.531055,val
64,0.03299204,0.696402,0.808785,2.129495,0.531597,val
65,0.03144699,0.650280,0.819333,2.142402,0.536740,val
66,0.02992224,0.607780,0.831496,2.036700,0.552127,val
67,0.02841944,0.569317,0.842162,2.166913,0.533030,val
