epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.348438,0.006260,5.293018,0.006011,val
2,0.02008000,4.727842,0.051824,4.373179,0.088064,val
3,0.04006000,4.024812,0.126105,3.800930,0.158268,val
4,0.06004000,3.528853,0.200621,3.558221,0.188585,val
5,0.08002000,3.225827,0.250339,3.463577,0.211827,val
6,0.10000000,3.012865,0.291518,3.337332,0.243967,val
7,0.09997267,2.794325,0.334061,3.216400,0.274523,val
8,0.09989069,2.655762,0.360363,2.946878,0.306055,val
9,0.09975417,2.558154,0.382025,3.182139,0.283247,val
10,0.09956325,2.473597,0.397352,3.210304,0.275521,val
11,0.09931813,2.404812,0.413774,2.881755,0.337652,val
12,0.09901910,2.346765,0.425921,2.800879,0.350087,val
13,0.09866646,2.294986,0.437210,2.786019,0.345052,val
14,0.09826062,2.250730,0.446739,2.785276,0.353234,val
15,0.09780201,2.210013,0.456066,2.975410,0.338303,val
16,0.09729113,2.172971,0.464049,2.953050,0.342687,val
17,0.09672855,2.139954,0.471809,2.586238,0.397548,val
18,0.09611488,2.114190,0.476336,2.731475,0.369770,val
19,0.09545078,2.089282,0.482870,2.646159,0.378841,val
20,0.09473699,2.056344,0.489453,2.827092,0.364410,val
21,0.09397429,2.032136,0.495681,2.602919,0.390668,val
22,0.09316351,2.016788,0.498246,2.695116,0.385069,val
23,0.09230553,1.991427,0.503926,2.634204,0.398828,val
24,0.09140130,1.973004,0.507295,2.642296,0.399349,val
25,0.09045180,1.945685,0.512475,2.885415,0.363780,val
26,0.08945808,1.928208,0.516744,2.634880,0.408008,val
27,0.08842121,1.907348,0.521781,2.735054,0.376997,val
28,0.08734234,1.888560,0.527912,2.752889,0.376584,val
29,0.08622264,1.869571,0.529140,2.501328,0.419618,val
30,0.08506333,1.850827,0.532943,2.495954,0.417318,val
31,0.08386569,1.820843,0.541086,2.389422,0.445768,val
32,0.08263103,1.810356,0.543864,2.466396,0.428125,val
33,0.08136068,1.785987,0.546945,2.487492,0.428537,val
34,0.08005605,1.761923,0.553426,2.352143,0.446658,val
35,0.07871856,1.744991,0.557501,2.513580,0.429818,val
36,0.07734967,1.722355,0.564516,2.552419,0.412587,val
37,0.07595088,1.706555,0.565694,2.275693,0.457140,val
38,0.07452372,1.671574,0.574346,2.245531,0.467904,val
39,0.07306975,1.655603,0.576713,2.533096,0.417860,val
40,0.07159056,1.634696,0.579156,2.498870,0.429536,val
41,0.07008776,1.607896,0.588360,2.371979,0.446766,val
42,0.06856301,1.582253,0.597391,2.379341,0.449110,val
43,0.06701796,1.560017,0.598460,2.504980,0.439280,val
44,0.06545430,1.530696,0.604733,2.418476,0.440278,val
45,0.06387376,1.510487,0.608718,2.298653,0.464974,val
46,0.06227805,1.475143,0.615218,2.325680,0.458724,val
47,0.06066892,1.448965,0.623731,2.514763,0.434983,val
48,0.05904812,1.424978,0.630500,2.244810,0.474240,val
49,0.05741744,1.394231,0.633579,2.195190,0.487153,val
50,0.05577865,1.363190,0.642186,2.267879,0.482769,val
51,0.05413355,1.325772,0.651511,2.307151,0.467448,val
52,0.05248394,1.298928,0.657068,2.235365,0.480686,val
53,0.05083161,1.261841,0.665913,2.351346,0.471137,val
