epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.312590,0.006159,5.293183,0.009375,val
2,0.02008000,4.547150,0.075503,4.080027,0.123937,val
3,0.04006000,3.885141,0.155691,3.681597,0.186892,val
4,0.06004000,3.499406,0.216165,3.414170,0.229253,val
5,0.08002000,3.205908,0.265476,3.256694,0.262630,val
6,0.10000000,2.986450,0.304332,3.017056,0.299067,val
7,0.09997267,2.748847,0.349270,2.897372,0.335677,val
8,0.09989069,2.571889,0.380831,2.877113,0.332834,val
9,0.09975417,2.432494,0.407245,2.724415,0.364258,val
10,0.09956325,2.302317,0.433396,2.640916,0.380425,val
11,0.09931813,2.191919,0.455033,2.596041,0.397483,val
12,0.09901910,2.091086,0.476206,2.629728,0.394206,val
13,0.09866646,2.000352,0.495183,2.665597,0.392036,val
14,0.09826062,1.913555,0.510883,2.633860,0.398980,val
15,0.09780201,1.835720,0.529571,2.553347,0.417730,val
16,0.09729113,1.771154,0.543386,2.608350,0.409440,val
17,0.09672855,1.690742,0.559544,2.587191,0.420725,val
18,0.09611488,1.629513,0.573092,2.680771,0.400803,val
19,0.09545078,1.563078,0.584387,2.679727,0.408507,val
20,0.09473699,1.503113,0.598797,2.603347,0.421832,val
21,0.09397429,1.450179,0.609373,2.611713,0.429015,val
22,0.09316351,1.392098,0.622719,2.747452,0.411914,val
23,0.09230553,1.337757,0.634886,2.668739,0.424740,val
24,0.09140130,1.283472,0.647410,2.675940,0.431901,val
25,0.09045180,1.245961,0.655890,2.689754,0.426671,val
26,0.08945808,1.191960,0.669354,2.778004,0.423025,val
27,0.08842121,1.144152,0.680415,2.748095,0.429666,val
28,0.08734234,1.108623,0.688989,2.892139,0.411046,val
29,0.08622264,1.061091,0.698344,2.772790,0.423069,val
30,0.08506333,1.015107,0.711184,2.886111,0.422852,val
31,0.08386569,0.975214,0.720089,2.883725,0.423568,val
32,0.08263103,0.940665,0.730106,3.023407,0.416319,val
33,0.08136068,0.904353,0.738100,2.870880,0.430881,val
34,0.08005605,0.862913,0.748570,3.020213,0.422135,val
35,0.07871856,0.834070,0.756167,3.057288,0.416233,val
36,0.07734967,0.795032,0.765946,2.980223,0.428472,val
37,0.07595088,0.763852,0.774948,2.983068,0.426888,val
38,0.07452372,0.725493,0.783955,3.082383,0.425651,val
39,0.07306975,0.693373,0.791544,3.046853,0.435135,val
40,0.07159056,0.658427,0.801507,3.074566,0.428776,val
41,0.07008776,0.632058,0.811312,3.043590,0.429319,val
42,0.06856301,0.593471,0.820516,3.118765,0.429753,val
43,0.06701796,0.565955,0.828955,3.088395,0.440951,val
44,0.06545430,0.529166,0.839037,3.180335,0.431706,val
45,0.06387376,0.504706,0.847152,3.200636,0.430599,val
46,0.06227805,0.489307,0.851041,3.160367,0.431901,val
47,0.06066892,0.458973,0.860353,3.266757,0.428950,val
48,0.05904812,0.412676,0.873362,3.229193,0.432856,val
49,0.05741744,0.395757,0.879980,3.237666,0.441688,val
50,0.05577865,0.358095,0.891582,3.288050,0.435937,val
51,0.05413355,0.348435,0.894711,3.291373,0.441580,val
52,0.05248394,0.318493,0.904665,3.222183,0.443880,val
53,0.05083161,0.305340,0.908487,3.258395,0.439757,val
54,0.04917839,0.296910,0.911177,3.335770,0.448307,val
55,0.04752606,0.247463,0.926439,3.268929,0.448155,val
56,0.04587645,0.233906,0.931066,3.258014,0.447374,val
57,0.04423135,0.192828,0.944932,3.249186,0.455946,val
58,0.04259256,0.167872,0.952892,3.240307,0.462891,val
59,0.04096188,0.146943,0.960150,3.179706,0.464431,val
60,0.03934108,0.127820,0.965153,3.198025,0.466667,val
61,0.03773195,0.108952,0.971404,3.173767,0.470638,val
62,0.03613624,0.090734,0.978035,3.095595,0.474067,val
63,0.03455570,0.067513,0.984499,3.132775,0.475825,val
64,0.03299204,0.059507,0.987174,3.083193,0.483312,val
65,0.03144699,0.044213,0.991496,3.002225,0.485156,val
66,0.02992224,0.038989,0.993113,3.000324,0.487131,val
67,0.02841944,0.028090,0.996258,2.963364,0.490473,val
68,0.02694025,0.022971,0.997109,2.914283,0.501432,val
69,0.02548628,0.018743,0.997961,2.874904,0.498980,val
70,0.02405912,0.015627,0.998519,2.811484,0.505924,val
71,0.02266033,0.012531,0.999173,2.799042,0.504644,val
72,0.02129144,0.011978,0.999210,2.778672,0.502148,val
73,0.01995395,0.010671,0.999432,2.756840,0.504666,val
74,0.01864932,0.009911,0.999482,2.738559,0.504796,val
75,0.01737897,0.009341,0.999580,2.733312,0.505838,val
76,0.01614431,0.008914,0.999580,2.704744,0.510395,val
77,0.01494667,0.008673,0.999691,2.690086,0.510156,val
78,0.01378736,0.008550,0.999642,2.683931,0.511784,val
