epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.347051,0.006930,5.291120,0.006120,val
2,0.02008000,4.608371,0.062025,4.254528,0.087261,val
3,0.04006000,3.897519,0.141391,3.720715,0.169553,val
4,0.06004000,3.484278,0.207636,3.669320,0.184484,val
5,0.08002000,3.197315,0.258071,3.837864,0.175846,val
6,0.10000000,2.984645,0.298280,3.374178,0.242513,val
7,0.09997267,2.769375,0.340630,3.106479,0.288824,val
8,0.09989069,2.625267,0.370174,2.868623,0.330512,val
9,0.09975417,2.526344,0.390973,2.917043,0.323589,val
10,0.09956325,2.435076,0.406266,3.343941,0.266602,val
11,0.09931813,2.367409,0.425300,3.306655,0.275716,val
12,0.09901910,2.301211,0.438518,2.819127,0.351324,val
13,0.09866646,2.244241,0.450053,3.337837,0.292708,val
14,0.09826062,2.197296,0.460743,2.769849,0.361003,val
15,0.09780201,2.149958,0.470345,2.581657,0.394249,val
16,0.09729113,2.118226,0.478335,2.955539,0.337912,val
17,0.09672855,2.081288,0.484222,2.771620,0.364540,val
18,0.09611488,2.047598,0.493033,2.838528,0.357704,val
19,0.09545078,2.022222,0.496960,3.288366,0.292535,val
20,0.09473699,1.990798,0.504605,2.858319,0.361089,val
21,0.09397429,1.967622,0.508985,3.315951,0.298069,val
22,0.09316351,1.949294,0.514378,2.888564,0.360482,val
23,0.09230553,1.928821,0.519883,3.193981,0.307552,val
24,0.09140130,1.900077,0.524434,2.604055,0.399761,val
25,0.09045180,1.883219,0.529183,3.165717,0.330773,val
26,0.08945808,1.860710,0.534784,2.889101,0.371832,val
27,0.08842121,1.836444,0.539920,2.699847,0.386697,val
28,0.08734234,1.817222,0.543039,2.787547,0.388043,val
29,0.08622264,1.802022,0.547377,2.728847,0.391059,val
30,0.08506333,1.783410,0.551474,2.681754,0.406554,val
31,0.08386569,1.757233,0.556329,2.606540,0.411806,val
32,0.08263103,1.733302,0.561152,2.590989,0.416775,val
33,0.08136068,1.712317,0.566088,2.665804,0.397201,val
34,0.08005605,1.696572,0.569771,2.535904,0.413108,val
35,0.07871856,1.675264,0.573103,2.482414,0.437348,val
36,0.07734967,1.648696,0.580994,2.481754,0.428234,val
37,0.07595088,1.637718,0.581527,2.795205,0.393924,val
38,0.07452372,1.604049,0.590422,2.283345,0.468576,val
39,0.07306975,1.588418,0.591883,2.502237,0.427582,val
40,0.07159056,1.565534,0.598512,2.590434,0.422591,val
41,0.07008776,1.534931,0.606641,2.741225,0.397852,val
42,0.06856301,1.512457,0.609768,2.330368,0.466254,val
43,0.06701796,1.491136,0.614230,2.638070,0.429861,val
44,0.06545430,1.461059,0.621672,2.389175,0.454818,val
45,0.06387376,1.432994,0.629560,2.469243,0.438520,val
46,0.06227805,1.408726,0.635816,2.360646,0.462131,val
47,0.06066892,1.387732,0.637287,2.804471,0.404709,val
48,0.05904812,1.355690,0.645069,2.226025,0.489475,val
49,0.05741744,1.319868,0.655948,2.288978,0.476302,val
50,0.05577865,1.291292,0.659853,2.375527,0.457183,val
51,0.05413355,1.258694,0.669521,2.206811,0.485243,val
52,0.05248394,1.231942,0.675230,2.437930,0.461089,val
53,0.05083161,1.197061,0.683727,2.277733,0.475890,val
54,0.04917839,1.167020,0.690495,2.483959,0.450109,val
55,0.04752606,1.126054,0.700373,2.233703,0.492969,val
56,0.04587645,1.080381,0.710147,2.395712,0.480881,val
57,0.04423135,1.054028,0.716361,2.201307,0.499219,val
58,0.04259256,1.015263,0.727712,2.515778,0.460352,val
59,0.04096188,0.963860,0.740235,2.341691,0.487500,val
60,0.03934108,0.929691,0.747718,2.709333,0.451150,val
61,0.03773195,0.882899,0.759687,2.206724,0.511306,val
62,0.03613624,0.830579,0.774071,2.635594,0.458464,val
63,0.03455570,0.795303,0.781845,2.403870,0.496897,val
64,0.03299204,0.749266,0.794326,2.385583,0.477561,val
65,0.03144699,0.697165,0.807498,2.329761,0.504774,val
66,0.02992224,0.641686,0.822432,2.434432,0.491623,val
67,0.02841944,0.597153,0.834511,2.290561,0.501649,val
68,0.02694025,0.544309,0.849760,2.201221,0.526563,val
69,0.02548628,0.490638,0.866386,2.538540,0.486806,val
70,0.02405912,0.442658,0.879622,2.373325,0.510243,val
71,0.02266033,0.390518,0.895173,2.437077,0.504688,val
72,0.02129144,0.344413,0.910229,2.376661,0.511697,val
73,0.01995395,0.299125,0.923334,2.370973,0.522548,val
74,0.01864932,0.245199,0.939612,2.200195,0.538173,val
75,0.01737897,0.202339,0.953857,2.221792,0.540777,val
76,0.01614431,0.156562,0.967178,2.312855,0.531749,val
77,0.01494667,0.122234,0.976785,2.080559,0.566992,val
78,0.01378736,0.086274,0.987186,1.886824,0.593685,val
79,0.01266766,0.063084,0.992200,1.812837,0.606944,val
80,0.01158879,0.045969,0.995823,1.789072,0.610113,val
81,0.01055192,0.035048,0.997778,1.732407,0.616580,val
82,0.00955820,0.028768,0.998581,1.725503,0.618164,val
83,0.00860870,0.026682,0.999087,1.704288,0.626606,val
84,0.00770447,0.022932,0.999222,1.677897,0.627973,val
85,0.00684649,0.020747,0.999568,1.653883,0.630035,val
86,0.00603571,0.019956,0.999519,1.659074,0.631489,val
87,0.00527301,0.018793,0.999654,1.644831,0.631228,val
88,0.00455922,0.017982,0.999654,1.643375,0.633876,val
89,0.00389512,0.017458,0.999679,1.641396,0.634592,val
90,0.00328145,0.016735,0.999778,1.637191,0.636263,val
91,0.00271887,0.016170,0.999901,1.635053,0.634635,val
92,0.00220799,0.016037,0.999852,1.637566,0.633615,val
93,0.00174938,0.015689,0.999840,1.624104,0.636003,val
94,0.00134354,0.015208,0.999901,1.629222,0.635677,val
95,0.00099090,0.014976,0.999864,1.629750,0.635612,val
96,0.00069187,0.014948,0.999889,1.632973,0.635786,val
97,0.00044675,0.014467,0.999877,1.631875,0.636914,val
98,0.00025583,0.014722,0.999914,1.635048,0.635634,val
99,0.00011931,0.014447,0.999914,1.629163,0.637739,val
100,0.00003733,0.014649,0.999926,1.628002,0.637457,val
