epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.10000000,3.984062,0.086875,0.280562,3.535608,0.152757,0.411259,val
2,0.09990134,3.329933,0.184686,0.467275,3.039739,0.238500,0.543187,val
3,0.09960574,2.798009,0.282024,0.606433,2.727561,0.307939,0.624207,val
4,0.09911436,2.381611,0.366936,0.699446,2.405264,0.371841,0.698495,val
5,0.09842916,2.082881,0.431527,0.765734,2.137425,0.422886,0.750057,val
6,0.09755283,1.866883,0.484779,0.806355,2.050941,0.453768,0.757583,val
7,0.09648882,1.732917,0.517450,0.827496,1.975581,0.469612,0.790740,val
8,0.09524135,1.627463,0.543070,0.846019,1.909472,0.485857,0.795634,val
9,0.09381533,1.534202,0.565928,0.859715,1.831086,0.506307,0.811581,val
10,0.09221640,1.465279,0.586347,0.871658,1.897662,0.490889,0.803401,val
11,0.09045085,1.406031,0.596379,0.882142,1.845614,0.509478,0.823966,val
12,0.08852566,1.348150,0.611816,0.888554,1.669834,0.547369,0.846105,val
13,0.08644843,1.293830,0.627952,0.895725,1.860018,0.500954,0.810110,val
14,0.08422736,1.250208,0.637069,0.902637,1.901214,0.512362,0.806009,val
15,0.08187120,1.201302,0.652862,0.909360,1.630328,0.553539,0.848771,val
16,0.07938926,1.158202,0.662600,0.914492,1.808749,0.533548,0.825862,val
17,0.07679134,1.117093,0.672667,0.922028,1.496840,0.586489,0.872702,val
18,0.07408768,1.075127,0.683187,0.925717,1.549409,0.579067,0.860995,val
19,0.07128896,1.028517,0.697423,0.931784,1.695029,0.563614,0.842808,val
20,0.06840623,0.993523,0.705746,0.935663,1.554353,0.594669,0.859352,val
21,0.06545085,0.953277,0.715157,0.940521,1.472888,0.599242,0.870577,val
22,0.06243449,0.912819,0.726720,0.945404,1.505877,0.596312,0.863810,val
23,0.05936907,0.858406,0.743233,0.951241,1.493898,0.597266,0.865763,val
24,0.05626666,0.820573,0.752567,0.955288,1.549067,0.587891,0.866487,val
25,0.05313953,0.782298,0.763960,0.960397,1.533190,0.598001,0.872806,val
26,0.05000000,0.721884,0.779768,0.966585,1.568305,0.588350,0.873311,val
27,0.04686047,0.679648,0.792298,0.969236,1.457243,0.624609,0.878803,val
28,0.04373334,0.630787,0.805721,0.973514,1.489070,0.613258,0.875781,val
29,0.04063093,0.589292,0.820414,0.977127,1.319342,0.652470,0.894049,val
30,0.03756551,0.526491,0.838754,0.982533,1.423749,0.635501,0.884260,val
31,0.03454915,0.470842,0.855173,0.985361,1.348138,0.663281,0.889189,val
32,0.03159377,0.415110,0.872097,0.990000,1.414363,0.656284,0.891923,val
33,0.02871104,0.367160,0.887133,0.992215,1.303435,0.667716,0.902252,val
34,0.02591232,0.304248,0.907340,0.994834,1.320572,0.672036,0.899035,val
35,0.02320866,0.254599,0.924279,0.996804,1.294461,0.686558,0.907893,val
36,0.02061074,0.197376,0.943384,0.998557,1.218653,0.698311,0.913511,val
37,0.01812880,0.153830,0.957872,0.999112,1.160750,0.705802,0.918176,val
38,0.01577264,0.113221,0.971749,0.999556,1.150232,0.717647,0.922254,val
39,0.01355157,0.088464,0.978681,0.999778,1.099629,0.730641,0.924161,val
40,0.01147434,0.064093,0.987398,0.999911,1.071200,0.735788,0.927505,val
41,0.00954915,0.049284,0.992298,0.999978,1.057303,0.742900,0.930388,val
42,0.00778360,0.039149,0.994451,1.000000,1.028444,0.747863,0.931560,val
43,0.00618467,0.031822,0.996493,0.999956,1.035227,0.749540,0.930067,val
44,0.00475865,0.028511,0.996826,1.000000,1.019246,0.750597,0.931193,val
45,0.00351118,0.025108,0.998002,1.000000,1.025548,0.754745,0.931411,val
46,0.00244717,0.023550,0.998158,1.000000,1.020373,0.752838,0.930411,val
47,0.00157084,0.022371,0.998247,1.000000,1.017645,0.752619,0.933513,val
48,0.00088564,0.021531,0.998469,0.999978,1.020570,0.750276,0.931756,val
49,0.00039426,0.020215,0.998846,1.000000,1.017047,0.753573,0.932537,val
50,0.00009866,0.020442,0.998806,1.000000,1.018962,0.751057,0.929998,val
