epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.640084,0.013785,0.061960,4.578934,0.019612,0.079584,val
2,0.02008000,3.876232,0.117451,0.334566,3.565631,0.191464,0.456422,val
3,0.04006000,3.384131,0.205520,0.491682,3.282049,0.257215,0.556250,val
4,0.06004000,2.998811,0.285657,0.602990,2.913302,0.319290,0.631951,val
5,0.08002000,2.711057,0.347309,0.679648,2.644722,0.382227,0.699874,val
6,0.10000000,2.492537,0.402783,0.732242,2.535756,0.402987,0.716119,val
7,0.09998827,2.302785,0.453522,0.773331,2.586450,0.409938,0.725230,val
8,0.09995307,2.162860,0.487761,0.806251,2.223786,0.480940,0.787557,val
9,0.09989443,2.082296,0.508750,0.819587,2.255625,0.470692,0.789143,val
10,0.09981237,2.014084,0.527149,0.832517,2.114902,0.497656,0.808743,val
11,0.09970693,1.968118,0.539334,0.841047,2.115679,0.506204,0.824920,val
12,0.09957816,1.937769,0.549218,0.847074,2.099499,0.521932,0.812638,val
13,0.09942612,1.885048,0.562976,0.854823,2.261459,0.492578,0.790912,val
14,0.09925088,1.862834,0.568633,0.860559,2.113572,0.522633,0.815832,val
15,0.09905252,1.810874,0.584793,0.867890,2.028076,0.526482,0.829504,val
16,0.09883114,1.797056,0.588894,0.869972,2.169892,0.513764,0.809823,val
17,0.09858685,1.771654,0.594751,0.874768,2.087852,0.520198,0.824862,val
18,0.09831975,1.750854,0.601582,0.878697,1.961455,0.549563,0.846036,val
19,0.09802996,1.737421,0.604455,0.879656,2.107536,0.523587,0.816291,val
20,0.09771764,1.703504,0.613446,0.886655,2.152568,0.513051,0.816165,val
21,0.09738292,1.711875,0.614823,0.884179,1.950864,0.562121,0.845393,val
22,0.09702596,1.688300,0.620051,0.888867,2.042995,0.539970,0.838810,val
23,0.09664693,1.658129,0.626235,0.893212,1.898196,0.580090,0.855273,val
24,0.09624600,1.656865,0.626551,0.894770,2.041737,0.535248,0.825253,val
25,0.09582337,1.644380,0.631508,0.895348,2.074676,0.530676,0.816877,val
26,0.09537923,1.626472,0.636968,0.898645,1.832010,0.589522,0.867773,val
27,0.09491380,1.622067,0.636662,0.900867,1.929541,0.567394,0.852849,val
28,0.09442728,1.600016,0.645135,0.903338,1.907264,0.577884,0.846967,val
29,0.09391991,1.592278,0.647703,0.906383,1.931664,0.570726,0.846680,val
30,0.09339192,1.565529,0.654921,0.908783,1.897152,0.581514,0.856813,val
31,0.09284357,1.556395,0.657614,0.910642,1.885538,0.583467,0.862787,val
32,0.09227512,1.562996,0.658230,0.908104,1.897505,0.573886,0.853194,val
33,0.09168682,1.570996,0.650687,0.909752,1.935213,0.567027,0.845600,val
34,0.09107895,1.546508,0.660857,0.911034,1.824666,0.589970,0.870037,val
35,0.09045180,1.519303,0.668960,0.916201,1.922867,0.568233,0.855813,val
36,0.08980567,1.518162,0.667434,0.916176,1.953679,0.575862,0.841889,val
37,0.08914086,1.520232,0.666824,0.916706,1.889754,0.580997,0.861765,val
38,0.08845767,1.497149,0.675471,0.918864,1.888688,0.574943,0.858077,val
39,0.08775644,1.506543,0.672800,0.917996,1.883560,0.579435,0.857663,val
40,0.08703748,1.472968,0.681586,0.922992,2.022081,0.565533,0.844841,val
41,0.08630114,1.475470,0.680265,0.923429,1.796961,0.606422,0.868061,val
42,0.08554777,1.475323,0.684262,0.921660,1.739924,0.619773,0.878539,val
43,0.08477771,1.448257,0.691576,0.927229,1.872307,0.595726,0.862661,val
44,0.08399133,1.461358,0.686792,0.923658,1.802577,0.596232,0.866716,val
45,0.08318899,1.433351,0.693631,0.928489,1.990652,0.562960,0.839005,val
46,0.08237108,1.437255,0.691576,0.927086,1.806610,0.609283,0.860880,val
47,0.08153797,1.425925,0.697169,0.929192,1.823158,0.606319,0.869451,val
48,0.08069006,1.414932,0.699441,0.929648,1.793246,0.603412,0.872139,val
49,0.07982775,1.399931,0.703700,0.933313,1.712634,0.626884,0.886087,val
50,0.07895144,1.386779,0.710047,0.934541,1.705644,0.628803,0.886581,val
