epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.639834,0.013307,0.062093,4.578083,0.019221,0.079630,val
2,0.02008000,3.855359,0.122270,0.340515,3.620959,0.171588,0.443658,val
3,0.04006000,3.347169,0.215485,0.503112,3.157640,0.268302,0.574046,val
4,0.06004000,2.939560,0.299277,0.620191,2.992711,0.314901,0.621703,val
5,0.08002000,2.626709,0.369338,0.701428,2.702730,0.369359,0.696255,val
6,0.10000000,2.416594,0.425199,0.749887,2.423076,0.429756,0.751459,val
7,0.09998827,2.232589,0.471714,0.790150,2.424480,0.437707,0.757939,val
8,0.09995307,2.095350,0.507911,0.817738,2.251359,0.472886,0.785478,val
9,0.09989443,2.022327,0.526693,0.829504,2.176949,0.493911,0.801379,val
10,0.09981237,1.960014,0.545930,0.841143,2.075915,0.512638,0.822415,val
11,0.09970693,1.911109,0.552986,0.853777,2.235200,0.481687,0.793244,val
12,0.09957816,1.853085,0.572608,0.863954,2.038636,0.532675,0.823012,val
13,0.09942612,1.825893,0.581264,0.865089,2.121305,0.516165,0.809949,val
14,0.09925088,1.786917,0.590976,0.873072,2.117961,0.510306,0.816958,val
15,0.09905252,1.779448,0.593624,0.872970,2.027364,0.540774,0.825287,val
16,0.09883114,1.746319,0.605720,0.878867,2.255306,0.499690,0.784972,val
17,0.09858685,1.721602,0.610966,0.883229,1.904608,0.558686,0.853711,val
18,0.09831975,1.692644,0.617663,0.889288,1.924167,0.568784,0.842762,val
19,0.09802996,1.671311,0.625782,0.891402,2.031315,0.539338,0.840591,val
20,0.09771764,1.658892,0.627439,0.894457,2.021406,0.542199,0.831239,val
21,0.09738292,1.633881,0.637099,0.898322,2.010612,0.548736,0.831698,val
22,0.09702596,1.625983,0.637530,0.900613,1.992435,0.550724,0.841762,val
23,0.09664693,1.598684,0.645683,0.902393,1.907670,0.575402,0.851562,val
24,0.09624600,1.597300,0.646758,0.904839,2.061972,0.528699,0.819152,val
25,0.09582337,1.585395,0.650687,0.904724,2.007496,0.552838,0.833709,val
26,0.09537923,1.562612,0.656839,0.909952,1.816192,0.599954,0.867061,val
27,0.09491380,1.570280,0.654566,0.909347,1.883221,0.570198,0.863545,val
28,0.09442728,1.534070,0.665673,0.914353,1.785781,0.605917,0.871312,val
29,0.09391991,1.548008,0.660778,0.910191,1.895250,0.582008,0.857594,val
30,0.09339192,1.512824,0.672060,0.916171,1.891026,0.581124,0.862063,val
31,0.09284357,1.532272,0.665032,0.913947,2.012537,0.546714,0.832835,val
32,0.09227512,1.502780,0.675120,0.917685,1.940546,0.571553,0.847530,val
33,0.09168682,1.499984,0.671727,0.919125,1.957114,0.561799,0.838683,val
34,0.09107895,1.495827,0.678371,0.918455,1.828718,0.588028,0.863821,val
35,0.09045180,1.479393,0.681401,0.920492,1.885994,0.578688,0.855193,val
36,0.08980567,1.467826,0.684043,0.923007,1.889635,0.579906,0.843474,val
37,0.08914086,1.472909,0.683199,0.921148,1.896076,0.583743,0.856859,val
38,0.08845767,1.428422,0.695714,0.929734,1.800631,0.603320,0.868624,val
39,0.08775644,1.452556,0.690768,0.926889,1.835190,0.590154,0.862764,val
40,0.08703748,1.438234,0.694294,0.928869,1.832460,0.589763,0.871151,val
