epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.05000000,3.946900,0.120894,0.342202,4.081505,0.123396,0.370922,val
2,0.04998766,3.446883,0.222128,0.512833,3.566961,0.205297,0.491509,val
3,0.04995067,3.037031,0.314987,0.639123,3.267871,0.275487,0.613247,val
4,0.04988905,2.721737,0.396303,0.728721,2.988254,0.342441,0.673924,val
5,0.04980287,2.506649,0.457512,0.784370,2.710883,0.414213,0.734409,val
6,0.04969221,2.431788,0.480692,0.798400,2.980609,0.344819,0.651987,val
7,0.04955718,2.250432,0.528880,0.837814,2.937482,0.359594,0.672272,val
8,0.04939792,2.199598,0.548048,0.850413,2.742901,0.427179,0.739467,val
9,0.04921458,2.119654,0.570406,0.866413,2.863558,0.400980,0.716913,val
10,0.04900734,2.086779,0.582137,0.869792,2.864526,0.405606,0.728276,val
11,0.04877641,2.065058,0.588237,0.873757,3.011931,0.377495,0.698664,val
12,0.04852202,2.041156,0.595744,0.877768,3.098895,0.359060,0.686822,val
13,0.04824441,1.996423,0.610126,0.886613,2.918224,0.478612,0.770552,val
14,0.04794387,1.957994,0.622795,0.892830,3.084065,0.387137,0.682559,val
15,0.04762068,1.985020,0.610548,0.888959,3.103864,0.447656,0.748684,val
16,0.04727516,1.903517,0.639452,0.900713,3.094742,0.423472,0.736246,val
17,0.04690767,1.908194,0.638185,0.900596,3.186948,0.431853,0.730517,val
18,0.04651855,1.908877,0.639100,0.901534,2.924084,0.475322,0.770751,val
19,0.04610820,1.894127,0.643651,0.904326,3.031728,0.476857,0.776857,val
20,0.04567701,1.845481,0.660567,0.911505,2.994071,0.485143,0.786129,val
21,0.04522542,1.843367,0.659441,0.911623,2.952799,0.494237,0.784258,val
22,0.04475388,1.827780,0.667324,0.912889,3.107356,0.454783,0.750014,val
23,0.04426283,1.818494,0.668802,0.914696,2.999845,0.486911,0.774232,val
1,0.05000000,3.813394,0.115874,0.332700,4.133506,0.099102,0.338343,val
2,0.04998766,3.261842,0.202867,0.484844,3.457265,0.183011,0.459032,val
3,0.04995067,2.751428,0.289790,0.613668,2.974523,0.284793,0.605791,val
4,0.04988905,2.348388,0.374460,0.709624,2.498759,0.354612,0.682525,val
5,0.04980287,2.054314,0.438579,0.769355,2.256038,0.412068,0.732751,val
6,0.04969221,1.870175,0.485290,0.799948,2.398793,0.401192,0.706558,val
