epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.05000000,3.813394,0.115874,0.332700,4.133506,0.099102,0.338343,val
2,0.04998766,3.261842,0.202867,0.484844,3.457265,0.183011,0.459032,val
3,0.04995067,2.751428,0.289790,0.613668,2.974523,0.284793,0.605791,val
4,0.04988905,2.348388,0.374460,0.709624,2.498759,0.354612,0.682525,val
5,0.04980287,2.054314,0.438579,0.769355,2.256038,0.412068,0.732751,val
6,0.04969221,1.870175,0.485290,0.799948,2.398793,0.401192,0.706558,val
7,0.04955718,1.728759,0.516634,0.826975,2.197842,0.425185,0.755681,val
8,0.04939792,1.635195,0.541385,0.845040,1.866762,0.502686,0.808655,val
9,0.04921458,1.544795,0.562758,0.857920,2.941182,0.384807,0.723979,val
10,0.04900734,1.473789,0.580706,0.869581,1.992498,0.478893,0.787582,val
11,0.04877641,1.422455,0.594078,0.876595,2.041802,0.476754,0.808052,val
12,0.04852202,1.398384,0.599991,0.880654,1.959235,0.497039,0.809272,val
13,0.04824441,1.337512,0.614161,0.889030,1.647833,0.555907,0.842263,val
14,0.04794387,1.263954,0.633704,0.899892,2.036864,0.487699,0.801473,val
15,0.04762068,1.286140,0.630842,0.897523,2.068966,0.482257,0.791242,val
16,0.04727516,1.253300,0.636730,0.900127,1.778586,0.528564,0.831942,val
17,0.04690767,1.224995,0.647898,0.905804,1.754807,0.538144,0.844607,val
18,0.04651855,1.217323,0.645528,0.907118,1.869489,0.521478,0.814220,val
19,0.04610820,1.215694,0.648977,0.906743,1.675865,0.552042,0.842277,val
20,0.04567701,1.137475,0.668590,0.918168,1.678582,0.558786,0.841886,val
21,0.04522542,1.082241,0.682409,0.925160,1.958207,0.528769,0.813973,val
22,0.04475388,1.122137,0.674925,0.920444,1.718806,0.555818,0.836369,val
23,0.04426283,1.089301,0.682174,0.923986,2.477144,0.476802,0.774733,val
24,0.04375278,1.118452,0.673470,0.920092,1.647098,0.567585,0.843353,val
25,0.04322422,1.026426,0.698057,0.932151,1.719535,0.558799,0.846347,val
26,0.04267767,1.022184,0.696791,0.932737,2.096067,0.514549,0.815700,val
27,0.04211368,1.046530,0.692661,0.929453,1.556224,0.595059,0.863206,val
28,0.04153280,0.961737,0.716146,0.937312,1.729998,0.571149,0.844346,val
29,0.04093560,1.001199,0.704134,0.934215,1.708928,0.569230,0.844374,val
30,0.04032268,0.991454,0.706034,0.936303,1.800538,0.551994,0.839398,val
31,0.03969463,1.000197,0.704228,0.935318,1.916638,0.547492,0.837623,val
32,0.03905208,0.945193,0.719595,0.941606,1.737586,0.565652,0.851508,val
33,0.03839567,0.938419,0.722433,0.943483,1.600588,0.593661,0.867941,val
34,0.03772604,0.915215,0.726117,0.946486,1.588003,0.601713,0.865323,val
35,0.03704384,0.843198,0.746059,0.953453,1.593185,0.596025,0.862541,val
36,0.03634976,0.872226,0.739583,0.950357,1.770553,0.568496,0.849911,val
37,0.03564448,0.835043,0.747302,0.954181,1.705003,0.574616,0.850350,val
38,0.03492870,0.837238,0.747372,0.953430,1.664245,0.589871,0.858587,val
39,0.03420311,0.817662,0.753895,0.956996,1.638978,0.586479,0.867421,val
40,0.03346845,0.828802,0.751595,0.956761,1.545137,0.609738,0.873753,val
41,0.03272542,0.784915,0.764123,0.959624,1.519915,0.616084,0.874239,val
42,0.03197478,0.727341,0.781649,0.964550,1.603574,0.592393,0.861109,val
43,0.03121725,0.786285,0.763889,0.960445,1.552480,0.602138,0.869442,val
44,0.03045358,0.719744,0.781086,0.966826,1.531086,0.616153,0.875137,val
45,0.02968453,0.706029,0.785051,0.967483,1.525434,0.616557,0.872533,val
