epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00015000,4.675565,0.011035,0.054544,4.623370,0.012955,0.062549,val
2,0.03012000,4.015909,0.098605,0.289360,3.846245,0.128313,0.366891,val
3,0.06009000,3.514260,0.182523,0.453588,3.902819,0.134148,0.400712,val
4,0.09006000,3.151057,0.255153,0.560966,4.154219,0.171282,0.441653,val
5,0.12003000,2.851483,0.323038,0.639720,3.412634,0.250544,0.552561,val
6,0.15000000,2.587798,0.382581,0.708819,3.224490,0.282882,0.613281,val
7,0.14993423,2.321051,0.448226,0.770789,3.123119,0.309830,0.617385,val
8,0.14973705,2.139540,0.498886,0.810403,3.008683,0.332822,0.661739,val
9,0.14940880,1.989623,0.536458,0.840418,3.141365,0.321203,0.632763,val
10,0.14895005,1.873494,0.567355,0.862167,2.542639,0.411936,0.751384,val
11,0.14836162,1.783672,0.595085,0.876589,2.442940,0.436412,0.755291,val
12,0.14764452,1.690296,0.620564,0.895646,2.320995,0.464794,0.776404,val
13,0.14680003,1.630934,0.639621,0.902300,2.296128,0.476958,0.787233,val
14,0.14582962,1.569587,0.656813,0.914504,2.329008,0.484820,0.786491,val
15,0.14473499,1.503760,0.673905,0.921334,2.331976,0.472557,0.776998,val
16,0.14351807,1.448002,0.691483,0.932115,2.268899,0.482793,0.788568,val
17,0.14218099,1.413381,0.702286,0.936220,2.355761,0.486501,0.779173,val
18,0.14072609,1.370617,0.716598,0.940821,2.360975,0.487836,0.787826,val
19,0.13915594,1.319840,0.732433,0.945522,2.555491,0.451295,0.756131,val
20,0.13747327,1.302184,0.735467,0.949671,2.365164,0.481952,0.781547,val
21,0.13568105,1.258817,0.748234,0.957373,2.406852,0.480815,0.779173,val
22,0.13378242,1.224077,0.758088,0.960077,2.360451,0.487391,0.780558,val
23,0.13178070,1.191041,0.770072,0.963652,2.534608,0.453768,0.754747,val
24,0.12967942,1.168463,0.779639,0.967481,2.323518,0.489072,0.796133,val
25,0.12748226,1.130810,0.790718,0.970162,2.197681,0.523339,0.811017,val
26,0.12519307,1.097971,0.801620,0.973804,2.132638,0.539211,0.823675,val
27,0.12281586,1.064361,0.812875,0.977787,2.376531,0.495896,0.797617,val
28,0.12035482,1.040350,0.820986,0.978791,2.193242,0.535552,0.816703,val
29,0.11781425,1.004710,0.832362,0.982830,2.195487,0.528333,0.809385,val
30,0.11519861,0.978475,0.842989,0.984221,2.291324,0.514241,0.801473,val
31,0.11251250,0.956168,0.849146,0.986858,2.407709,0.494215,0.787678,val
32,0.10976062,0.937212,0.858062,0.988193,2.301673,0.508109,0.798705,val
33,0.10694780,0.896869,0.869703,0.990301,2.094045,0.550237,0.829361,val
34,0.10407898,0.861435,0.884115,0.992353,2.228041,0.536392,0.802858,val
35,0.10115919,0.849116,0.889775,0.992828,2.191216,0.545738,0.824763,val
36,0.09819355,0.830210,0.892942,0.994030,2.059819,0.565516,0.835443,val
37,0.09518726,0.793220,0.907662,0.996193,2.161218,0.558149,0.834751,val
38,0.09214561,0.765319,0.918035,0.996645,2.103937,0.569274,0.827927,val
39,0.08907391,0.732889,0.929688,0.997583,1.961423,0.597706,0.848892,val
40,0.08597758,0.702544,0.941130,0.998279,1.935486,0.603639,0.850821,val
41,0.08286202,0.684695,0.947266,0.998775,1.877666,0.611946,0.857941,val
42,0.07973272,0.678095,0.948259,0.998676,1.881806,0.615407,0.856112,val
43,0.07659516,0.653248,0.956358,0.999239,1.857576,0.617880,0.858238,val
44,0.07345484,0.628415,0.964314,0.999570,1.844251,0.624852,0.861748,val
45,0.07031728,0.598078,0.974234,0.999735,1.750174,0.641119,0.875000,val
46,0.06718798,0.581172,0.979807,1.000000,1.775176,0.639438,0.870352,val
47,0.06407242,0.566931,0.983051,0.999934,1.720653,0.656349,0.876978,val
48,0.06097609,0.549550,0.986372,1.000000,1.705444,0.656497,0.880241,val
49,0.05790439,0.537781,0.989925,0.999967,1.734916,0.651009,0.873566,val
50,0.05486274,0.537719,0.988998,0.999934,1.659811,0.668661,0.884197,val
51,0.05185645,0.516610,0.994108,1.000000,1.650027,0.670589,0.886076,val
52,0.04889081,0.506523,0.995211,1.000000,1.624993,0.679935,0.888153,val
53,0.04597102,0.498448,0.996690,1.000000,1.599099,0.684879,0.888894,val
54,0.04310220,0.486081,0.998146,0.999967,1.549391,0.700307,0.898734,val
55,0.04028938,0.480442,0.998610,1.000000,1.544694,0.703125,0.898190,val
56,0.03753750,0.476208,0.998179,1.000000,1.563108,0.697983,0.897795,val
57,0.03485139,0.471773,0.998897,1.000000,1.549156,0.703916,0.900267,val
58,0.03223575,0.468011,0.999305,0.999967,1.542249,0.706240,0.900663,val
59,0.02969518,0.463093,0.999669,1.000000,1.530675,0.712767,0.904569,val
60,0.02723414,0.460559,0.999603,1.000000,1.534299,0.711086,0.902393,val
61,0.02485693,0.458073,0.999603,1.000000,1.522964,0.713558,0.905756,val
62,0.02256774,0.457505,0.999636,1.000000,1.527895,0.715437,0.905014,val
63,0.02037058,0.454714,0.999636,1.000000,1.519475,0.716772,0.906942,val
64,0.01826930,0.453422,0.999735,1.000000,1.522509,0.716377,0.905805,val
65,0.01626758,0.452662,0.999636,1.000000,1.516207,0.719244,0.907536,val
66,0.01436895,0.451065,0.999570,1.000000,1.516096,0.721025,0.907486,val
67,0.01257673,0.449958,0.999669,1.000000,1.518699,0.721470,0.907882,val
68,0.01089406,0.449430,0.999702,1.000000,1.522100,0.720678,0.907091,val
69,0.00932391,0.449381,0.999735,1.000000,1.521811,0.722755,0.907239,val
70,0.00786901,0.448437,0.999669,1.000000,1.515469,0.722656,0.908525,val
71,0.00653193,0.447733,0.999735,1.000000,1.517765,0.723744,0.907239,val
72,0.00531501,0.447315,0.999702,1.000000,1.521998,0.722953,0.907387,val
73,0.00422038,0.446622,0.999801,1.000000,1.523225,0.723250,0.908821,val
74,0.00324997,0.446205,0.999801,1.000000,1.523046,0.723200,0.908277,val
75,0.00240548,0.446274,0.999834,1.000000,1.523039,0.723794,0.908277,val
76,0.00168838,0.446323,0.999834,1.000000,1.523246,0.723843,0.908772,val
77,0.00109995,0.445804,0.999868,1.000000,1.522217,0.724090,0.908525,val
78,0.00064120,0.445417,0.999834,1.000000,1.524000,0.723645,0.907140,val
79,0.00031295,0.445542,0.999868,1.000000,1.520318,0.723151,0.908623,val
80,0.00011577,0.445483,0.999768,1.000000,1.521264,0.723200,0.908426,val
