epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.05000000,3.946900,0.120894,0.342202,4.081505,0.123396,0.370922,val
2,0.04998766,3.446883,0.222128,0.512833,3.566961,0.205297,0.491509,val
3,0.04995067,3.037031,0.314987,0.639123,3.267871,0.275487,0.613247,val
4,0.04988905,2.721737,0.396303,0.728721,2.988254,0.342441,0.673924,val
5,0.04980287,2.506649,0.457512,0.784370,2.710883,0.414213,0.734409,val
6,0.04969221,2.563513,0.443741,0.764780,2.835889,0.389213,0.711054,val
7,0.04955718,2.435819,0.477384,0.795632,3.023907,0.346101,0.662651,val
8,0.04939792,2.365247,0.500235,0.810389,2.567713,0.443627,0.768524,val
9,0.04921458,2.299795,0.518464,0.825404,2.577272,0.456140,0.774397,val
10,0.04900734,2.246556,0.535168,0.836407,2.564710,0.448917,0.778337,val
11,0.04877641,2.214328,0.547274,0.842131,2.932388,0.360149,0.687863,val
12,0.04852202,2.180122,0.554781,0.848348,2.375949,0.512870,0.811746,val
13,0.04824441,2.131895,0.569562,0.859868,2.358169,0.520038,0.817181,val
14,0.04794387,2.115210,0.576811,0.860689,2.332064,0.521203,0.820189,val
15,0.04762068,2.082138,0.588565,0.868431,2.331680,0.525528,0.815570,val
16,0.04727516,2.031186,0.600718,0.878636,2.305061,0.533950,0.824164,val
17,0.04690767,2.033065,0.600178,0.879575,2.266551,0.545093,0.830249,val
18,0.04651855,2.008761,0.609516,0.883915,2.117777,0.584190,0.860115,val
19,0.04610820,1.990905,0.615522,0.886496,2.189923,0.561616,0.848691,val
20,0.04567701,1.960205,0.624859,0.893323,2.347657,0.516776,0.807970,val
21,0.04522542,1.949298,0.628425,0.892150,2.283113,0.548917,0.834629,val
22,0.04475388,1.930502,0.633540,0.896654,2.314781,0.534060,0.828132,val
23,0.04426283,1.928516,0.635299,0.897124,2.122187,0.585704,0.860800,val
24,0.04375278,1.900752,0.642291,0.901370,2.050595,0.603228,0.871361,val
25,0.04322422,1.863819,0.655640,0.908666,2.132900,0.579208,0.857086,val
26,0.04267767,1.865516,0.656250,0.908315,2.083760,0.599191,0.863514,val
27,0.04211368,1.825093,0.666385,0.914672,2.253277,0.555236,0.836780,val
28,0.04153280,1.834660,0.664884,0.912491,2.099722,0.595079,0.863062,val
29,0.04093560,1.823654,0.668825,0.915564,2.100803,0.590337,0.871032,val
