epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.715305,0.012063,4.652051,0.017361,val
2,0.00010090,4.176049,0.089062,3.945430,0.133637,val
3,0.00020080,3.935639,0.129195,3.704717,0.170616,val
4,0.00030070,3.735964,0.166262,3.609634,0.199913,val
5,0.00040060,3.583880,0.195764,3.425365,0.244010,val
6,0.00050050,3.466442,0.223770,3.354239,0.250174,val
7,0.00060040,3.367292,0.244783,3.275575,0.261719,val
8,0.00070030,3.285203,0.261723,3.206306,0.284245,val
9,0.00080020,3.200692,0.285682,3.196756,0.294661,val
10,0.00090010,3.130505,0.298418,3.088884,0.308116,val
11,0.00100000,3.069084,0.317238,3.072582,0.328733,val
12,0.00099970,2.973176,0.338673,3.049595,0.328342,val
13,0.00099878,2.873595,0.363498,2.972240,0.344401,val
14,0.00099726,2.786576,0.385635,2.921354,0.362500,val
15,0.00099514,2.692445,0.411060,2.851106,0.378733,val
16,0.00099241,2.597581,0.435329,2.841503,0.383290,val
17,0.00098908,2.503146,0.461392,2.804414,0.399392,val
18,0.00098516,2.407095,0.487063,2.811330,0.404601,val
19,0.00098065,2.305874,0.516641,2.778792,0.412934,val
20,0.00097555,2.201273,0.546911,2.776990,0.420182,val
21,0.00096988,2.085014,0.583767,2.821334,0.415799,val
22,0.00096363,1.968065,0.620479,2.833735,0.416406,val
23,0.00095682,1.861675,0.654508,2.862356,0.432509,val
24,0.00094945,1.755536,0.688099,2.915531,0.411545,val
25,0.00094153,1.647648,0.729984,2.903973,0.432639,val
26,0.00093308,1.549185,0.763614,2.905718,0.434505,val
27,0.00092410,1.459812,0.796704,2.997306,0.428038,val
28,0.00091460,1.382215,0.823145,2.963286,0.438585,val
29,0.00090460,1.315325,0.849612,3.016284,0.432422,val
30,0.00089411,1.252857,0.874761,3.012445,0.428255,val
31,0.00088314,1.218237,0.886725,3.053742,0.436762,val
32,0.00087170,1.189684,0.896680,2.978843,0.446875,val
33,0.00085981,1.151327,0.910051,3.017451,0.439931,val
34,0.00084748,1.128644,0.917209,2.991927,0.444444,val
35,0.00083473,1.108809,0.923775,2.999039,0.440191,val
36,0.00082157,1.087989,0.929778,3.088632,0.432943,val
37,0.00080802,1.072047,0.932563,3.040580,0.437066,val
38,0.00079410,1.045534,0.941003,3.011271,0.446050,val
39,0.00077982,1.036193,0.941963,3.045320,0.432639,val
40,0.00076519,1.024767,0.943985,3.077510,0.435807,val
41,0.00075025,1.016076,0.943828,3.122589,0.428168,val
42,0.00073500,1.010567,0.943591,3.089946,0.432682,val
43,0.00071947,1.011280,0.940446,3.110359,0.435460,val
44,0.00070366,0.973937,0.954274,3.119737,0.438802,val
45,0.00068762,0.969576,0.954223,3.118529,0.444575,val
46,0.00067134,0.958194,0.956774,3.167725,0.426823,val
47,0.00065485,0.958826,0.955224,3.120121,0.443273,val
48,0.00063818,0.942214,0.959080,3.168529,0.437717,val
49,0.00062134,0.930933,0.961925,3.210025,0.431380,val
50,0.00060435,0.933125,0.960458,3.201128,0.430469,val
51,0.00058724,0.922366,0.963933,3.189002,0.437370,val
52,0.00057002,0.903378,0.969886,3.234687,0.424523,val
53,0.00055271,0.901246,0.970378,3.242831,0.433724,val
54,0.00053534,0.902367,0.969097,3.191200,0.441536,val
55,0.00051793,0.898567,0.969800,3.251851,0.430686,val
56,0.00050050,0.887055,0.973607,3.247691,0.437543,val
57,0.00048307,0.876760,0.976834,3.289473,0.430165,val
58,0.00046566,0.869890,0.979694,3.220841,0.437977,val
59,0.00044829,0.864974,0.980790,3.221140,0.446615,val
60,0.00043098,0.863511,0.980089,3.248737,0.438325,val
61,0.00041376,0.865856,0.979448,3.249839,0.437760,val
62,0.00039665,0.863227,0.979903,3.262292,0.439931,val
63,0.00037966,0.849924,0.984462,3.225511,0.443707,val
64,0.00036282,0.844854,0.986273,3.248824,0.441970,val
65,0.00034615,0.842270,0.986053,3.243665,0.436892,val
66,0.00032966,0.839323,0.987001,3.260440,0.439714,val
67,0.00031338,0.832693,0.989132,3.235915,0.448481,val
68,0.00029734,0.829351,0.989971,3.284008,0.437587,val
69,0.00028153,0.830919,0.989748,3.276195,0.441189,val
70,0.00026600,0.823520,0.991374,3.276431,0.442405,val
71,0.00025075,0.820875,0.991683,3.287286,0.439887,val
72,0.00023581,0.817451,0.993075,3.240949,0.444141,val
73,0.00022118,0.815554,0.993803,3.274134,0.446745,val
74,0.00020690,0.813701,0.994332,3.259520,0.448351,val
75,0.00019298,0.811878,0.994184,3.245800,0.448481,val
76,0.00017943,0.810536,0.994430,3.241093,0.446354,val
77,0.00016627,0.806571,0.995848,3.262833,0.448394,val
78,0.00015352,0.805043,0.996155,3.237623,0.455078,val
79,0.00014119,0.802004,0.996993,3.250410,0.460373,val
80,0.00012930,0.802540,0.996796,3.277748,0.448872,val
81,0.00011786,0.801306,0.996845,3.285164,0.450260,val
82,0.00010689,0.799554,0.997141,3.273222,0.451345,val
83,0.00009640,0.798162,0.997930,3.265953,0.453212,val
84,0.00008640,0.797885,0.997486,3.266129,0.452127,val
85,0.00007690,0.796461,0.997954,3.254523,0.458941,val
86,0.00006792,0.795769,0.998042,3.240765,0.460590,val
87,0.00005947,0.794618,0.998250,3.243159,0.458637,val
88,0.00005155,0.794272,0.998447,3.233097,0.465755,val
89,0.00004418,0.793454,0.998472,3.248433,0.461762,val
90,0.00003737,0.793242,0.998718,3.242856,0.463498,val
91,0.00003112,0.791994,0.998940,3.241651,0.464583,val
92,0.00002545,0.791571,0.998817,3.244655,0.461458,val
93,0.00002035,0.792366,0.999113,3.244247,0.464714,val
94,0.00001584,0.791525,0.998965,3.244273,0.461979,val
95,0.00001192,0.791271,0.998990,3.244101,0.463498,val
96,0.00000859,0.791353,0.998916,3.244505,0.462760,val
97,0.00000586,0.790150,0.999359,3.241142,0.463411,val
98,0.00000374,0.790671,0.999187,3.241263,0.465451,val
99,0.00000222,0.790815,0.999162,3.240537,0.466102,val
100,0.00000130,0.791047,0.999088,3.240166,0.466319,val
