epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,4.711513,0.012457,4.639562,0.019965,val
2,0.00010090,4.148833,0.094605,3.925471,0.136024,val
3,0.00020080,3.914675,0.130674,3.703413,0.169965,val
4,0.00030070,3.720242,0.167187,3.591975,0.194488,val
5,0.00040060,3.584209,0.195786,3.498407,0.226432,val
6,0.00050050,3.480685,0.219455,3.354456,0.240278,val
7,0.00060040,3.382285,0.241558,3.292262,0.265842,val
8,0.00070030,3.303637,0.259147,3.247971,0.278950,val
9,0.00080020,3.214702,0.281470,3.171649,0.291450,val
10,0.00090010,3.150811,0.295916,3.117704,0.300434,val
11,0.00100000,3.078908,0.310439,3.090798,0.312457,val
12,0.00099970,2.974404,0.336984,3.052633,0.321267,val
13,0.00099878,2.875104,0.362276,3.019116,0.336936,val
14,0.00099726,2.777706,0.387080,2.938019,0.354384,val
15,0.00099514,2.684149,0.413190,2.889235,0.372960,val
16,0.00099241,2.584926,0.439341,2.830587,0.383203,val
17,0.00098908,2.479565,0.467789,2.857123,0.373524,val
18,0.00098516,2.390643,0.491613,2.829079,0.390061,val
19,0.00098065,2.264415,0.530459,2.868546,0.395833,val
20,0.00097555,2.145868,0.566178,2.838374,0.407075,val
21,0.00096988,2.008316,0.605472,2.927857,0.395920,val
22,0.00096363,1.887892,0.646310,2.949764,0.403342,val
23,0.00095682,1.749421,0.691523,3.006096,0.414019,val
24,0.00094945,1.630843,0.731509,3.018794,0.411285,val
25,0.00094153,1.522421,0.769449,3.028942,0.416146,val
26,0.00093308,1.423888,0.805808,3.087309,0.411068,val
27,0.00092410,1.330914,0.842958,3.119134,0.413585,val
28,0.00091460,1.261913,0.866224,3.088257,0.416059,val
29,0.00090460,1.219048,0.879554,3.119221,0.416927,val
30,0.00089411,1.167827,0.899194,3.098950,0.419444,val
31,0.00088314,1.135526,0.908523,3.165780,0.409635,val
32,0.00087170,1.110212,0.916100,3.123714,0.421571,val
33,0.00085981,1.090594,0.921771,3.128164,0.414193,val
34,0.00084748,1.085430,0.920940,3.117141,0.413498,val
35,0.00083473,1.057161,0.929913,3.190997,0.407726,val
36,0.00082157,1.055706,0.926264,3.179230,0.426823,val
37,0.00080802,1.031634,0.933834,3.188668,0.415755,val
38,0.00079410,1.024371,0.932713,3.232845,0.422786,val
39,0.00077982,1.019783,0.932634,3.322106,0.400998,val
40,0.00076519,1.008361,0.934501,3.265161,0.419358,val
41,0.00075025,0.982732,0.942890,3.346619,0.409332,val
42,0.00073500,0.981487,0.942740,3.308897,0.408247,val
43,0.00071947,0.967321,0.945821,3.339424,0.418880,val
44,0.00070366,0.954659,0.949531,3.323479,0.412717,val
45,0.00068762,0.956150,0.948520,3.317982,0.414800,val
46,0.00067134,0.940162,0.952389,3.350305,0.410807,val
47,0.00065485,0.935628,0.955125,3.328485,0.417405,val
48,0.00063818,0.927629,0.957072,3.347300,0.417535,val
49,0.00062134,0.917281,0.959834,3.390628,0.412283,val
50,0.00060435,0.910863,0.961961,3.413655,0.405252,val
51,0.00058724,0.898032,0.966780,3.387756,0.418142,val
52,0.00057002,0.894186,0.967594,3.364510,0.418576,val
53,0.00055271,0.896316,0.965633,3.401953,0.415755,val
54,0.00053534,0.887678,0.968407,3.377800,0.416623,val
55,0.00051793,0.876541,0.973040,3.390452,0.420833,val
56,0.00050050,0.871229,0.974382,3.357777,0.426910,val
57,0.00048307,0.865573,0.976034,3.376224,0.425694,val
58,0.00046566,0.868639,0.975294,3.398201,0.425825,val
59,0.00044829,0.860152,0.977624,3.435146,0.416710,val
60,0.00043098,0.854548,0.979842,3.395909,0.426042,val
61,0.00041376,0.851585,0.980100,3.455885,0.415321,val
62,0.00039665,0.843529,0.983315,3.415258,0.419227,val
63,0.00037966,0.838646,0.984807,3.452557,0.411545,val
64,0.00036282,0.839190,0.983907,3.436899,0.418924,val
65,0.00034615,0.840777,0.983698,3.430414,0.419661,val
66,0.00032966,0.829670,0.987628,3.437373,0.416016,val
67,0.00031338,0.828791,0.987076,3.437500,0.421745,val
68,0.00029734,0.829830,0.987456,3.461061,0.415234,val
69,0.00028153,0.821224,0.989514,3.450808,0.422613,val
70,0.00026600,0.820535,0.989539,3.458551,0.422266,val
71,0.00025075,0.817216,0.990957,3.485120,0.421137,val
72,0.00023581,0.816891,0.990845,3.436915,0.427127,val
73,0.00022118,0.810540,0.992286,3.427954,0.429514,val
74,0.00020690,0.807902,0.993606,3.459083,0.423568,val
75,0.00019298,0.807178,0.993630,3.492050,0.415842,val
76,0.00017943,0.805259,0.994184,3.460361,0.428646,val
77,0.00016627,0.804016,0.994479,3.476593,0.423438,val
78,0.00015352,0.802028,0.994553,3.458328,0.426953,val
79,0.00014119,0.799424,0.995479,3.487504,0.422700,val
80,0.00012930,0.799359,0.995860,3.444372,0.429731,val
81,0.00011786,0.797133,0.996070,3.458970,0.435894,val
82,0.00010689,0.796760,0.996106,3.448564,0.432552,val
83,0.00009640,0.793949,0.997289,3.463588,0.430946,val
84,0.00008640,0.794907,0.996773,3.481359,0.431163,val
85,0.00007690,0.793756,0.997215,3.453254,0.434852,val
86,0.00006792,0.792068,0.997634,3.466084,0.429948,val
87,0.00005947,0.790583,0.998078,3.464264,0.432335,val
88,0.00005155,0.790676,0.998078,3.474257,0.434201,val
89,0.00004418,0.790395,0.998127,3.480551,0.433984,val
90,0.00003737,0.790108,0.997757,3.476539,0.434505,val
91,0.00003112,0.789606,0.998176,3.480705,0.430208,val
92,0.00002545,0.788244,0.998398,3.477010,0.432378,val
93,0.00002035,0.789350,0.998250,3.467812,0.434115,val
94,0.00001584,0.789143,0.998127,3.464898,0.436806,val
95,0.00001192,0.788632,0.998349,3.460796,0.437023,val
96,0.00000859,0.787531,0.998497,3.458046,0.438759,val
97,0.00000586,0.786894,0.998756,3.461840,0.436372,val
98,0.00000374,0.787375,0.998669,3.462484,0.437891,val
99,0.00000222,0.787222,0.998768,3.461604,0.438759,val
100,0.00000130,0.787837,0.998546,3.462105,0.438325,val
