epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.608360,0.009957,4.605505,0.010634,val
2,0.00200800,4.546747,0.018791,4.595599,0.013021,val
3,0.00400600,4.421070,0.026035,4.422803,0.024826,val
4,0.00600400,4.190034,0.049607,4.256953,0.056814,val
5,0.00800200,3.953204,0.078789,4.269235,0.076823,val
6,0.01000000,3.778854,0.105485,3.919335,0.097266,val
7,0.00999727,3.636411,0.128208,3.692663,0.125825,val
8,0.00998908,3.524910,0.147609,3.532206,0.150260,val
9,0.00997544,3.420893,0.167225,3.478517,0.159462,val
10,0.00995636,3.333609,0.183587,3.320742,0.201042,val
11,0.00993187,3.258384,0.194512,3.218077,0.201563,val
12,0.00990200,3.189660,0.211025,3.189481,0.216189,val
13,0.00986677,3.132723,0.220540,3.095398,0.221528,val
14,0.00982622,3.082505,0.229899,3.073322,0.248481,val
15,0.00978040,3.034878,0.237012,3.040380,0.249870,val
16,0.00972936,2.979823,0.251420,3.011323,0.251953,val
17,0.00967315,2.941456,0.258504,2.951591,0.264800,val
18,0.00961184,2.899865,0.266427,2.922900,0.266927,val
19,0.00954549,2.865087,0.276004,2.882838,0.279601,val
20,0.00947417,2.829141,0.279809,2.866937,0.279080,val
21,0.00939797,2.789449,0.288179,2.808257,0.301302,val
22,0.00931697,2.756076,0.294757,2.808598,0.286892,val
23,0.00923125,2.720028,0.305560,2.850968,0.287109,val
24,0.00914090,2.686462,0.309436,2.771231,0.300825,val
25,0.00904604,2.660450,0.314682,2.761392,0.305469,val
26,0.00894676,2.630871,0.321162,2.771371,0.306901,val
27,0.00884316,2.597334,0.327803,2.728833,0.312153,val
28,0.00873537,2.573602,0.333617,2.736338,0.310547,val
29,0.00862350,2.537699,0.340116,2.736337,0.310200,val
30,0.00850768,2.521730,0.343957,2.726849,0.320964,val
31,0.00838802,2.477246,0.352558,2.668583,0.328516,val
32,0.00826467,2.460009,0.353072,2.652608,0.330946,val
33,0.00813775,2.425980,0.365864,2.619199,0.338628,val
34,0.00800740,2.404411,0.366149,2.600232,0.341189,val
35,0.00787377,2.385065,0.371802,2.616229,0.344184,val
36,0.00773701,2.361499,0.378458,2.628380,0.345139,val
37,0.00759725,2.327643,0.384890,2.661164,0.333464,val
38,0.00745467,2.308499,0.387489,2.553835,0.358160,val
39,0.00730940,2.283539,0.395256,2.562021,0.345660,val
40,0.00716161,2.251226,0.401522,2.570729,0.353125,val
41,0.00701147,2.220390,0.404739,2.649288,0.340885,val
42,0.00685913,2.207311,0.405774,2.573588,0.353733,val
43,0.00670476,2.173966,0.417410,2.544867,0.366623,val
44,0.00654854,2.152267,0.420631,2.535979,0.365842,val
45,0.00639063,2.126101,0.427109,2.569037,0.356858,val
46,0.00623120,2.101203,0.432982,2.588098,0.353602,val
47,0.00607043,2.074510,0.436554,2.558233,0.365582,val
48,0.00590850,2.055244,0.439724,2.497991,0.374219,val
49,0.00574558,2.018975,0.448613,2.513191,0.373741,val
50,0.00558185,2.004719,0.452099,2.598056,0.357509,val
51,0.00541748,1.990378,0.454698,2.490475,0.374002,val
52,0.00525267,1.962109,0.459935,2.532130,0.363976,val
53,0.00508759,1.937863,0.466511,2.478298,0.389106,val
54,0.00492241,1.916440,0.470720,2.529787,0.374783,val
55,0.00475733,1.888174,0.479785,2.490032,0.382509,val
56,0.00459252,1.874328,0.479818,2.514114,0.378733,val
57,0.00442815,1.848517,0.486813,2.498123,0.378125,val
58,0.00426442,1.822608,0.495515,2.538533,0.376389,val
59,0.00410150,1.806141,0.496023,2.581035,0.383203,val
60,0.00393957,1.774382,0.504129,2.581960,0.380035,val
61,0.00377880,1.765348,0.506599,2.559741,0.383073,val
62,0.00361937,1.740101,0.511128,2.583545,0.376693,val
63,0.00346146,1.722066,0.517760,2.540667,0.381120,val
64,0.00330524,1.701200,0.521932,2.538473,0.391189,val
65,0.00315087,1.677011,0.526948,2.531921,0.396832,val
66,0.00299853,1.661456,0.530033,2.546552,0.390365,val
67,0.00284839,1.640895,0.536477,2.561894,0.388238,val
68,0.00270060,1.629258,0.539929,2.546652,0.395660,val
69,0.00255533,1.605558,0.547021,2.581734,0.383550,val
70,0.00241275,1.585705,0.547903,2.600036,0.388715,val
71,0.00227299,1.563674,0.555370,2.569540,0.389497,val
72,0.00213623,1.553498,0.555833,2.594287,0.393229,val
73,0.00200260,1.526209,0.564312,2.578869,0.391102,val
74,0.00187225,1.517149,0.569363,2.601087,0.391102,val
75,0.00174533,1.493289,0.571988,2.576075,0.395009,val
76,0.00162198,1.475101,0.577479,2.617609,0.387326,val
