epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.634447,0.016315,4.533784,0.023524,val
2,0.02008000,3.874371,0.105828,3.443912,0.165972,val
3,0.04006000,3.291971,0.198147,3.169196,0.222005,val
4,0.06004000,2.813465,0.280746,2.897901,0.283377,val
5,0.08002000,2.440984,0.357714,2.698447,0.333377,val
6,0.10000000,2.165122,0.416938,2.223766,0.406554,val
7,0.09997267,1.914647,0.469724,2.203836,0.410720,val
8,0.09989069,1.749782,0.507371,2.146142,0.432075,val
9,0.09975417,1.623623,0.539859,2.017080,0.465582,val
10,0.09956325,1.530326,0.562091,2.047740,0.461198,val
11,0.09931813,1.461479,0.579145,2.119336,0.461111,val
12,0.09901910,1.394098,0.601999,1.847250,0.511285,val
13,0.09866646,1.353807,0.608812,2.178012,0.461415,val
14,0.09826062,1.308390,0.622725,1.959364,0.489931,val
15,0.09780201,1.274882,0.627756,1.904743,0.511285,val
16,0.09729113,1.230680,0.639992,1.716534,0.540625,val
17,0.09672855,1.199070,0.649799,1.695354,0.553385,val
18,0.09611488,1.175468,0.655418,1.859054,0.528082,val
19,0.09545078,1.147537,0.663281,1.722955,0.546875,val
20,0.09473699,1.112301,0.672641,1.775161,0.545269,val
21,0.09397429,1.098290,0.678740,1.665217,0.564627,val
22,0.09316351,1.059105,0.687623,1.679742,0.566016,val
23,0.09230553,1.055927,0.686488,1.739288,0.545920,val
24,0.09140130,1.033107,0.691970,1.641045,0.576128,val
25,0.09045180,1.007750,0.701337,1.653365,0.570790,val
26,0.08945808,0.986162,0.706111,1.725354,0.555686,val
27,0.08842121,0.971583,0.711961,1.615152,0.581641,val
28,0.08734234,0.948403,0.717247,1.676871,0.570399,val
29,0.08622264,0.923053,0.723461,1.610719,0.581467,val
30,0.08506333,0.917904,0.726009,1.841084,0.526302,val
31,0.08386569,0.897964,0.733156,1.939272,0.518533,val
32,0.08263103,0.883495,0.735658,1.716143,0.561285,val
33,0.08136068,0.866374,0.740986,1.679880,0.567622,val
34,0.08005605,0.838956,0.746370,1.721094,0.553168,val
35,0.07871856,0.819004,0.753665,1.510681,0.623134,val
36,0.07734967,0.811480,0.753293,1.546386,0.608724,val
37,0.07595088,0.787471,0.758605,1.601466,0.595616,val
38,0.07452372,0.776659,0.764715,1.562037,0.614410,val
