epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.642087,0.014106,4.578517,0.020634,val
2,0.02008000,3.711079,0.132176,3.340425,0.201505,val
3,0.04006000,3.040666,0.241606,2.765560,0.308008,val
4,0.06004000,2.515280,0.341720,2.452220,0.358134,val
5,0.08002000,2.168915,0.416450,2.662354,0.340682,val
6,0.10000000,1.950402,0.464977,2.289728,0.409616,val
7,0.09997267,1.737959,0.513223,2.291214,0.422369,val
8,0.09989069,1.598747,0.549233,1.985371,0.477413,val
9,0.09975417,1.503603,0.572497,1.997498,0.478458,val
10,0.09956325,1.440997,0.590344,1.797175,0.516429,val
11,0.09931813,1.377995,0.605775,1.935782,0.506985,val
12,0.09901910,1.334789,0.615365,1.809661,0.517532,val
13,0.09866646,1.293212,0.626312,1.775145,0.523805,val
14,0.09826062,1.261664,0.634314,1.867165,0.494910,val
15,0.09780201,1.228639,0.644327,1.664578,0.552229,val
16,0.09729113,1.207614,0.650467,1.846173,0.519072,val
17,0.09672855,1.175275,0.658003,1.915066,0.523610,val
18,0.09611488,1.147706,0.664718,1.653003,0.560214,val
19,0.09545078,1.126788,0.672713,1.542209,0.585306,val
20,0.09473699,1.102507,0.676795,1.630688,0.568830,val
21,0.09397429,1.081034,0.683320,1.681881,0.559352,val
22,0.09316351,1.065227,0.686173,1.633763,0.558950,val
23,0.09230553,1.049296,0.691421,1.613789,0.563178,val
24,0.09140130,1.026045,0.697566,1.661719,0.567636,val
25,0.09045180,1.017311,0.698728,1.567528,0.580859,val
26,0.08945808,0.994505,0.704807,1.621443,0.575908,val
27,0.08842121,0.986029,0.705401,1.840796,0.542119,val
28,0.08734234,0.968432,0.713352,1.575399,0.581457,val
29,0.08622264,0.949064,0.718989,1.669854,0.562534,val
30,0.08506333,0.937142,0.721135,1.519666,0.591062,val
31,0.08386569,0.906863,0.727115,1.537141,0.592624,val
32,0.08263103,0.908247,0.728900,1.561745,0.602367,val
33,0.08136068,0.899372,0.733948,1.492153,0.609295,val
34,0.08005605,0.862873,0.741462,1.491309,0.606813,val
35,0.07871856,0.854391,0.744461,1.622675,0.578941,val
36,0.07734967,0.845276,0.744530,1.504258,0.597036,val
37,0.07595088,0.816111,0.755374,1.564988,0.600563,val
38,0.07452372,0.807363,0.757435,1.503964,0.601172,val
39,0.07306975,0.787654,0.764172,1.448923,0.620462,val
40,0.07159056,0.779296,0.763830,1.651975,0.594083,val
41,0.07008776,0.753339,0.768846,1.629542,0.590866,val
42,0.06856301,0.732707,0.778089,1.500607,0.613454,val
43,0.06701796,0.722736,0.781716,1.487535,0.613936,val
44,0.06545430,0.694515,0.788897,1.438370,0.623415,val
45,0.06387376,0.690298,0.791341,1.383753,0.636845,val
46,0.06227805,0.664973,0.797637,1.566383,0.614407,val
47,0.06066892,0.640772,0.803183,1.548087,0.613201,val
48,0.05904812,0.627711,0.808374,1.486979,0.622518,val
49,0.05741744,0.613193,0.811141,1.520235,0.622047,val
50,0.05577865,0.583636,0.820924,1.531706,0.610329,val
51,0.05413355,0.574706,0.823324,1.676589,0.597783,val
52,0.05248394,0.545009,0.832455,1.631433,0.604205,val
53,0.05083161,0.529319,0.835395,1.454384,0.646128,val
54,0.04917839,0.509630,0.843281,1.475099,0.641716,val
55,0.04752606,0.474338,0.852310,1.349737,0.658502,val
56,0.04587645,0.456891,0.857619,1.450314,0.640223,val
