epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,4.606712,0.010055,4.605356,0.011660,val
2,0.00200800,4.579709,0.016461,4.586123,0.019789,val
3,0.00400600,4.438332,0.028156,4.487744,0.032910,val
4,0.00600400,4.210404,0.048030,4.197488,0.052975,val
5,0.00800200,3.973395,0.079414,4.061141,0.085234,val
6,0.01000000,3.764892,0.109860,3.909473,0.100049,val
7,0.00999727,3.625624,0.130951,3.683306,0.133135,val
8,0.00998908,3.531169,0.146508,3.580927,0.156379,val
9,0.00997544,3.440749,0.166730,3.472159,0.168115,val
10,0.00995636,3.344879,0.184326,3.346474,0.201148,val
11,0.00993187,3.266917,0.197754,3.316012,0.207618,val
12,0.00990200,3.189086,0.214230,3.288741,0.215272,val
13,0.00986677,3.116760,0.225133,3.198879,0.223026,val
14,0.00982622,3.056448,0.239943,3.101734,0.235278,val
15,0.00978040,2.994254,0.250849,3.041319,0.244451,val
16,0.00972936,2.938701,0.259530,2.968273,0.269080,val
17,0.00967315,2.883645,0.271703,2.975669,0.270616,val
18,0.00961184,2.841036,0.281980,2.921669,0.270182,val
19,0.00954549,2.792808,0.290031,2.881031,0.281391,val
20,0.00947417,2.751539,0.296357,2.829200,0.291690,val
21,0.00939797,2.706623,0.308506,2.825186,0.296664,val
22,0.00931697,2.672619,0.314989,2.788047,0.299127,val
23,0.00923125,2.629971,0.324316,2.765225,0.311462,val
24,0.00914090,2.596813,0.327268,2.737026,0.317597,val
25,0.00904604,2.558457,0.338567,2.741794,0.311421,val
26,0.00894676,2.528526,0.343058,2.699410,0.319257,val
27,0.00884316,2.503604,0.349242,2.743806,0.314717,val
28,0.00873537,2.475712,0.355648,2.723984,0.326711,val
29,0.00862350,2.448648,0.359739,2.647348,0.329374,val
30,0.00850768,2.414913,0.367070,2.649179,0.330635,val
31,0.00838802,2.387876,0.369561,2.633830,0.340008,val
32,0.00826467,2.358920,0.380708,2.627295,0.337762,val
33,0.00813775,2.336238,0.386377,2.631623,0.337069,val
34,0.00800740,2.301424,0.390682,2.617686,0.345181,val
35,0.00787377,2.291066,0.395486,2.573167,0.354612,val
36,0.00773701,2.256973,0.403458,2.578499,0.352994,val
37,0.00759725,2.239200,0.404726,2.598233,0.355205,val
38,0.00745467,2.206696,0.411344,2.601181,0.345298,val
39,0.00730940,2.187745,0.414144,2.557383,0.362976,val
40,0.00716161,2.158614,0.424336,2.499781,0.366014,val
