epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.642814,0.013788,4.589214,0.013989,val
2,0.02008000,3.900920,0.107955,3.826550,0.136173,val
3,0.04006000,3.308427,0.198044,3.480290,0.187001,val
4,0.06004000,2.790419,0.289197,2.669477,0.313767,val
5,0.08002000,2.378888,0.371826,2.457654,0.360331,val
6,0.10000000,2.096974,0.431466,2.302775,0.401980,val
7,0.09997267,1.830220,0.491854,2.201047,0.419283,val
8,0.09989069,1.653136,0.537523,1.838283,0.490410,val
9,0.09975417,1.525929,0.564830,1.739553,0.521701,val
10,0.09956325,1.429549,0.591191,2.002070,0.463636,val
11,0.09931813,1.359387,0.609386,1.585835,0.566805,val
12,0.09901910,1.305874,0.623474,1.864371,0.512687,val
13,0.09866646,1.257135,0.635110,1.677961,0.549638,val
14,0.09826062,1.217484,0.644379,1.626934,0.564611,val
15,0.09780201,1.184816,0.655022,1.861342,0.520006,val
16,0.09729113,1.141378,0.664768,1.659565,0.557350,val
17,0.09672855,1.120101,0.670622,1.655683,0.559878,val
18,0.09611488,1.084923,0.682965,1.525081,0.577456,val
19,0.09545078,1.064930,0.684865,1.571889,0.574401,val
20,0.09473699,1.030895,0.695970,1.665611,0.569351,val
21,0.09397429,1.014624,0.704376,1.694304,0.559127,val
22,0.09316351,0.995073,0.705066,1.444910,0.603703,val
23,0.09230553,0.973539,0.710361,1.669085,0.562957,val
24,0.09140130,0.953265,0.715559,1.560389,0.591369,val
25,0.09045180,0.936622,0.718718,1.539814,0.582923,val
26,0.08945808,0.913371,0.727567,1.537060,0.597187,val
27,0.08842121,0.889617,0.736786,1.531291,0.582788,val
28,0.08734234,0.879063,0.738271,1.817391,0.551321,val
29,0.08622264,0.874228,0.738294,1.997067,0.526458,val
30,0.08506333,0.847289,0.745998,1.557384,0.587855,val
31,0.08386569,0.837770,0.745947,1.441943,0.623000,val
32,0.08263103,0.822720,0.750665,1.627022,0.587662,val
33,0.08136068,0.796839,0.758958,1.507737,0.618812,val
34,0.08005605,0.792040,0.759488,1.578231,0.594131,val
35,0.07871856,0.764787,0.766243,2.046961,0.495384,val
36,0.07734967,0.750365,0.771295,1.532781,0.607809,val
