epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.663597,0.010844,4.632652,0.008839,val
2,0.01004000,4.499952,0.026774,4.188973,0.057966,val
3,0.02003000,3.983780,0.076675,3.791977,0.112008,val
4,0.03002000,3.717292,0.115603,3.583692,0.150502,val
5,0.04001000,3.534262,0.142822,3.438881,0.164667,val
6,0.05000000,3.371022,0.170908,3.328345,0.198503,val
7,0.04998633,3.187407,0.205411,3.177002,0.217958,val
8,0.04994535,3.031216,0.236252,3.124459,0.244733,val
9,0.04987710,2.900222,0.263382,3.095123,0.241478,val
10,0.04978165,2.763618,0.289307,2.808913,0.296089,val
11,0.04965910,2.704421,0.301704,2.863885,0.274089,val
12,0.04950960,2.723396,0.301383,2.634003,0.323832,val
13,0.04933330,2.640683,0.320390,2.702483,0.317673,val
14,0.04913040,2.548474,0.336142,2.578871,0.331363,val
15,0.04890111,2.540297,0.337236,2.603084,0.328231,val
16,0.04864570,2.452094,0.357805,2.424881,0.366190,val
17,0.04836444,2.373431,0.371823,2.381152,0.375921,val
18,0.04805763,2.323425,0.384278,2.424825,0.365463,val
19,0.04772562,2.427868,0.360431,2.389744,0.374613,val
20,0.04736876,2.215226,0.400616,2.287913,0.398766,val
21,0.04698745,2.175255,0.413458,2.299322,0.393927,val
22,0.04658210,2.138062,0.420791,2.314696,0.392989,val
23,0.04615315,2.431198,0.363568,2.525886,0.354155,val
24,0.04570108,2.236126,0.399911,2.323165,0.398033,val
25,0.04522638,2.114636,0.423943,2.624580,0.350266,val
26,0.04472957,2.102955,0.428831,2.323211,0.393476,val
27,0.04421119,2.069222,0.439510,2.235662,0.417963,val
28,0.04367180,2.053804,0.440137,2.226714,0.421200,val
29,0.04311201,2.144248,0.420626,2.535409,0.349680,val
30,0.04253241,2.304010,0.391554,2.710314,0.317732,val
31,0.04193365,2.128667,0.426666,2.182392,0.431283,val
32,0.04131638,2.082544,0.437483,2.235604,0.428462,val
33,0.04068127,1.949053,0.462373,2.228411,0.424039,val
34,0.04002902,1.894487,0.477279,2.205258,0.432268,val
35,0.03936034,1.863698,0.485880,2.214545,0.430732,val
36,0.03867597,1.789714,0.498279,2.258781,0.415476,val
37,0.03797664,1.715849,0.517227,2.175434,0.438345,val
38,0.03726314,1.690685,0.521345,2.162935,0.446016,val
39,0.03653622,1.702209,0.519978,2.217496,0.432227,val
40,0.03579670,1.583901,0.546729,2.107897,0.460896,val
41,0.03504538,1.493277,0.567615,2.078927,0.468117,val
42,0.03428308,1.444961,0.583858,2.109508,0.462591,val
43,0.03351063,1.402631,0.590950,2.124832,0.470029,val
44,0.03272888,1.357464,0.601390,2.105408,0.473342,val
45,0.03193869,1.316204,0.612351,2.070196,0.472732,val
46,0.03114091,1.287282,0.620479,2.174595,0.455236,val
47,0.03033642,1.230140,0.633698,2.226456,0.462615,val
48,0.02952611,1.186871,0.643469,2.161877,0.476498,val
49,0.02871085,1.148978,0.654857,2.193047,0.468685,val
50,0.02789154,1.103016,0.665139,2.206882,0.477014,val
51,0.02706907,1.064282,0.679153,2.170127,0.481038,val
52,0.02624435,1.028521,0.685650,2.273868,0.467976,val
53,0.02541827,0.973280,0.701392,2.214753,0.486269,val
54,0.02459173,0.944302,0.710663,2.227982,0.486938,val
55,0.02376565,0.909458,0.716304,2.261553,0.477565,val
56,0.02294093,0.859765,0.732654,2.287567,0.489900,val
57,0.02211846,0.830959,0.740066,2.392561,0.482305,val
58,0.02129915,0.782901,0.754959,2.370849,0.485143,val
59,0.02048389,0.743014,0.765714,2.411087,0.482439,val
60,0.01967358,0.714769,0.773020,2.374603,0.481354,val
61,0.01886909,0.661271,0.790968,2.452567,0.485695,val
62,0.01807131,0.616582,0.805899,2.441345,0.494498,val
63,0.01728112,0.587439,0.810362,2.510607,0.486287,val
64,0.01649937,0.555099,0.821374,2.524355,0.484768,val
65,0.01572692,0.518427,0.834210,2.569658,0.483859,val
66,0.01496462,0.483562,0.845771,2.606020,0.488123,val
