epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.642040,0.014097,4.584950,0.016810,val
2,0.02008000,3.929924,0.099305,3.650658,0.145094,val
3,0.04006000,3.371324,0.184715,3.471367,0.173687,val
4,0.06004000,2.905539,0.266427,2.955099,0.251226,val
5,0.08002000,2.528256,0.335046,2.633088,0.333181,val
6,0.10000000,2.250791,0.396303,2.840190,0.310119,val
7,0.09997267,1.997843,0.453840,2.518054,0.366267,val
8,0.09989069,1.813841,0.493342,2.285283,0.406244,val
9,0.09975417,1.694480,0.523265,1.997864,0.453753,val
10,0.09956325,1.589861,0.551254,2.198681,0.429488,val
11,0.09931813,1.515096,0.568204,1.957720,0.484334,val
12,0.09901910,1.448083,0.589864,2.237301,0.433394,val
13,0.09866646,1.407390,0.593267,1.835316,0.498164,val
14,0.09826062,1.360080,0.610653,1.848686,0.501736,val
15,0.09780201,1.330353,0.614592,2.370412,0.443752,val
16,0.09729113,1.285288,0.626065,1.957807,0.500082,val
17,0.09672855,1.256435,0.634714,1.982134,0.496076,val
18,0.09611488,1.224654,0.644657,1.684621,0.538494,val
19,0.09545078,1.190096,0.650299,1.662402,0.559743,val
20,0.09473699,1.166343,0.660616,1.615335,0.567873,val
21,0.09397429,1.143889,0.664182,1.836703,0.529971,val
22,0.09316351,1.113986,0.672978,1.809786,0.522786,val
23,0.09230553,1.100876,0.674863,1.648213,0.560277,val
24,0.09140130,1.072840,0.684323,1.700310,0.552740,val
25,0.09045180,1.048289,0.690723,1.892675,0.509150,val
26,0.08945808,1.023527,0.696926,1.765168,0.541039,val
27,0.08842121,1.014695,0.697447,1.863749,0.531490,val
28,0.08734234,0.987098,0.707085,1.619524,0.571896,val
29,0.08622264,0.974883,0.708452,1.658291,0.568735,val
30,0.08506333,0.950925,0.715542,1.636571,0.572154,val
31,0.08386569,0.942781,0.719468,1.637429,0.573357,val
32,0.08263103,0.921919,0.724926,1.803239,0.556705,val
33,0.08136068,0.900806,0.729548,1.660570,0.569785,val
34,0.08005605,0.884598,0.733594,1.650926,0.573398,val
35,0.07871856,0.870670,0.738625,1.670622,0.575034,val
36,0.07734967,0.844786,0.745524,1.938016,0.530089,val
