epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.639179,0.012988,4.587257,0.015842,val
2,0.02008000,3.832363,0.113127,3.550454,0.169271,val
3,0.04006000,3.384241,0.188116,3.351709,0.209809,val
4,0.06004000,3.023629,0.252901,2.994925,0.265234,val
5,0.08002000,2.721276,0.308147,2.736867,0.310547,val
6,0.10000000,2.480702,0.352249,2.591117,0.342231,val
7,0.09997267,2.219460,0.407971,2.438706,0.380512,val
8,0.09989069,2.035327,0.449752,2.236220,0.409722,val
9,0.09975417,1.872462,0.485471,2.179727,0.433073,val
10,0.09956325,1.758282,0.511591,2.160324,0.439410,val
11,0.09931813,1.661494,0.533464,2.046674,0.467708,val
12,0.09901910,1.554196,0.558689,1.953903,0.486632,val
13,0.09866646,1.469660,0.582421,2.021419,0.480035,val
14,0.09826062,1.405177,0.595236,1.871130,0.519097,val
15,0.09780201,1.336131,0.612067,1.857262,0.516276,val
16,0.09729113,1.251163,0.632833,1.884892,0.512674,val
17,0.09672855,1.200155,0.646745,1.872890,0.519531,val
18,0.09611488,1.141491,0.662504,1.863272,0.525868,val
19,0.09545078,1.092733,0.674417,1.819904,0.539974,val
20,0.09473699,1.041047,0.688986,1.880117,0.528776,val
21,0.09397429,0.992442,0.699582,1.957569,0.511589,val
22,0.09316351,0.938908,0.714710,1.917459,0.531727,val
23,0.09230553,0.902484,0.724176,1.911196,0.528385,val
24,0.09140130,0.853370,0.736483,1.909332,0.532813,val
25,0.09045180,0.805110,0.751716,1.937604,0.538498,val
26,0.08945808,0.774120,0.757877,1.907702,0.548307,val
27,0.08842121,0.734025,0.772057,1.981102,0.538281,val
28,0.08734234,0.692408,0.781523,1.962960,0.534592,val
29,0.08622264,0.659502,0.792191,1.962271,0.551997,val
30,0.08506333,0.628282,0.801015,2.105513,0.531727,val
31,0.08386569,0.592045,0.812695,2.061649,0.543012,val
32,0.08263103,0.558811,0.820722,1.993671,0.559679,val
33,0.08136068,0.524924,0.832250,2.052007,0.550651,val
34,0.08005605,0.497053,0.840159,2.045343,0.555122,val
35,0.07871856,0.462005,0.851489,2.112434,0.547873,val
36,0.07734967,0.445254,0.858012,2.070986,0.551910,val
37,0.07595088,0.424983,0.863140,2.057136,0.556597,val
38,0.07452372,0.389916,0.873853,2.144190,0.558203,val
39,0.07306975,0.375289,0.879825,2.200427,0.552300,val
40,0.07159056,0.351791,0.885495,2.217252,0.546354,val
41,0.07008776,0.334396,0.891721,2.177233,0.558116,val
42,0.06856301,0.298315,0.905628,2.241302,0.551910,val
43,0.06701796,0.278589,0.910597,2.246416,0.551910,val
44,0.06545430,0.269639,0.912908,2.190439,0.562934,val
45,0.06387376,0.256282,0.918184,2.214366,0.564887,val
46,0.06227805,0.224620,0.929581,2.247730,0.567839,val
47,0.06066892,0.209868,0.933068,2.203690,0.573264,val
48,0.05904812,0.187619,0.941841,2.150220,0.583637,val
49,0.05741744,0.167837,0.947525,2.216007,0.579210,val
50,0.05577865,0.161832,0.951318,2.224064,0.578776,val
51,0.05413355,0.152979,0.951390,2.173259,0.588194,val
52,0.05248394,0.135215,0.958427,2.180287,0.574349,val
53,0.05083161,0.125610,0.961622,2.193085,0.577431,val
54,0.04917839,0.105877,0.968930,2.206700,0.579297,val
55,0.04752606,0.098151,0.971095,2.251818,0.574262,val
56,0.04587645,0.087464,0.974346,2.204692,0.585113,val
57,0.04423135,0.070723,0.980161,2.151904,0.590017,val
58,0.04259256,0.065226,0.982146,2.113222,0.593142,val
59,0.04096188,0.053237,0.986386,2.123067,0.596137,val
60,0.03934108,0.041939,0.990402,2.095409,0.598915,val
61,0.03773195,0.038854,0.990722,2.094910,0.602083,val
62,0.03613624,0.035175,0.991782,2.065767,0.604514,val
63,0.03455570,0.028712,0.994134,2.040979,0.600955,val
64,0.03299204,0.023039,0.995331,2.026990,0.610373,val
65,0.03144699,0.019894,0.996377,2.048654,0.607292,val
66,0.02992224,0.018192,0.997069,2.015149,0.610851,val
67,0.02841944,0.015092,0.997549,2.001282,0.611328,val
68,0.02694025,0.013790,0.997609,1.986018,0.616623,val
69,0.02548628,0.012292,0.998337,1.972659,0.615538,val
70,0.02405912,0.010543,0.998768,1.968618,0.618880,val
71,0.02266033,0.010464,0.998535,1.940864,0.619835,val
72,0.02129144,0.008989,0.999088,1.936642,0.618707,val
73,0.01995395,0.008897,0.998817,1.914889,0.627170,val
74,0.01864932,0.007825,0.999126,1.898134,0.622005,val
75,0.01737897,0.006732,0.999482,1.909792,0.621571,val
76,0.01614431,0.006364,0.999397,1.912878,0.620486,val
77,0.01494667,0.006126,0.999581,1.897374,0.622135,val
78,0.01378736,0.006051,0.999507,1.888002,0.623307,val
79,0.01266766,0.006275,0.999458,1.881131,0.623741,val
80,0.01158879,0.005573,0.999556,1.878414,0.626345,val
81,0.01055192,0.005833,0.999409,1.865459,0.623958,val
82,0.00955820,0.005257,0.999630,1.872205,0.622135,val
83,0.00860870,0.005180,0.999507,1.864161,0.628385,val
84,0.00770447,0.005230,0.999556,1.857916,0.625477,val
85,0.00684649,0.004998,0.999532,1.858522,0.622656,val
86,0.00603571,0.004755,0.999754,1.854744,0.627214,val
87,0.00527301,0.004927,0.999581,1.852951,0.625825,val
88,0.00455922,0.005098,0.999532,1.850914,0.624957,val
89,0.00389512,0.004837,0.999630,1.858501,0.624957,val
90,0.00328145,0.004930,0.999458,1.853441,0.628299,val
91,0.00271887,0.004346,0.999778,1.850261,0.625608,val
92,0.00220799,0.004520,0.999729,1.847942,0.628950,val
93,0.00174938,0.004845,0.999704,1.845981,0.627648,val
94,0.00134354,0.004409,0.999680,1.849028,0.626345,val
95,0.00099090,0.004561,0.999754,1.844589,0.628733,val
96,0.00069187,0.004527,0.999680,1.847745,0.627865,val
97,0.00044675,0.004429,0.999754,1.851608,0.625260,val
98,0.00025583,0.004648,0.999655,1.846624,0.626345,val
99,0.00011931,0.004643,0.999644,1.843925,0.627214,val
100,0.00003733,0.004625,0.999606,1.842878,0.628516,val
