epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.651622,0.011866,4.824610,0.012804,val
2,0.01004000,4.432365,0.033231,4.089116,0.071484,val
3,0.02003000,3.977162,0.075966,3.709625,0.116536,val
4,0.03002000,3.722651,0.115436,3.490794,0.165104,val
5,0.04001000,3.511418,0.152360,3.376655,0.180990,val
6,0.05000000,3.359276,0.179763,3.222510,0.206771,val
7,0.04998633,3.190925,0.208534,3.057178,0.234852,val
8,0.04994535,3.110095,0.228324,3.123705,0.224175,val
9,0.04987710,2.953433,0.258527,2.934088,0.266970,val
10,0.04978165,2.841485,0.275457,2.889127,0.266319,val
11,0.04965910,2.710587,0.303980,2.585848,0.334722,val
12,0.04950960,2.598302,0.326368,2.596124,0.330859,val
13,0.04933330,2.509198,0.344872,2.631465,0.332899,val
14,0.04913040,2.407951,0.364987,2.634198,0.322222,val
15,0.04890111,2.340125,0.379322,2.404322,0.377734,val
16,0.04864570,2.301424,0.386949,2.329831,0.390408,val
17,0.04836444,2.232885,0.404739,2.289492,0.397135,val
18,0.04805763,2.183960,0.412260,2.218947,0.421007,val
19,0.04772562,2.256638,0.400860,2.366317,0.393533,val
20,0.04736876,2.315283,0.386098,2.447085,0.369792,val
21,0.04698745,2.123040,0.430415,2.252008,0.423134,val
22,0.04658210,2.163462,0.419805,2.386853,0.380556,val
23,0.04615315,2.313692,0.386183,2.367719,0.394705,val
24,0.04570108,2.310278,0.389175,2.231566,0.415495,val
25,0.04522638,2.219304,0.410017,2.662103,0.335851,val
26,0.04472957,2.151456,0.421532,2.288401,0.400521,val
27,0.04421119,1.983581,0.458672,2.140700,0.437023,val
28,0.04367180,1.965858,0.463514,2.138517,0.437413,val
29,0.04311201,1.906722,0.474162,2.365458,0.393273,val
30,0.04253241,1.898447,0.476255,2.079794,0.454514,val
31,0.04193365,1.780748,0.502711,2.003649,0.466840,val
32,0.04131638,1.834965,0.494574,2.096982,0.445660,val
33,0.04068127,1.815110,0.494275,2.874109,0.312891,val
34,0.04002902,1.893660,0.477019,2.111801,0.445573,val
35,0.03936034,1.683014,0.529250,2.042813,0.478819,val
36,0.03867597,1.610215,0.543756,2.045750,0.475391,val
37,0.03797664,1.596107,0.544655,2.049731,0.477387,val
38,0.03726314,1.615066,0.538814,1.944442,0.489193,val
39,0.03653622,1.697221,0.521125,2.070789,0.452561,val
40,0.03579670,1.566296,0.550682,1.979943,0.477083,val
41,0.03504538,1.497873,0.567871,2.010656,0.484505,val
42,0.03428308,1.399254,0.592486,1.960740,0.496267,val
43,0.03351063,1.341756,0.605915,1.990476,0.503082,val
44,0.03272888,1.304483,0.615841,1.939847,0.504948,val
45,0.03193869,1.267431,0.628033,2.015878,0.489800,val
46,0.03114091,1.238062,0.631527,1.974572,0.504731,val
47,0.03033642,1.181699,0.648358,1.998207,0.497613,val
48,0.02952611,1.168681,0.651708,2.020298,0.500781,val
49,0.02871085,1.131526,0.660982,2.021171,0.489497,val
50,0.02789154,1.084209,0.674173,1.992232,0.514063,val
51,0.02706907,1.056621,0.680827,2.114701,0.512891,val
52,0.02624435,1.021591,0.687153,2.015013,0.516710,val
53,0.02541827,0.980121,0.699999,2.050077,0.519358,val
54,0.02459173,0.934926,0.714174,2.091392,0.515885,val
55,0.02376565,0.906237,0.719878,2.160499,0.512934,val
56,0.02294093,0.868884,0.730695,2.064435,0.514497,val
57,0.02211846,0.832556,0.742254,2.104917,0.514931,val
58,0.02129915,0.783567,0.757456,2.259604,0.483550,val
59,0.02048389,0.777569,0.757012,2.117744,0.523307,val
60,0.01967358,0.733807,0.770459,2.245582,0.499696,val
61,0.01886909,0.678574,0.786587,2.178666,0.511979,val
62,0.01807131,0.656552,0.791836,2.208752,0.525477,val
63,0.01728112,0.619519,0.804062,2.321980,0.515538,val
64,0.01649937,0.629811,0.801681,2.234884,0.527344,val
65,0.01572692,0.550679,0.824538,2.222871,0.529731,val
66,0.01496462,0.505400,0.837033,2.304931,0.524089,val
67,0.01421330,0.480359,0.846497,2.282111,0.526736,val
68,0.01347378,0.452671,0.854323,2.322088,0.516840,val
69,0.01274686,0.420089,0.865534,2.314784,0.529384,val
70,0.01203336,0.402901,0.869847,2.354092,0.524957,val
71,0.01133403,0.364449,0.882519,2.372383,0.519661,val
72,0.01064966,0.341422,0.891038,2.382809,0.527604,val
73,0.00998098,0.317871,0.899711,2.410960,0.525911,val
74,0.00932873,0.297663,0.906195,2.423077,0.526259,val
75,0.00869362,0.275282,0.913922,2.447492,0.529731,val
76,0.00807635,0.256368,0.921009,2.515465,0.526128,val
77,0.00747759,0.242604,0.924728,2.469185,0.529210,val
78,0.00689799,0.222518,0.932675,2.473774,0.532422,val
79,0.00633820,0.205745,0.937326,2.612747,0.525911,val
80,0.00579881,0.193783,0.942099,2.437622,0.534071,val
81,0.00528043,0.175766,0.947817,2.459614,0.530035,val
82,0.00478362,0.166554,0.951277,2.467202,0.539149,val
83,0.00430892,0.157438,0.954731,2.486340,0.536241,val
84,0.00385685,0.151175,0.957110,2.511373,0.532552,val
85,0.00342790,0.144497,0.958513,2.523170,0.531337,val
86,0.00302255,0.134836,0.961535,2.530544,0.533203,val
87,0.00264124,0.131298,0.962900,2.481557,0.534375,val
88,0.00228438,0.121328,0.966634,2.480955,0.535460,val
89,0.00195237,0.118868,0.967057,2.573140,0.532335,val
90,0.00164556,0.114705,0.969317,2.531089,0.533203,val
91,0.00136430,0.109376,0.970981,2.544472,0.532986,val
92,0.00110889,0.111315,0.969590,2.512091,0.534071,val
93,0.00087960,0.105278,0.972621,2.583668,0.534071,val
94,0.00067670,0.102803,0.973472,2.537679,0.536241,val
95,0.00050040,0.103198,0.972030,2.509543,0.538845,val
96,0.00035090,0.098225,0.974506,2.539955,0.535807,val
97,0.00022835,0.099007,0.973956,2.500163,0.540148,val
98,0.00013290,0.098611,0.975285,2.513561,0.537413,val
99,0.00006465,0.095200,0.976481,2.558078,0.538411,val
100,0.00002367,0.098897,0.974580,2.560235,0.537326,val
