epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.627297,0.014834,4.568840,0.022309,val
2,0.02008000,3.836567,0.113038,3.605390,0.154210,val
3,0.04006000,3.382177,0.184884,3.186602,0.230425,val
4,0.06004000,3.030186,0.247181,2.971183,0.265668,val
5,0.08002000,2.731723,0.303245,2.752019,0.312934,val
6,0.10000000,2.492502,0.349930,2.522703,0.358724,val
7,0.09997267,2.259481,0.396297,2.447007,0.373698,val
8,0.09989069,2.079704,0.435430,2.180241,0.421398,val
9,0.09975417,1.932534,0.473463,2.170920,0.430729,val
10,0.09956325,1.823093,0.495611,2.179600,0.433333,val
11,0.09931813,1.715112,0.519720,2.073468,0.461241,val
12,0.09901910,1.621627,0.545262,1.993720,0.477083,val
13,0.09866646,1.541369,0.562045,1.995545,0.479644,val
14,0.09826062,1.471577,0.577412,1.954938,0.487500,val
15,0.09780201,1.399932,0.594459,2.006076,0.486111,val
16,0.09729113,1.319760,0.612283,1.977454,0.497656,val
17,0.09672855,1.265688,0.626386,2.041841,0.489974,val
18,0.09611488,1.203803,0.643330,1.977430,0.505816,val
19,0.09545078,1.151152,0.656557,1.999739,0.502648,val
20,0.09473699,1.097967,0.669016,2.033117,0.503168,val
21,0.09397429,1.050124,0.682192,1.967362,0.517925,val
22,0.09316351,0.989808,0.700964,1.979717,0.515234,val
23,0.09230553,0.945002,0.711719,2.077958,0.506467,val
24,0.09140130,0.908107,0.718494,2.062143,0.511892,val
25,0.09045180,0.846404,0.737712,2.038264,0.520660,val
26,0.08945808,0.809287,0.748165,2.085533,0.514974,val
27,0.08842121,0.772580,0.757500,2.195261,0.501606,val
28,0.08734234,0.718498,0.771972,2.230820,0.513715,val
29,0.08622264,0.692438,0.781635,2.144206,0.515017,val
30,0.08506333,0.647278,0.794153,2.202431,0.519010,val
31,0.08386569,0.620462,0.801421,2.300894,0.515451,val
32,0.08263103,0.587572,0.812542,2.299160,0.516319,val
33,0.08136068,0.553202,0.820104,2.229074,0.520703,val
34,0.08005605,0.525718,0.830318,2.251427,0.525347,val
35,0.07871856,0.491216,0.842478,2.260169,0.528342,val
36,0.07734967,0.451339,0.851200,2.338891,0.523351,val
37,0.07595088,0.429343,0.861112,2.396088,0.519531,val
38,0.07452372,0.413917,0.865273,2.347624,0.530859,val
39,0.07306975,0.376928,0.878335,2.465036,0.522266,val
40,0.07159056,0.362304,0.882170,2.408935,0.525651,val
41,0.07008776,0.329866,0.892051,2.358368,0.540972,val
42,0.06856301,0.317335,0.898570,2.519795,0.529861,val
43,0.06701796,0.282455,0.908548,2.440968,0.534418,val
44,0.06545430,0.271614,0.913846,2.421007,0.541884,val
45,0.06387376,0.237035,0.924482,2.480324,0.539714,val
46,0.06227805,0.232013,0.925198,2.529486,0.546224,val
47,0.06066892,0.235083,0.924933,2.484172,0.547005,val
48,0.05904812,0.195196,0.938442,2.462576,0.542795,val
49,0.05741744,0.175657,0.944911,2.521805,0.546137,val
50,0.05577865,0.172650,0.946266,2.455977,0.549913,val
51,0.05413355,0.152219,0.953375,2.453347,0.555773,val
52,0.05248394,0.135076,0.957874,2.462300,0.551562,val
53,0.05083161,0.122867,0.963736,2.474919,0.546267,val
54,0.04917839,0.109972,0.968039,2.518409,0.547135,val
55,0.04752606,0.094411,0.972473,2.485623,0.549089,val
56,0.04587645,0.084263,0.976121,2.462639,0.555990,val
57,0.04423135,0.076117,0.978189,2.446857,0.557205,val
58,0.04259256,0.059613,0.984424,2.403406,0.570833,val
59,0.04096188,0.045607,0.989748,2.415343,0.572439,val
60,0.03934108,0.041353,0.990487,2.385533,0.572352,val
61,0.03773195,0.037422,0.991585,2.381542,0.568142,val
62,0.03613624,0.027718,0.994542,2.347092,0.576389,val
63,0.03455570,0.023198,0.995613,2.356977,0.579731,val
64,0.03299204,0.020542,0.996698,2.301351,0.578993,val
65,0.03144699,0.017616,0.997242,2.297150,0.576866,val
66,0.02992224,0.014031,0.998004,2.278091,0.579644,val
67,0.02841944,0.014827,0.997647,2.248438,0.590365,val
68,0.02694025,0.012238,0.998485,2.255415,0.586892,val
69,0.02548628,0.011672,0.998447,2.239500,0.587109,val
70,0.02405912,0.009645,0.998732,2.226510,0.591102,val
71,0.02266033,0.008631,0.999137,2.206782,0.593490,val
72,0.02129144,0.008122,0.999088,2.209326,0.590365,val
73,0.01995395,0.008259,0.998978,2.196416,0.592969,val
74,0.01864932,0.007555,0.999249,2.193805,0.594054,val
75,0.01737897,0.007522,0.999063,2.189971,0.599132,val
76,0.01614431,0.007096,0.999137,2.162529,0.596354,val
77,0.01494667,0.006655,0.999384,2.173545,0.596224,val
78,0.01378736,0.006523,0.999384,2.160010,0.595573,val
79,0.01266766,0.006135,0.999335,2.155702,0.595139,val
80,0.01158879,0.006084,0.999285,2.146644,0.597396,val
81,0.01055192,0.005852,0.999422,2.149638,0.595790,val
82,0.00955820,0.005707,0.999409,2.132568,0.597092,val
83,0.00860870,0.005517,0.999384,2.147074,0.598394,val
84,0.00770447,0.005341,0.999446,2.134680,0.595573,val
85,0.00684649,0.005279,0.999458,2.141296,0.594488,val
86,0.00603571,0.005042,0.999606,2.139809,0.593837,val
87,0.00527301,0.005094,0.999482,2.124586,0.597743,val
88,0.00455922,0.005018,0.999532,2.128476,0.597309,val
89,0.00389512,0.005012,0.999556,2.128323,0.594705,val
90,0.00328145,0.004872,0.999556,2.116091,0.598177,val
91,0.00271887,0.004749,0.999655,2.122859,0.599696,val
92,0.00220799,0.004907,0.999471,2.125451,0.597960,val
93,0.00174938,0.004626,0.999606,2.119029,0.597526,val
94,0.00134354,0.004847,0.999507,2.121605,0.599045,val
95,0.00099090,0.004687,0.999556,2.115898,0.597526,val
96,0.00069187,0.004905,0.999433,2.116556,0.596441,val
97,0.00044675,0.004639,0.999680,2.116146,0.595790,val
98,0.00025583,0.004850,0.999581,2.117087,0.598394,val
99,0.00011931,0.004641,0.999630,2.117987,0.596441,val
100,0.00003733,0.004606,0.999729,2.111820,0.595790,val
