epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.429775,0.040535,4.218230,0.061386,val
2,0.01004000,2.878622,0.278618,2.294474,0.406009,val
3,0.02003000,2.002191,0.458030,2.090277,0.460650,val
4,0.03002000,1.553025,0.560984,1.958320,0.506147,val
5,0.04001000,1.300265,0.622906,1.980751,0.517142,val
6,0.05000000,1.160216,0.658366,2.059054,0.516751,val
7,0.04998633,0.969537,0.708788,2.075335,0.521358,val
8,0.04994535,0.847143,0.741767,2.123996,0.533651,val
9,0.04987710,0.769784,0.764028,2.206251,0.530744,val
10,0.04978165,0.712460,0.779801,2.177325,0.539809,val
11,0.04965910,0.668764,0.793058,2.239668,0.527206,val
12,0.04950960,0.636170,0.803225,2.239711,0.547829,val
13,0.04933330,0.604508,0.812270,2.230617,0.543865,val
14,0.04913040,0.580246,0.819756,2.241144,0.535811,val
15,0.04890111,0.560588,0.825738,2.316105,0.536972,val
16,0.04864570,0.534639,0.833226,2.226075,0.542521,val
17,0.04836444,0.520201,0.837341,2.308833,0.542107,val
18,0.04805763,0.506337,0.842153,2.235548,0.548575,val
19,0.04772562,0.498051,0.844972,2.322577,0.536730,val
20,0.04736876,0.483700,0.849537,2.334732,0.545967,val
21,0.04698745,0.474003,0.851196,2.340712,0.543107,val
22,0.04658210,0.456190,0.856970,2.342745,0.531239,val
23,0.04615315,0.450658,0.859459,2.379214,0.537454,val
24,0.04570108,0.439199,0.863199,2.353585,0.543543,val
25,0.04522638,0.430643,0.865268,2.312588,0.548748,val
26,0.04472957,0.417479,0.869875,2.446381,0.532479,val
27,0.04421119,0.406116,0.873035,2.310124,0.547794,val
28,0.04367180,0.395782,0.876052,2.314137,0.547116,val
29,0.04311201,0.386658,0.879409,2.350757,0.541153,val
30,0.04253241,0.379490,0.881199,2.424460,0.535018,val
31,0.04193365,0.369003,0.884428,2.286897,0.547622,val
32,0.04131638,0.361393,0.887055,2.438320,0.537040,val
33,0.04068127,0.354059,0.888791,2.342976,0.551723,val
34,0.04002902,0.342995,0.892464,2.367982,0.552068,val
35,0.03936034,0.334161,0.895523,2.380176,0.542452,val
36,0.03867597,0.324640,0.898782,2.354046,0.549334,val
37,0.03797664,0.319074,0.900888,2.363235,0.553068,val
38,0.03726314,0.304288,0.904645,2.365222,0.551068,val
39,0.03653622,0.302302,0.905793,2.396077,0.549472,val
40,0.03579670,0.293658,0.908314,2.379882,0.548633,val
