epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.518218,0.029573,4.365165,0.045393,val
2,0.01004000,3.257368,0.207992,2.666020,0.323541,val
3,0.02003000,2.485545,0.353563,2.213217,0.422587,val
4,0.03002000,2.022015,0.452129,2.057427,0.463787,val
5,0.04001000,1.753760,0.512765,1.964278,0.485765,val
6,0.05000000,1.583046,0.552341,1.916706,0.506974,val
7,0.04998633,1.373405,0.604145,1.941919,0.514062,val
8,0.04994535,1.219230,0.642652,1.907718,0.523058,val
9,0.04987710,1.107360,0.671864,1.962736,0.531790,val
10,0.04978165,1.011507,0.695840,2.056807,0.528470,val
11,0.04965910,0.929862,0.718562,2.051216,0.542670,val
12,0.04950960,0.866469,0.736729,2.122035,0.533858,val
13,0.04933330,0.810993,0.751453,2.149752,0.526746,val
14,0.04913040,0.761721,0.765732,2.162373,0.542475,val
15,0.04890111,0.730014,0.774253,2.129503,0.536317,val
16,0.04864570,0.694669,0.785370,2.038066,0.544841,val
17,0.04836444,0.661382,0.793786,2.214334,0.535926,val
18,0.04805763,0.644569,0.800183,2.156456,0.539878,val
19,0.04772562,0.622756,0.806728,2.223029,0.535604,val
20,0.04736876,0.595649,0.814727,2.170231,0.543750,val
21,0.04698745,0.569549,0.822419,2.233651,0.541935,val
22,0.04658210,0.555233,0.826970,2.215234,0.540223,val
23,0.04615315,0.534650,0.833171,2.216188,0.548943,val
24,0.04570108,0.520093,0.836879,2.167252,0.543325,val
25,0.04522638,0.507590,0.840740,2.263781,0.543417,val
26,0.04472957,0.485762,0.847809,2.257284,0.543176,val
27,0.04421119,0.474117,0.851922,2.336050,0.537810,val
28,0.04367180,0.462366,0.854378,2.255173,0.539660,val
29,0.04311201,0.447258,0.859413,2.240455,0.550793,val
30,0.04253241,0.436802,0.862980,2.286350,0.546289,val
31,0.04193365,0.419698,0.867913,2.330818,0.549012,val
32,0.04131638,0.414577,0.870095,2.218244,0.553539,val
33,0.04068127,0.397602,0.875317,2.331527,0.543084,val
34,0.04002902,0.393240,0.876893,2.266154,0.542210,val
35,0.03936034,0.379036,0.881328,2.249593,0.548277,val
36,0.03867597,0.363214,0.885762,2.334186,0.550046,val
37,0.03797664,0.356641,0.888023,2.265506,0.557686,val
38,0.03726314,0.338935,0.893994,2.351249,0.545106,val
39,0.03653622,0.335375,0.894441,2.233448,0.545393,val
40,0.03579670,0.324145,0.898118,2.297279,0.554125,val
41,0.03504538,0.315736,0.900970,2.274222,0.563545,val
42,0.03428308,0.302729,0.905337,2.253302,0.556503,val
43,0.03351063,0.292957,0.907438,2.359114,0.547208,val
44,0.03272888,0.280222,0.911803,2.252173,0.560133,val
45,0.03193869,0.270006,0.915795,2.266389,0.554584,val
46,0.03114091,0.263965,0.917244,2.342692,0.553665,val
47,0.03033642,0.251179,0.921593,2.241444,0.563545,val
48,0.02952611,0.248191,0.922387,2.331829,0.553182,val
49,0.02871085,0.232694,0.927491,2.358279,0.549253,val
50,0.02789154,0.220151,0.931444,2.298528,0.566854,val
51,0.02706907,0.205173,0.936148,2.388915,0.555710,val
52,0.02624435,0.202631,0.937012,2.324639,0.555905,val
53,0.02541827,0.194562,0.940126,2.371330,0.560512,val
54,0.02459173,0.182178,0.944025,2.292173,0.563614,val
55,0.02376565,0.172201,0.947045,2.305403,0.564890,val
56,0.02294093,0.166306,0.948577,2.344298,0.556606,val
57,0.02211846,0.153659,0.953061,2.358307,0.563132,val
58,0.02129915,0.150526,0.954135,2.295481,0.570221,val
59,0.02048389,0.137471,0.958875,2.276320,0.568991,val
60,0.01967358,0.123933,0.962757,2.266727,0.573334,val
61,0.01886909,0.126182,0.962295,2.302566,0.565384,val
62,0.01807131,0.115675,0.965924,2.239809,0.577665,val
63,0.01728112,0.107895,0.968192,2.219483,0.573598,val
64,0.01649937,0.090933,0.973978,2.240952,0.576471,val
65,0.01572692,0.081862,0.976642,2.245253,0.572289,val
66,0.01496462,0.074953,0.978670,2.265601,0.573656,val
67,0.01421330,0.072243,0.979660,2.208602,0.576126,val
