epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.430877,0.040027,4.229486,0.061041,val
2,0.01004000,2.895812,0.275661,2.369987,0.389591,val
3,0.02003000,2.001321,0.457302,2.006023,0.478136,val
4,0.03002000,1.546517,0.562458,1.937601,0.514947,val
5,0.04001000,1.293611,0.624632,1.925662,0.532778,val
6,0.05000000,1.152080,0.659430,1.997282,0.532250,val
7,0.04998633,0.963900,0.710482,2.135644,0.513798,val
8,0.04994535,0.854278,0.739969,2.214246,0.520910,val
9,0.04987710,0.770658,0.763924,2.157393,0.532996,val
10,0.04978165,0.716815,0.779529,2.206345,0.532870,val
11,0.04965910,0.667379,0.793263,2.219929,0.531893,val
12,0.04950960,0.634789,0.803442,2.202971,0.542521,val
13,0.04933330,0.610522,0.809945,2.315921,0.527723,val
14,0.04913040,0.578528,0.819785,2.226035,0.543520,val
15,0.04890111,0.556753,0.826207,2.381635,0.520967,val
16,0.04864570,0.538929,0.832650,2.257882,0.538293,val
17,0.04836444,0.519582,0.837667,2.319812,0.530756,val
18,0.04805763,0.504624,0.842340,2.323935,0.545818,val
19,0.04772562,0.495149,0.845471,2.372858,0.538155,val
20,0.04736876,0.485366,0.848658,2.280284,0.541992,val
21,0.04698745,0.477293,0.849939,2.249371,0.538660,val
22,0.04658210,0.457519,0.856657,2.338457,0.534881,val
23,0.04615315,0.451970,0.858442,2.358501,0.528676,val
24,0.04570108,0.435900,0.863972,2.277233,0.548449,val
25,0.04522638,0.431945,0.864784,2.400639,0.531434,val
26,0.04472957,0.422122,0.868033,2.328173,0.539005,val
27,0.04421119,0.410382,0.871665,2.275417,0.546829,val
28,0.04367180,0.397546,0.875765,2.316421,0.545163,val
29,0.04311201,0.389990,0.877503,2.399032,0.540763,val
30,0.04253241,0.379840,0.881582,2.377695,0.543647,val
31,0.04193365,0.371892,0.883421,2.380701,0.535398,val
32,0.04131638,0.364157,0.886332,2.350265,0.546209,val
