epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.630980,0.014582,4.572530,0.024759,val
2,0.01004000,3.903096,0.104115,3.506730,0.171507,val
3,0.02003000,3.459033,0.176358,3.093868,0.238270,val
4,0.03002000,3.060847,0.244340,2.931439,0.276896,val
5,0.04001000,2.751024,0.300626,2.608528,0.336294,val
6,0.05000000,2.528233,0.344749,2.430289,0.361535,val
7,0.04998633,2.290606,0.390536,2.256773,0.407284,val
8,0.04994535,2.117396,0.429577,2.164048,0.435754,val
9,0.04987710,1.985329,0.462047,2.170784,0.424644,val
10,0.04978165,1.889236,0.480491,2.061689,0.455676,val
11,0.04965910,1.794198,0.503240,2.004845,0.465591,val
12,0.04950960,1.702568,0.523327,1.953434,0.480400,val
13,0.04933330,1.629459,0.540239,1.880072,0.498437,val
14,0.04913040,1.557538,0.559925,1.867437,0.510478,val
15,0.04890111,1.502215,0.573242,1.944923,0.495198,val
16,0.04864570,1.442027,0.586581,1.875062,0.502930,val
17,0.04836444,1.380896,0.601230,1.870675,0.507640,val
18,0.04805763,1.333379,0.613126,1.865588,0.512672,val
19,0.04772562,1.280919,0.624800,1.865863,0.516326,val
20,0.04736876,1.244439,0.634566,1.897643,0.514947,val
21,0.04698745,1.199682,0.648548,1.876398,0.518899,val
22,0.04658210,1.156863,0.656383,1.833452,0.534168,val
23,0.04615315,1.100194,0.673162,1.811575,0.535524,val
24,0.04570108,1.070100,0.681663,1.808477,0.538637,val
25,0.04522638,1.030063,0.689697,1.830169,0.542659,val
26,0.04472957,1.000518,0.699685,1.932836,0.526126,val
27,0.04421119,0.955052,0.708696,1.911315,0.531939,val
28,0.04367180,0.924906,0.718794,1.936757,0.529814,val
29,0.04311201,0.897154,0.724720,1.956263,0.523219,val
30,0.04253241,0.849451,0.734797,1.895753,0.547633,val
31,0.04193365,0.803800,0.748957,1.953151,0.534065,val
32,0.04131638,0.788536,0.753529,1.918388,0.541372,val
33,0.04068127,0.750222,0.764671,1.960122,0.540510,val
34,0.04002902,0.736592,0.768532,1.951035,0.548242,val
35,0.03936034,0.689977,0.781095,1.932485,0.559237,val
36,0.03867597,0.649131,0.797075,2.078954,0.533996,val
37,0.03797664,0.640897,0.797519,2.078753,0.545588,val
38,0.03726314,0.604299,0.808616,2.105137,0.534352,val
39,0.03653622,0.593420,0.811501,2.088046,0.541728,val
40,0.03579670,0.547768,0.824596,2.119358,0.538706,val
41,0.03504538,0.525108,0.832941,2.114830,0.543417,val
42,0.03428308,0.512085,0.837957,2.156633,0.544095,val
43,0.03351063,0.472948,0.847923,2.155357,0.539212,val
44,0.03272888,0.440909,0.858088,2.191182,0.549345,val
45,0.03193869,0.411830,0.866966,2.188598,0.547254,val
46,0.03114091,0.390111,0.874312,2.196284,0.555331,val
47,0.03033642,0.348317,0.889893,2.207034,0.547105,val
48,0.02952611,0.374091,0.878351,2.140522,0.557560,val
49,0.02871085,0.308923,0.899081,2.243465,0.554848,val
50,0.02789154,0.300765,0.902033,2.182942,0.561489,val
51,0.02706907,0.288776,0.908292,2.262114,0.552528,val
52,0.02624435,0.257177,0.920077,2.189081,0.561857,val
53,0.02541827,0.240994,0.924339,2.267606,0.564913,val
54,0.02459173,0.208834,0.933549,2.232937,0.561834,val
55,0.02376565,0.222946,0.928422,2.249722,0.567544,val
56,0.02294093,0.208111,0.934637,2.225700,0.570761,val
57,0.02211846,0.168425,0.947754,2.208985,0.574747,val
58,0.02129915,0.173762,0.945712,2.209715,0.580538,val
59,0.02048389,0.128611,0.961737,2.231728,0.570864,val
60,0.01967358,0.118577,0.964355,2.241777,0.578217,val
61,0.01886909,0.114837,0.965576,2.229046,0.582698,val
62,0.01807131,0.088612,0.974876,2.214191,0.584766,val
63,0.01728112,0.093757,0.973588,2.164369,0.595944,val
64,0.01649937,0.087286,0.975231,2.166051,0.588775,val
65,0.01572692,0.065363,0.982666,2.170389,0.595921,val
66,0.01496462,0.062826,0.983620,2.189263,0.590797,val
67,0.01421330,0.048639,0.988015,2.190450,0.590326,val
68,0.01347378,0.049027,0.988570,2.134917,0.595025,val
69,0.01274686,0.048218,0.988903,2.134104,0.600908,val
70,0.01203336,0.031659,0.993053,2.144189,0.596634,val
71,0.01133403,0.032662,0.992853,2.116677,0.599322,val
72,0.01064966,0.030271,0.993608,2.076497,0.604504,val
73,0.00998098,0.025418,0.995250,2.096475,0.602447,val
74,0.00932873,0.025199,0.994962,2.105043,0.599713,val
75,0.00869362,0.023766,0.995051,2.116065,0.600322,val
76,0.00807635,0.019591,0.996094,2.074381,0.605526,val
77,0.00747759,0.016927,0.997359,2.071809,0.606549,val
78,0.00689799,0.017040,0.996848,2.070740,0.607916,val
79,0.00633820,0.014954,0.997337,2.101643,0.604446,val
80,0.00579881,0.013905,0.997892,2.074905,0.604102,val
81,0.00528043,0.014127,0.997758,2.070085,0.606870,val
82,0.00478362,0.012341,0.998091,2.059036,0.610650,val
83,0.00430892,0.013869,0.997803,2.040379,0.613316,val
84,0.00385685,0.014384,0.997736,2.036363,0.612948,val
85,0.00342790,0.011605,0.998291,2.056436,0.606985,val
86,0.00302255,0.010993,0.998402,2.037180,0.613971,val
87,0.00264124,0.010802,0.998358,2.040563,0.611259,val
88,0.00228438,0.010168,0.998668,2.033467,0.612994,val
89,0.00195237,0.012646,0.998402,2.047042,0.610892,val
90,0.00164556,0.011239,0.998291,2.044524,0.611386,val
91,0.00136430,0.008931,0.998912,2.046392,0.611822,val
92,0.00110889,0.009087,0.998691,2.040339,0.613971,val
93,0.00087960,0.008574,0.998779,2.037156,0.610283,val
94,0.00067670,0.008508,0.999068,2.028673,0.612017,val
95,0.00050040,0.008652,0.998779,2.031079,0.614534,val
96,0.00035090,0.008578,0.999090,2.021563,0.614166,val
97,0.00022835,0.009622,0.998624,2.029495,0.614120,val
98,0.00013290,0.008839,0.998890,2.028784,0.613189,val
99,0.00006465,0.008601,0.998957,2.030671,0.614511,val
100,0.00002367,0.009249,0.998890,2.019610,0.617027,val
