epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,4.516468,0.030029,4.378151,0.050471,val
2,0.01004000,3.254512,0.206951,2.731744,0.316188,val
3,0.02003000,2.475547,0.355752,2.230122,0.420209,val
4,0.03002000,2.014886,0.453384,2.046621,0.460294,val
5,0.04001000,1.748158,0.514085,1.974730,0.483146,val
6,0.05000000,1.578514,0.555468,1.953506,0.496657,val
7,0.04998633,1.368471,0.605668,2.029553,0.504113,val
8,0.04994535,1.220828,0.643565,1.917483,0.530377,val
9,0.04987710,1.107142,0.669609,2.002922,0.521427,val
10,0.04978165,1.004596,0.697438,2.032951,0.524472,val
11,0.04965910,0.929274,0.719815,2.014873,0.542027,val
12,0.04950960,0.861691,0.736912,2.103659,0.529848,val
13,0.04933330,0.809933,0.752034,2.150084,0.527769,val
14,0.04913040,0.764762,0.764585,2.128263,0.535145,val
15,0.04890111,0.724146,0.775946,2.198893,0.535260,val
16,0.04864570,0.691985,0.785265,2.251968,0.527137,val
17,0.04836444,0.659218,0.795593,2.171698,0.535099,val
18,0.04805763,0.636496,0.802524,2.135216,0.551677,val
19,0.04772562,0.600952,0.812752,2.194323,0.545772,val
20,0.04736876,0.590876,0.815627,2.193212,0.542796,val
21,0.04698745,0.567928,0.822655,2.234926,0.534122,val
22,0.04658210,0.545829,0.828672,2.230535,0.545301,val
23,0.04615315,0.530904,0.833847,2.280771,0.542578,val
24,0.04570108,0.515957,0.838187,2.225672,0.541004,val
25,0.04522638,0.496662,0.844397,2.317172,0.538683,val
26,0.04472957,0.485344,0.848269,2.251988,0.546427,val
27,0.04421119,0.471295,0.851948,2.241168,0.551333,val
28,0.04367180,0.464978,0.853714,2.259638,0.545232,val
29,0.04311201,0.447548,0.859227,2.335235,0.536650,val
30,0.04253241,0.428191,0.865771,2.348473,0.539936,val
31,0.04193365,0.421068,0.867200,2.293195,0.545186,val
32,0.04131638,0.410326,0.871451,2.298095,0.548874,val
33,0.04068127,0.399028,0.875119,2.298220,0.540694,val
34,0.04002902,0.375244,0.882184,2.346875,0.537546,val
35,0.03936034,0.379573,0.880846,2.290808,0.547254,val
36,0.03867597,0.365869,0.885382,2.319199,0.544692,val
37,0.03797664,0.355252,0.888453,2.321126,0.541142,val
38,0.03726314,0.342171,0.892908,2.347851,0.545140,val
39,0.03653622,0.327771,0.897722,2.308074,0.553022,val
40,0.03579670,0.325461,0.897392,2.310377,0.553998,val
41,0.03504538,0.309412,0.903606,2.313232,0.546795,val
42,0.03428308,0.297744,0.906760,2.340558,0.549632,val
43,0.03351063,0.296926,0.906731,2.340017,0.553366,val
44,0.03272888,0.276898,0.913335,2.309075,0.551494,val
45,0.03193869,0.269005,0.916136,2.365391,0.550264,val
46,0.03114091,0.261210,0.917985,2.352867,0.552045,val
47,0.03033642,0.252279,0.920934,2.321001,0.556583,val
48,0.02952611,0.238810,0.926199,2.354635,0.548656,val
49,0.02871085,0.227123,0.928853,2.389343,0.553929,val
50,0.02789154,0.224143,0.929954,2.342732,0.552217,val
51,0.02706907,0.206110,0.936233,2.310613,0.561788,val
52,0.02624435,0.201300,0.937334,2.260982,0.564694,val
53,0.02541827,0.196097,0.939158,2.361084,0.556813,val
54,0.02459173,0.179814,0.944504,2.374572,0.552022,val
55,0.02376565,0.172897,0.946844,2.351654,0.555664,val
56,0.02294093,0.159393,0.952100,2.397871,0.551264,val
57,0.02211846,0.154884,0.952868,2.383541,0.557169,val
58,0.02129915,0.157412,0.952100,2.368962,0.559812,val
59,0.02048389,0.144996,0.956196,2.351290,0.566498,val
60,0.01967358,0.129521,0.961126,2.339110,0.556778,val
61,0.01886909,0.120690,0.963896,2.339287,0.567727,val
62,0.01807131,0.110941,0.967016,2.316229,0.568555,val
63,0.01728112,0.102831,0.969915,2.310242,0.578010,val
64,0.01649937,0.090816,0.973973,2.268882,0.568164,val
65,0.01572692,0.077012,0.978737,2.229860,0.573483,val
66,0.01496462,0.078027,0.977777,2.316081,0.566383,val
67,0.01421330,0.070878,0.980406,2.221325,0.574701,val
68,0.01347378,0.062295,0.982875,2.267648,0.578596,val
69,0.01274686,0.057827,0.984553,2.198463,0.583674,val
70,0.01203336,0.046797,0.987852,2.131942,0.587121,val
71,0.01133403,0.036553,0.991356,2.102145,0.591487,val
72,0.01064966,0.032373,0.992143,2.079040,0.587845,val
73,0.00998098,0.026986,0.993992,2.090203,0.591073,val
74,0.00932873,0.023225,0.995072,2.018975,0.598277,val
75,0.00869362,0.019818,0.995893,2.013237,0.591808,val
76,0.00807635,0.016095,0.996836,1.989108,0.600988,val
77,0.00747759,0.013121,0.997716,1.970408,0.604308,val
78,0.00689799,0.011683,0.998009,1.925268,0.608973,val
79,0.00633820,0.009360,0.998422,1.892802,0.606020,val
80,0.00579881,0.007933,0.998676,1.865488,0.605963,val
81,0.00528043,0.006809,0.999000,1.865440,0.609019,val
82,0.00478362,0.006424,0.999036,1.843310,0.610926,val
83,0.00430892,0.005331,0.999342,1.818570,0.613511,val
84,0.00385685,0.005130,0.999311,1.813079,0.614809,val
85,0.00342790,0.004680,0.999351,1.805420,0.617762,val
86,0.00302255,0.004436,0.999436,1.778587,0.616222,val
87,0.00264124,0.003911,0.999569,1.762295,0.620692,val
88,0.00228438,0.003888,0.999516,1.780677,0.616785,val
89,0.00195237,0.003716,0.999524,1.764834,0.618176,val
90,0.00164556,0.003598,0.999644,1.755523,0.621864,val
91,0.00136430,0.003542,0.999618,1.750525,0.616831,val
92,0.00110889,0.003336,0.999667,1.740909,0.622105,val
93,0.00087960,0.003279,0.999689,1.747260,0.621025,val
94,0.00067670,0.003164,0.999684,1.735370,0.620910,val
95,0.00050040,0.003097,0.999742,1.734930,0.621278,val
96,0.00035090,0.003075,0.999724,1.730770,0.622495,val
97,0.00022835,0.003089,0.999707,1.732895,0.623058,val
98,0.00013290,0.003037,0.999707,1.733944,0.623058,val
99,0.00006465,0.002977,0.999756,1.732548,0.623426,val
