epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.369638,0.054107,4.136879,0.076402,val
2,0.02008000,1.632852,0.570231,2.692426,0.432812,val
3,0.04006000,0.493017,0.856262,2.417444,0.474242,val
4,0.06004000,0.465146,0.863065,2.620183,0.461960,val
5,0.08002000,0.506203,0.850963,2.331589,0.490774,val
6,0.10000000,0.571885,0.832882,2.454781,0.481733,val
7,0.09997267,0.513780,0.850348,2.537093,0.476068,val
8,0.09989069,0.496129,0.855576,2.444013,0.486696,val
9,0.09975417,0.483718,0.858701,2.545225,0.474989,val
10,0.09956325,0.468402,0.863579,2.435374,0.484375,val
11,0.09931813,0.463434,0.865168,2.504111,0.469428,val
12,0.09901910,0.457478,0.866842,2.406166,0.483720,val
13,0.09866646,0.450818,0.868353,2.445541,0.490188,val
14,0.09826062,0.445534,0.870214,2.618473,0.476126,val
15,0.09780201,0.438825,0.872541,2.451165,0.482640,val
16,0.09729113,0.437917,0.872964,2.355813,0.489740,val
17,0.09672855,0.428728,0.875291,2.423609,0.483249,val
18,0.09611488,0.425864,0.876140,2.372098,0.496680,val
19,0.09545078,0.420864,0.877399,2.691855,0.460857,val
20,0.09473699,0.416577,0.878705,2.310044,0.501712,val
21,0.09397429,0.410681,0.880571,2.635735,0.458467,val
22,0.09316351,0.403287,0.882785,2.468465,0.481744,val
23,0.09230553,0.397921,0.884437,2.577289,0.474931,val
24,0.09140130,0.393205,0.885696,2.527139,0.485696,val
25,0.09045180,0.387494,0.887379,2.509007,0.478987,val
26,0.08945808,0.380893,0.889198,2.565383,0.483663,val
27,0.08842121,0.372473,0.891519,2.400928,0.484616,val
28,0.08734234,0.369807,0.892499,2.574064,0.468945,val
29,0.08622264,0.360956,0.895159,2.291291,0.500885,val
30,0.08506333,0.356540,0.896927,2.434628,0.481514,val
31,0.08386569,0.345889,0.899415,2.548975,0.501425,val
32,0.08263103,0.340893,0.901064,2.599784,0.472392,val
33,0.08136068,0.335587,0.902846,2.433335,0.490763,val
34,0.08005605,0.323963,0.906410,2.583649,0.487132,val
35,0.07871856,0.321234,0.906633,2.376395,0.516188,val
36,0.07734967,0.309648,0.910157,2.505532,0.490774,val
37,0.07595088,0.304477,0.911922,2.384377,0.498575,val
38,0.07452372,0.295363,0.914420,2.395861,0.499575,val
39,0.07306975,0.286286,0.917659,2.549216,0.499046,val
40,0.07159056,0.280705,0.918906,2.610066,0.482445,val
41,0.07008776,0.270941,0.921520,2.384055,0.511455,val
42,0.06856301,0.261443,0.924570,2.417762,0.501907,val
43,0.06701796,0.256027,0.926501,2.402754,0.491119,val
44,0.06545430,0.246575,0.929478,2.473853,0.476482,val
45,0.06387376,0.237246,0.932529,2.264915,0.519141,val
46,0.06227805,0.232876,0.933052,2.383215,0.502585,val
47,0.06066892,0.220820,0.937394,2.460751,0.506491,val
48,0.05904812,0.214981,0.939255,2.454013,0.500103,val
49,0.05741744,0.207377,0.941358,2.461548,0.498300,val
50,0.05577865,0.195871,0.944732,2.351296,0.513568,val
51,0.05413355,0.187005,0.947808,2.413732,0.489602,val
52,0.05248394,0.182413,0.948674,2.314731,0.499759,val
53,0.05083161,0.168566,0.953646,2.267641,0.517314,val
54,0.04917839,0.168831,0.953016,2.195272,0.512741,val
55,0.04752606,0.155417,0.957716,2.292207,0.517222,val
56,0.04587645,0.148721,0.959795,2.203514,0.521347,val
57,0.04423135,0.140481,0.962140,2.296161,0.520921,val
58,0.04259256,0.134176,0.964085,2.329490,0.513189,val
59,0.04096188,0.129895,0.965509,2.226200,0.522737,val
60,0.03934108,0.129168,0.966215,2.275049,0.520933,val
