epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,4.642342,0.013951,4.578716,0.020439,val
2,0.02008000,3.787136,0.119984,3.401810,0.181698,val
3,0.04006000,3.213269,0.213367,3.075941,0.247909,val
4,0.06004000,2.713299,0.302064,2.563878,0.339292,val
5,0.08002000,2.339634,0.377106,2.768902,0.315947,val
6,0.10000000,2.098631,0.433394,2.358610,0.389694,val
7,0.09997267,1.857189,0.485867,2.254696,0.434180,val
8,0.09989069,1.705778,0.520086,2.078143,0.451356,val
9,0.09975417,1.598419,0.549521,1.893483,0.493428,val
10,0.09956325,1.528831,0.566774,1.720169,0.526919,val
11,0.09931813,1.459667,0.584601,1.764646,0.531193,val
12,0.09901910,1.411897,0.599289,1.943898,0.478114,val
13,0.09866646,1.371465,0.608317,1.776055,0.522174,val
14,0.09826062,1.350045,0.613651,1.931925,0.493348,val
15,0.09780201,1.290400,0.627732,1.983430,0.506687,val
16,0.09729113,1.275561,0.633814,1.888161,0.507778,val
17,0.09672855,1.240526,0.643118,1.648998,0.554722,val
18,0.09611488,1.215359,0.646206,1.695722,0.552976,val
19,0.09545078,1.187117,0.655456,1.844435,0.517119,val
20,0.09473699,1.155732,0.665532,1.751835,0.552102,val
21,0.09397429,1.150770,0.666018,1.817022,0.520657,val
22,0.09316351,1.116740,0.674405,1.899349,0.508272,val
23,0.09230553,1.120647,0.673572,1.755451,0.544198,val
24,0.09140130,1.074683,0.685663,1.807148,0.539947,val
25,0.09045180,1.068782,0.687848,1.754117,0.549690,val
26,0.08945808,1.047912,0.692131,1.941046,0.505021,val
27,0.08842121,1.037363,0.695601,1.721466,0.548185,val
28,0.08734234,1.019911,0.700513,1.597985,0.566682,val
29,0.08622264,0.993468,0.705880,1.726357,0.544738,val
30,0.08506333,0.979192,0.711505,1.627603,0.567498,val
31,0.08386569,0.968647,0.714077,1.795076,0.562569,val
32,0.08263103,0.952990,0.716346,1.590146,0.590648,val
33,0.08136068,0.935683,0.722380,1.484912,0.594428,val
34,0.08005605,0.907594,0.730718,1.594046,0.588821,val
35,0.07871856,0.900239,0.730851,1.603636,0.580067,val
