epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.405099,0.049524,4.214825,0.072449,val,0.1
2,0.02008000,1.913041,0.500977,2.367007,0.439580,val,0.1
3,0.04006000,0.620498,0.820298,2.608086,0.437672,val,0.1
4,0.06004000,0.549506,0.839038,2.709696,0.428642,val,0.1
5,0.08002000,0.578269,0.830941,2.827082,0.404883,val,0.1
6,0.10000000,0.654122,0.810580,2.578469,0.441280,val,0.1
7,0.09997267,0.588989,0.828735,2.388725,0.440659,val,0.1
8,0.09989069,0.567793,0.834935,2.761496,0.409524,val,0.1
9,0.09975417,0.553940,0.838665,2.578995,0.422300,val,0.1
10,0.09956325,0.543166,0.842538,2.452171,0.448472,val,0.1
11,0.09931813,0.534410,0.845219,2.443480,0.443693,val,0.1
12,0.09901910,0.527327,0.847692,2.458550,0.438362,val,0.1
13,0.09866646,0.521550,0.848988,2.551404,0.440993,val,0.1
14,0.09826062,0.516363,0.850649,2.577774,0.421783,val,0.1
15,0.09780201,0.512217,0.851888,2.487572,0.440947,val,0.1
16,0.09729113,0.504073,0.854322,2.605729,0.418624,val,0.1
17,0.09672855,0.499992,0.855342,2.782156,0.412282,val,0.1
18,0.09611488,0.496313,0.856383,2.562750,0.431342,val,0.1
19,0.09545078,0.491799,0.857647,2.356638,0.455687,val,0.1
20,0.09473699,0.483245,0.860427,2.391263,0.449449,val,0.1
21,0.09397429,0.477479,0.861905,2.693765,0.423116,val,0.1
22,0.09316351,0.473842,0.863050,2.578062,0.428079,val,0.1
23,0.09230553,0.469458,0.864966,2.485504,0.451643,val,0.1
24,0.09140130,0.462592,0.865899,2.704007,0.411006,val,0.1
25,0.09045180,0.456082,0.867713,2.478275,0.451746,val,0.1
26,0.08945808,0.449217,0.869276,2.579506,0.440039,val,0.1
27,0.08842121,0.442004,0.871801,2.663689,0.423736,val,0.1
28,0.08734234,0.435202,0.874020,2.479011,0.460455,val,0.1
29,0.08622264,0.426963,0.876210,2.613434,0.427091,val,0.1
30,0.08506333,0.421149,0.878293,2.455796,0.451321,val,0.1
31,0.08386569,0.410511,0.881517,2.602738,0.438431,val,0.1
32,0.08263103,0.407342,0.882457,2.463686,0.455813,val,0.1
33,0.08136068,0.395751,0.885728,2.676455,0.436592,val,0.1
34,0.08005605,0.384365,0.888653,2.431265,0.445025,val,0.1
35,0.07871856,0.378652,0.890112,2.589086,0.426275,val,0.1
36,0.07734967,0.366211,0.894286,2.602174,0.446232,val,0.1
37,0.07595088,0.357941,0.896431,2.358765,0.470956,val,0.1
38,0.07452372,0.348219,0.899032,2.392850,0.468693,val,0.1
39,0.07306975,0.341780,0.901696,2.713454,0.434306,val,0.1
40,0.07159056,0.332252,0.903907,2.400734,0.457721,val,0.1
41,0.07008776,0.322830,0.906855,2.440637,0.461409,val,0.1
42,0.06856301,0.313741,0.909291,2.497278,0.456434,val,0.1
43,0.06701796,0.301828,0.913243,2.478549,0.455446,val,0.1
44,0.06545430,0.290261,0.916632,2.495442,0.455354,val,0.1
45,0.06387376,0.285637,0.918069,2.551170,0.445370,val,0.1
46,0.06227805,0.269423,0.922897,2.430001,0.467475,val,0.1
47,0.06066892,0.262427,0.925052,2.435035,0.460708,val,0.1
48,0.05904812,0.253032,0.927523,2.358436,0.479768,val,0.1
49,0.05741744,0.242046,0.931366,2.502625,0.453527,val,0.1
50,0.05577865,0.234423,0.933630,2.386834,0.470910,val,0.1
51,0.05413355,0.222002,0.936764,2.486220,0.465326,val,0.1
52,0.05248394,0.210542,0.941055,2.554100,0.465142,val,0.1
53,0.05083161,0.204932,0.942513,2.471767,0.451620,val,0.1
54,0.04917839,0.193791,0.945858,2.536949,0.465016,val,0.1
55,0.04752606,0.186316,0.947956,2.502217,0.457008,val,0.1
56,0.04587645,0.175795,0.951881,2.411720,0.464534,val,0.1
57,0.04423135,0.167552,0.954033,2.371793,0.478768,val,0.1
58,0.04259256,0.157030,0.957390,2.486138,0.458261,val,0.1
59,0.04096188,0.151396,0.959271,2.312161,0.483801,val,0.1
60,0.03934108,0.146474,0.960915,2.288476,0.496599,val,0.1
61,0.03773195,0.133699,0.964766,2.394651,0.479653,val,0.1
62,0.03613624,0.125903,0.967345,2.565855,0.461363,val,0.1
63,0.03455570,0.113194,0.971268,2.567585,0.447518,val,0.1
64,0.03299204,0.083153,0.980235,2.430332,0.448736,val,0.1
65,0.03144699,0.117455,0.969648,2.083181,0.520186,val,0.1
66,0.02992224,0.016600,0.998470,1.886932,0.558330,val,0.1
67,0.02841944,0.238017,0.937809,2.147466,0.504768,val,0.1
68,0.02694025,0.019002,0.997630,1.849567,0.565165,val,0.1
