epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.508329,0.031345,4.390368,0.046841,val,0.1
2,0.02008000,2.703872,0.318435,2.398491,0.395186,val,0.1
3,0.04006000,1.500143,0.580162,2.280667,0.464465,val,0.1
4,0.06004000,0.984067,0.714719,2.271120,0.482985,val,0.1
5,0.08002000,0.884622,0.743291,2.665791,0.407376,val,0.1
6,0.10000000,0.898657,0.739504,2.519106,0.443336,val,0.1
7,0.09997267,0.796460,0.769041,2.521464,0.437236,val,0.1
8,0.09989069,0.754051,0.781706,2.459023,0.473185,val,0.1
9,0.09975417,0.722273,0.789798,2.472475,0.445037,val,0.1
10,0.09956325,0.705389,0.794620,2.666028,0.437718,val,0.1
11,0.09931813,0.689739,0.799152,2.496316,0.471668,val,0.1
12,0.09901910,0.674093,0.803480,2.496767,0.458674,val,0.1
13,0.09866646,0.665861,0.808666,2.528043,0.444003,val,0.1
14,0.09826062,0.655041,0.809529,2.524144,0.450471,val,0.1
15,0.09780201,0.642962,0.812673,2.524906,0.452160,val,0.1
16,0.09729113,0.637595,0.814865,2.506340,0.472966,val,0.1
17,0.09672855,0.626726,0.818973,2.674630,0.451160,val,0.1
18,0.09611488,0.620303,0.819721,2.570782,0.426045,val,0.1
19,0.09545078,0.612305,0.823286,2.600915,0.452298,val,0.1
20,0.09473699,0.602743,0.824520,2.361892,0.471519,val,0.1
21,0.09397429,0.595493,0.827632,2.281146,0.484708,val,0.1
22,0.09316351,0.591286,0.828850,2.494687,0.467245,val,0.1
23,0.09230553,0.576483,0.832545,2.717191,0.442808,val,0.1
24,0.09140130,0.569910,0.834887,2.522460,0.471013,val,0.1
25,0.09045180,0.561106,0.836234,2.477332,0.481319,val,0.1
26,0.08945808,0.554245,0.839209,2.498874,0.462466,val,0.1
27,0.08842121,0.544443,0.841752,2.432545,0.477930,val,0.1
28,0.08734234,0.537129,0.844246,2.580113,0.461006,val,0.1
29,0.08622264,0.526323,0.847479,2.881629,0.455182,val,0.1
30,0.08506333,0.516535,0.849822,2.565950,0.476321,val,0.1
31,0.08386569,0.501975,0.854009,2.583801,0.462431,val,0.1
32,0.08263103,0.494815,0.855468,2.629904,0.456055,val,0.1
33,0.08136068,0.493418,0.856709,2.396441,0.479894,val,0.1
34,0.08005605,0.473940,0.862750,2.670727,0.450666,val,0.1
35,0.07871856,0.467589,0.863736,2.578352,0.463545,val,0.1
36,0.07734967,0.455775,0.867504,2.609562,0.452183,val,0.1
37,0.07595088,0.446347,0.870771,2.551136,0.456020,val,0.1
38,0.07452372,0.430096,0.874599,2.644348,0.459042,val,0.1
39,0.07306975,0.423423,0.876449,2.393497,0.483801,val,0.1
40,0.07159056,0.408550,0.881334,2.297518,0.495473,val,0.1
41,0.07008776,0.399664,0.883170,2.579238,0.461903,val,0.1
42,0.06856301,0.387917,0.886941,2.609761,0.476861,val,0.1
43,0.06701796,0.375636,0.891118,2.389316,0.495025,val,0.1
44,0.06545430,0.365504,0.893829,2.707179,0.475460,val,0.1
45,0.06387376,0.351280,0.897508,2.563248,0.467923,val,0.1
46,0.06227805,0.342468,0.900973,2.498170,0.482525,val,0.1
47,0.06066892,0.330319,0.903978,2.467566,0.483961,val,0.1
48,0.05904812,0.314235,0.909385,2.345071,0.495738,val,0.1
49,0.05741744,0.306725,0.910757,2.461554,0.481239,val,0.1
50,0.05577865,0.293051,0.915334,2.480226,0.490878,val,0.1
51,0.05413355,0.278274,0.919830,2.445874,0.479894,val,0.1
52,0.05248394,0.270946,0.922258,2.385339,0.472852,val,0.1
53,0.05083161,0.252774,0.927070,2.405317,0.492153,val,0.1
54,0.04917839,0.244720,0.930329,2.637195,0.459237,val,0.1
55,0.04752606,0.239286,0.931968,2.401197,0.481503,val,0.1
56,0.04587645,0.212943,0.939901,2.437423,0.491659,val,0.1
57,0.04423135,0.210211,0.941012,2.441756,0.484341,val,0.1
58,0.04259256,0.200681,0.943591,2.301908,0.499276,val,0.1
59,0.04096188,0.179911,0.950229,2.520945,0.474931,val,0.1
60,0.03934108,0.182554,0.948921,2.446392,0.476379,val,0.1
61,0.03773195,0.161986,0.955597,2.418175,0.476631,val,0.1
62,0.03613624,0.154285,0.958370,2.352990,0.494887,val,0.1
63,0.03455570,0.148089,0.960013,2.321122,0.511684,val,0.1
64,0.03299204,0.131766,0.965037,2.270471,0.511098,val,0.1
65,0.03144699,0.117068,0.969970,2.375596,0.498621,val,0.1
66,0.02992224,0.130594,0.965569,2.523029,0.471048,val,0.1
67,0.02841944,0.083969,0.979670,2.188362,0.516567,val,0.1
68,0.02694025,0.100335,0.975266,2.384278,0.493176,val,0.1
69,0.02548628,0.106923,0.972474,2.171333,0.513281,val,0.1
70,0.02405912,0.039885,0.992684,1.941499,0.542210,val,0.1
71,0.02266033,0.013675,0.998929,1.777190,0.572806,val,0.1
72,0.02129144,0.009264,0.999716,1.774470,0.587259,val,0.1
73,0.01995395,0.009671,0.999778,1.795766,0.590292,val,0.1
74,0.01864932,0.010602,0.999782,1.833104,0.579159,val,0.1
75,0.01737897,0.476984,0.872800,2.074169,0.528906,val,0.1
76,0.01614431,0.073071,0.982573,1.933570,0.547679,val,0.1
77,0.01494667,0.016591,0.998009,1.759389,0.572852,val,0.1
78,0.01378736,0.007248,0.999693,1.692638,0.604389,val,0.1
79,0.01266766,0.007254,0.999796,1.715318,0.602309,val,0.1
80,0.01158879,0.007619,0.999880,1.755366,0.606216,val,0.1
81,0.01055192,0.007978,0.999862,1.774854,0.604630,val,0.1
82,0.00955820,0.007880,0.999898,1.797070,0.605779,val,0.1
83,0.00860870,0.007876,0.999898,1.837583,0.604653,val,0.1
