epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.625661,0.012407,4.556018,0.015338,val,0.1
2,0.02008000,3.650589,0.143949,3.245136,0.208065,val,0.1
3,0.04006000,2.917393,0.270515,2.790623,0.299724,val,0.1
4,0.06004000,2.338034,0.382751,2.267558,0.399908,val,0.1
5,0.08002000,1.946261,0.465167,2.711484,0.336006,val,0.1
6,0.10000000,1.685123,0.528777,2.148326,0.428320,val,0.1
7,0.09997267,1.398055,0.598369,2.152576,0.450402,val,0.1
8,0.09989069,1.191216,0.652714,1.895312,0.495600,val,0.1
9,0.09975417,1.040594,0.692533,2.133480,0.457824,val,0.1
10,0.09956325,0.925351,0.722526,2.033918,0.480825,val,0.1
11,0.09931813,0.798707,0.758658,2.088061,0.488637,val,0.1
12,0.09901910,0.725566,0.780772,2.309520,0.450448,val,0.1
13,0.09866646,0.656723,0.800044,2.343433,0.475701,val,0.1
14,0.09826062,0.589080,0.819923,2.209275,0.487489,val,0.1
15,0.09780201,0.559515,0.828229,2.310652,0.450816,val,0.1
16,0.09729113,0.523866,0.839183,2.523114,0.461799,val,0.1
17,0.09672855,0.504972,0.842981,2.406981,0.484329,val,0.1
18,0.09611488,0.453325,0.862305,2.730166,0.443612,val,0.1
19,0.09545078,0.470429,0.856460,2.924053,0.418244,val,0.1
20,0.09473699,0.425329,0.871515,2.650814,0.442463,val,0.1
21,0.09397429,0.429656,0.870068,2.706808,0.428860,val,0.1
22,0.09316351,0.400502,0.879762,2.686063,0.430503,val,0.1
23,0.09230553,0.409913,0.876445,2.623698,0.447610,val,0.1
24,0.09140130,0.402374,0.877846,2.531882,0.457904,val,0.1
25,0.09045180,0.366761,0.889885,2.552937,0.455744,val,0.1
26,0.08945808,0.356715,0.892726,2.399844,0.479756,val,0.1
27,0.08842121,0.348515,0.896164,3.479876,0.371392,val,0.1
28,0.08734234,0.343807,0.897656,2.709004,0.447714,val,0.1
29,0.08622264,0.346025,0.895535,2.583846,0.453722,val,0.1
30,0.08506333,0.314680,0.907375,2.531268,0.471140,val,0.1
31,0.08386569,0.308953,0.907392,2.472137,0.470795,val,0.1
32,0.08263103,0.318488,0.904876,2.407923,0.476597,val,0.1
33,0.08136068,0.311683,0.907249,2.510648,0.467590,val,0.1
34,0.08005605,0.241157,0.929544,2.468965,0.459869,val,0.1
35,0.07871856,0.251000,0.927320,2.630228,0.450988,val,0.1
36,0.07734967,0.302081,0.910275,2.505137,0.469623,val,0.1
37,0.07595088,0.294960,0.912709,2.493920,0.477263,val,0.1
38,0.07452372,0.218747,0.935369,2.585114,0.478596,val,0.1
39,0.07306975,0.211502,0.938906,2.430619,0.465338,val,0.1
40,0.07159056,0.224823,0.935480,2.408327,0.476229,val,0.1
41,0.07008776,0.231950,0.932506,2.538404,0.467302,val,0.1
42,0.06856301,0.221352,0.936634,2.558071,0.472208,val,0.1
43,0.06701796,0.192477,0.944511,2.403175,0.476781,val,0.1
44,0.06545430,0.149865,0.958725,2.342698,0.490177,val,0.1
45,0.06387376,0.132616,0.964397,2.441629,0.486926,val,0.1
46,0.06227805,0.169035,0.952762,2.435961,0.471783,val,0.1
47,0.06066892,0.257512,0.924810,2.540663,0.452080,val,0.1
48,0.05904812,0.224642,0.935569,2.337541,0.490499,val,0.1
49,0.05741744,0.123954,0.967852,2.365341,0.488913,val,0.1
50,0.05577865,0.056037,0.988513,1.920574,0.551298,val,0.1
51,0.05413355,0.020996,0.997803,1.671387,0.589913,val,0.1
52,0.05248394,0.008292,0.999556,1.552745,0.610512,val,0.1
53,0.05083161,0.007761,0.999600,1.535582,0.612833,val,0.1
54,0.04917839,0.008607,0.999401,1.544191,0.618084,val,0.1
55,0.04752606,0.008830,0.999556,1.557028,0.622335,val,0.1
56,0.04587645,0.009052,0.999623,1.577130,0.621163,val,0.1
57,0.04423135,0.008747,0.999711,1.599932,0.618991,val,0.1
58,0.04259256,0.008501,0.999756,1.622920,0.617084,val,0.1
59,0.04096188,0.009292,0.999711,1.626728,0.617452,val,0.1
60,0.03934108,0.009793,0.999689,1.642132,0.612224,val,0.1
61,0.03773195,0.009652,0.999689,1.662341,0.610983,val,0.1
62,0.03613624,0.009920,0.999667,1.668126,0.618233,val,0.1
63,0.03455570,0.012110,0.999494,1.857536,0.572840,val,0.1
64,0.03299204,1.337776,0.642923,2.600126,0.402849,val,0.1
65,0.03144699,0.809339,0.770323,2.248520,0.475184,val,0.1
66,0.02992224,0.273080,0.925710,2.109280,0.508686,val,0.1
67,0.02841944,0.092817,0.979031,1.946766,0.550666,val,0.1
68,0.02694025,0.025584,0.997053,1.667720,0.592452,val,0.1
69,0.02548628,0.009123,0.999201,1.594494,0.604515,val,0.1
70,0.02405912,0.005834,0.999645,1.552236,0.609375,val,0.1
71,0.02266033,0.005414,0.999578,1.548445,0.612500,val,0.1
72,0.02129144,0.005858,0.999578,1.540056,0.616510,val,0.1
73,0.01995395,0.005741,0.999756,1.545531,0.615602,val,0.1
74,0.01864932,0.005915,0.999734,1.556098,0.614189,val,0.1
75,0.01737897,0.006164,0.999734,1.560652,0.616751,val,0.1
76,0.01614431,0.006378,0.999778,1.570490,0.616751,val,0.1
77,0.01494667,0.006612,0.999756,1.579429,0.618336,val,0.1
78,0.01378736,0.006677,0.999734,1.590468,0.617360,val,0.1
79,0.01266766,0.006821,0.999734,1.596696,0.623150,val,0.1
80,0.01158879,0.006875,0.999756,1.605078,0.622174,val,0.1
81,0.01055192,0.006788,0.999756,1.610662,0.625885,val,0.1
82,0.00955820,0.006885,0.999822,1.624095,0.621392,val,0.1
83,0.00860870,0.006835,0.999756,1.626876,0.622932,val,0.1
84,0.00770447,0.006822,0.999734,1.635887,0.620025,val,0.1
85,0.00684649,0.006841,0.999800,1.643704,0.621369,val,0.1
86,0.00603571,0.006956,0.999800,1.652793,0.623759,val,0.1
87,0.00527301,0.006769,0.999756,1.654058,0.622978,val,0.1
88,0.00455922,0.006780,0.999800,1.659306,0.622174,val,0.1
89,0.00389512,0.006829,0.999756,1.658925,0.622024,val,0.1
90,0.00328145,0.006899,0.999734,1.662459,0.623127,val,0.1
91,0.00271887,0.006751,0.999778,1.668276,0.620565,val,0.1
92,0.00220799,0.006759,0.999822,1.666721,0.624862,val,0.1
93,0.00174938,0.006873,0.999800,1.671024,0.622714,val,0.1
94,0.00134354,0.006888,0.999800,1.670819,0.621783,val,0.1
95,0.00099090,0.006808,0.999822,1.671256,0.622369,val,0.1
96,0.00069187,0.006734,0.999822,1.672614,0.623277,val,0.1
97,0.00044675,0.006713,0.999867,1.670961,0.625597,val,0.1
98,0.00025583,0.006718,0.999845,1.671111,0.624081,val,0.1
99,0.00011931,0.006728,0.999822,1.673110,0.623736,val,0.1
100,0.00003733,0.006627,0.999822,1.674159,0.625103,val,0.1
