epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.459450,0.038586,4.275904,0.061661,val,0.1
2,0.02008000,2.545824,0.352017,2.276215,0.430009,val,0.1
3,0.04006000,1.330738,0.626827,2.321472,0.459754,val,0.1
4,0.06004000,0.986742,0.716943,2.457309,0.464017,val,0.1
5,0.08002000,0.973945,0.721702,2.581313,0.438580,val,0.1
6,0.10000000,1.069000,0.698482,2.832764,0.408720,val,0.1
7,0.09997267,1.014916,0.712917,3.009097,0.382422,val,0.1
8,0.09989069,0.978356,0.723768,2.427951,0.460558,val,0.1
9,0.09975417,0.953319,0.730487,3.077613,0.383594,val,0.1
10,0.09956325,0.938512,0.734661,2.352325,0.462431,val,0.1
11,0.09931813,0.921284,0.739006,2.702131,0.433019,val,0.1
12,0.09901910,0.906981,0.743328,2.588609,0.435639,val,0.1
13,0.09866646,0.902720,0.744947,2.875746,0.408180,val,0.1
14,0.09826062,0.892571,0.747223,3.115777,0.400046,val,0.1
15,0.09780201,0.884027,0.750689,2.589957,0.431962,val,0.1
16,0.09729113,0.873867,0.752861,3.104292,0.386627,val,0.1
17,0.09672855,0.871313,0.753562,2.750553,0.414637,val,0.1
18,0.09611488,0.859583,0.756383,2.605182,0.439017,val,0.1
19,0.09545078,0.846044,0.760320,2.642820,0.450034,val,0.1
20,0.09473699,0.833135,0.763495,2.466807,0.458525,val,0.1
21,0.09397429,0.830007,0.765334,2.612611,0.434007,val,0.1
22,0.09316351,0.817772,0.768362,2.511864,0.454481,val,0.1
23,0.09230553,0.807834,0.770685,2.734831,0.440441,val,0.1
24,0.09140130,0.800266,0.772502,2.517447,0.440855,val,0.1
25,0.09045180,0.789382,0.776286,2.765874,0.427907,val,0.1
26,0.08945808,0.772104,0.780682,2.706430,0.422840,val,0.1
27,0.08842121,0.772235,0.781099,2.575660,0.442475,val,0.1
28,0.08734234,0.758227,0.784007,2.687035,0.440269,val,0.1
29,0.08622264,0.744702,0.788250,2.665913,0.444784,val,0.1
30,0.08506333,0.733116,0.791082,2.894414,0.412374,val,0.1
31,0.08386569,0.723794,0.794061,2.612940,0.430767,val,0.1
32,0.08263103,0.704804,0.799484,2.557335,0.441912,val,0.1
33,0.08136068,0.693639,0.802135,2.693980,0.436041,val,0.1
